fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
8,2020-08-31,flexible,31,5,40,38,0.1747018807523009,12,0.5436505214528283,False
8,2020-08-31,regularized,15,4,40,32,0.18947579031612646,12,0.5464366472912988,False
9,2020-09-30,shallow,7,3,80,8,0.22856963901985117,12,0.5681727561680942,True
9,2020-09-30,balanced,15,4,60,18,0.17202381871148928,12,0.5370566042756986,False
9,2020-09-30,flexible,31,5,40,6,0.15024151313250964,12,0.544312280585649,False
9,2020-09-30,regularized,15,4,40,10,0.20075406249685226,12,0.5387053026442906,False
10,2020-10-30,shallow,7,3,80,6,0.17168445820479453,12,0.4967167540550394,False
10,2020-10-30,balanced,15,4,60,11,0.1891800227233912,12,0.5366049383190966,True
10,2020-10-30,flexible,31,5,40,17,0.139391460988296,12,0.4882972218548118,False
10,2020-10-30,regularized,15,4,40,3,0.1390711259356885,12,0.5181398851204676,False
11,2020-11-30,shallow,7,3,80,6,0.17168445820479453,12,0.4967167540550394,False
11,2020-11-30,balanced,15,4,60,11,0.1891800227233912,12,0.5366049383190966,True
11,2020-11-30,flexible,31,5,40,17,0.139391460988296,12,0.4882972218548118,False
11,2020-11-30,regularized,15,4,40,3,0.1390711259356885,12,0.5181398851204676,False
12,2020-12-31,shallow,7,3,80,16,0.08160027906066972,12,0.4858441899858823,True
12,2020-12-31,balanced,15,4,60,7,0.04053519280080758,12,0.482660909836816,False
12,2020-12-31,flexible,31,5,40,9,0.06912274232999566,12,0.4900329559662882,False
12,2020-12-31,regularized,15,4,40,3,-0.036341557277412326,12,0.45522277157770935,False
13,2021-01-29,shallow,7,3,80,16,0.08160027906066972,12,0.4858441899858823,True
13,2021-01-29,balanced,15,4,60,7,0.04053519280080758,12,0.482660909836816,False
13,2021-01-29,flexible,31,5,40,9,0.06912274232999566,12,0.4900329559662882,False
13,2021-01-29,regularized,15,4,40,3,-0.036341557277412326,12,0.45522277157770935,False
14,2021-02-26,shallow,7,3,80,2,0.12618987980074126,12,0.5176550065506762,True
14,2021-02-26,balanced,15,4,60,7,0.07438530770260221,12,0.48847160778136717,False
14,2021-02-26,flexible,31,5,40,10,0.07606211051212063,12,0.48180686714197685,False
14,2021-02-26,regularized,15,4,40,4,0.07802014706405139,12,0.4929665487506211,False
15,2021-03-31,shallow,7,3,80,2,0.08731871851353795,12,0.4783337528202283,True
15,2021-03-31,balanced,15,4,60,5,0.052282255044727555,12,0.4913120932267163,False
15,2021-03-31,flexible,31,5,40,25,0.03809622641286504,12,0.4627591869850616,False
15,2021-03-31,regularized,15,4,40,2,0.033925665530478315,12,0.44679319754059915,False
16,2021-04-30,shallow,7,3,80,17,0.08129303813601274,12,0.46649711007032385,True
16,2021-04-30,balanced,15,4,60,3,0.050101165741120536,12,0.4547613397059209,False
16,2021-04-30,flexible,31,5,40,2,0.04572924814222456,12,0.44779997020135287,False
16,2021-04-30,regularized,15,4,40,25,0.01936368852257759,12,0.4453787077456323,False
17,2021-05-28,shallow,7,3,80,17,0.08129303813601274,12,0.46649711007032385,True
17,2021-05-28,balanced,15,4,60,3,0.050101165741120536,12,0.4547613397059209,False
17,2021-05-28,flexible,31,5,40,2,0.04572924814222456,12,0.44779997020135287,False
17,2021-05-28,regularized,15,4,40,25,0.01936368852257759,12,0.4453787077456323,False
18,2021-06-30,shallow,7,3,80,10,0.03474746086878163,12,0.4522635024010109,False
18,2021-06-30,balanced,15,4,60,5,0.03415171104294836,12,0.42566237519635286,False
18,2021-06-30,flexible,31,5,40,2,0.012986561281411619,12,0.4253833262859839,False
18,2021-06-30,regularized,15,4,40,2,0.05105653156480384,12,0.4283729907729099,True
19,2021-07-30,shallow,7,3,80,112,0.07032412965186075,12,0.4308502133258674,True
19,2021-07-30,balanced,15,4,60,31,0.06529011604641859,12,0.428354882350312,False
19,2021-07-30,flexible,31,5,40,22,0.04048819527811124,12,0.4338938802391976,False
19,2021-07-30,regularized,15,4,40,2,0.025395863070932573,12,0.4403847290947788,False
20,2021-08-31,shallow,7,3,80,50,0.10683436753934915,12,0.42544668556823195,True
20,2021-08-31,balanced,15,4,60,1,0.025039530056907438,12,0.41188202080494957,False
20,2021-08-31,flexible,31,5,40,8,0.035704573455983345,12,0.4089970742951061,False
20,2021-08-31,regularized,15,4,40,2,0.03177795511985471,12,0.4346067922415083,False
21,2021-09-30,shallow,7,3,80,3,0.04735840659776853,12,0.43627209142142376,False
21,2021-09-30,balanced,15,4,60,8,0.057700013848033894,12,0.43624840648963453,False
21,2021-09-30,flexible,31,5,40,6,0.10097275652707173,12,0.42141106972307424,True
21,2021-09-30,regularized,15,4,40,38,0.10093610196999069,12,0.43777879559031624,False
22,2021-10-29,shallow,7,3,80,72,0.08871548619447779,12,0.46079066925151196,False
22,2021-10-29,balanced,15,4,60,1,0.048159488014276296,12,0.454761852751262,False
22,2021-10-29,flexible,31,5,40,2,0.09371007832864937,12,0.46775595513519846,True
22,2021-10-29,regularized,15,4,40,16,0.051141634801334795,12,0.42397613102783754,False
23,2021-11-30,shallow,7,3,80,19,0.15131204060599188,12,0.4969704676616038,True
23,2021-11-30,balanced,15,4,60,21,0.09828490249713505,12,0.45686606116568446,False
23,2021-11-30,flexible,31,5,40,4,0.1046772076148214,12,0.43443444615923626,False
23,2021-11-30,regularized,15,4,40,2,0.06062200101893702,12,0.4428819675768401,False
24,2021-12-31,shallow,7,3,80,2,0.07103816468857875,12,0.4324132453256746,False
24,2021-12-31,balanced,15,4,60,6,0.07386625083214429,12,0.449709365232372,False
24,2021-12-31,flexible,31,5,40,17,0.07247869795120251,12,0.422731687433274,False
24,2021-12-31,regularized,15,4,40,19,0.08595227567223085,12,0.43876495632944934,True
25,2022-01-31,shallow,7,3,80,2,0.07103816468857875,12,0.4324132453256746,False
25,2022-01-31,balanced,15,4,60,6,0.07386625083214429,12,0.449709365232372,False
25,2022-01-31,flexible,31,5,40,17,0.07247869795120251,12,0.422731687433274,False
25,2022-01-31,regularized,15,4,40,19,0.08595227567223085,12,0.43876495632944934,True
26,2022-02-28,shallow,7,3,80,1,0.06360053855242165,12,0.4233980985316575,True
26,2022-02-28,balanced,15,4,60,58,0.052557022809123645,12,0.4007061713000189,False
26,2022-02-28,flexible,31,5,40,25,0.03075630252100839,12,0.3903875293258137,False
26,2022-02-28,regularized,15,4,40,5,0.06044083148328541,12,0.4291209443884933,False
27,2022-03-31,shallow,7,3,80,2,0.09016180475212206,12,0.48295159687016803,False
27,2022-03-31,balanced,15,4,60,9,0.11366011266787379,12,0.4605650122904059,True
27,2022-03-31,flexible,31,5,40,5,0.08277622139656657,12,0.45640366728375065,False
27,2022-03-31,regularized,15,4,40,22,0.10599980721833646,12,0.43687922592907796,False
28,2022-04-29,shallow,7,3,80,2,0.09016180475212206,12,0.48295159687016803,False
28,2022-04-29,balanced,15,4,60,9,0.11366011266787379,12,0.4605650122904059,True
28,2022-04-29,flexible,31,5,40,5,0.08277622139656657,12,0.45640366728375065,False
28,2022-04-29,regularized,15,4,40,22,0.10599980721833646,12,0.43687922592907796,False
29,2022-05-31,shallow,7,3,80,16,0.0515618198270524,12,0.43819237633862085,False
29,2022-05-31,balanced,15,4,60,9,0.07927150034521036,12,0.43980610942816484,True
29,2022-05-31,flexible,31,5,40,17,0.05895138995129739,12,0.44381653662916576,False
29,2022-05-31,regularized,15,4,40,32,0.055945912083249456,12,0.44411555164668637,False
30,2022-06-30,shallow,7,3,80,4,0.06849818826967802,12,0.40756318314142775,True
30,2022-06-30,balanced,15,4,60,4,0.06156597844191849,12,0.4268112047436647,False
30,2022-06-30,flexible,31,5,40,2,0.03474771736548115,12,0.4081469505792846,False
30,2022-06-30,regularized,15,4,40,36,-0.0015366146458583353,12,0.3887168309787165,False
31,2022-07-29,shallow,7,3,80,4,0.06849818826967802,12,0.40756318314142775,True
31,2022-07-29,balanced,15,4,60,4,0.06156597844191849,12,0.4268112047436647,False
31,2022-07-29,flexible,31,5,40,2,0.03474771736548115,12,0.4081469505792846,False
31,2022-07-29,regularized,15,4,40,36,-0.0015366146458583353,12,0.3887168309787165,False
32,2022-08-31,shallow,7,3,80,52,-0.008259303721488583,12,0.37312230314975464,False
32,2022-08-31,balanced,15,4,60,1,0.0793323701513043,12,0.39995423489038845,True
32,2022-08-31,flexible,31,5,40,43,-0.0016966786714685937,12,0.38680891297930753,False
32,2022-08-31,regularized,15,4,40,71,-0.02219287715086034,12,0.39258344906524395,False
33,2022-09-30,shallow,7,3,80,3,0.019234094199071548,12,0.3987042571909836,False
33,2022-09-30,balanced,15,4,60,1,0.05551676386838806,12,0.3742651951565759,True
33,2022-09-30,flexible,31,5,40,20,-0.01287386502696422,12,0.3962912813796738,False
33,2022-09-30,regularized,15,4,40,39,-0.013167642154293606,12,0.40010465262674016,False
34,2022-10-31,shallow,7,3,80,1,-0.007535855130215062,12,0.3940483570530639,False
34,2022-10-31,balanced,15,4,60,2,0.045230829197975185,12,0.3762445728009271,True
34,2022-10-31,flexible,31,5,40,2,-0.021714701922271276,12,0.3753243428624935,False
34,2022-10-31,regularized,15,4,40,1,-0.0018039756183368956,12,0.34529569949717187,False
35,2022-11-30,shallow,7,3,80,1,-0.014224947506002346,12,0.3448394982878189,True
35,2022-11-30,balanced,15,4,60,107,-0.07034013605442177,12,0.35292962309018217,False
35,2022-11-30,flexible,31,5,40,20,-0.05311479663564369,12,0.3569597969336646,False
35,2022-11-30,regularized,15,4,40,4,-0.02609977979719139,12,0.3821969300709529,False
36,2022-12-30,shallow,7,3,80,1,0.00464777792193644,12,0.3539952627187218,True
36,2022-12-30,balanced,15,4,60,1,-0.028832758665386884,12,0.340703904789697,False
36,2022-12-30,flexible,31,5,40,43,-0.017062825130052018,12,0.3632439193059604,False
36,2022-12-30,regularized,15,4,40,252,-0.037110844337735094,12,0.3554414876454097,False
37,2023-01-31,shallow,7,3,80,1,0.00464777792193644,12,0.3539952627187218,True
37,2023-01-31,balanced,15,4,60,1,-0.028832758665386884,12,0.340703904789697,False
