first_signal,second_signal,months,mean_correlation,median_correlation,mean_absolute_correlation,maximum_absolute_correlation
return_1m_sector_neutral,downside_volatility_60d_sector_neutral,70,-0.19353661464585833,-0.21762304921968784,0.25224489795918364,0.7524129651860745
reversal_1m_sector_neutral,downside_volatility_60d_sector_neutral,70,0.19353661464585833,0.21762304921968784,0.25224489795918364,0.7524129651860745
momentum_6_1_sector_neutral,beta_60d_market_sector_neutral,66,0.08359998544872495,0.10636254501800721,0.25032558477936634,0.5975990396158463
momentum_6_1_sector_neutral,volatility_60d_sector_neutral,66,-0.0014813198006475364,0.03236494597839136,0.24792316926770708,0.5904921968787515
volatility_20d_sector_neutral,sma_50_200_spread_sector_neutral,63,-0.0063667371710589065,-0.0041776710684273705,0.24696430953333717,0.5987515006002401
return_3m_sector_neutral,return_1w_sector_neutral,69,0.2153884162360596,0.17301320528211284,0.24408163265306124,0.6729891956782713
momentum_12_1_sector_neutral,positive_day_ratio_60d_sector_neutral,60,0.2343132644493261,0.2352873510081692,0.24243567093091423,0.5858168768705119
volatility_20d_sector_neutral,distance_sma_200d_sector_neutral,63,-0.004545056117685166,0.004945978391356542,0.24094590217039194,0.4794717887154862
beta_60d_market_sector_neutral,amihud_illiquidity_20d_sector_neutral,70,0.22314251414851655,0.23044417767106842,0.24085748585148345,0.5637935174069627
beta_60d_market_sector_neutral,distance_sma_200d_sector_neutral,63,0.09579984374702265,0.09944777911164465,0.23892299777053677,0.5943337334933974
reversal_1m_sector_neutral,max_drawdown_126d_sector_neutral,66,-0.09730728655098402,-0.07673469387755102,0.23770380879624572,0.6061464585834333
return_1m_sector_neutral,max_drawdown_126d_sector_neutral,66,0.09730728655098402,0.07673469387755102,0.23770380879624572,0.6061464585834333
momentum_12_1_sector_neutral,volatility_20d_sector_neutral,60,0.055423769507803124,0.0687154861944778,0.23537895158063227,0.5516926770708284
volatility_20d_sector_neutral,average_dollar_volume_20d_sector_neutral,72,0.22303054555155397,0.22180072028811523,0.23117246898759505,0.6302521008403361
return_1w_sector_neutral,beta_60d_market_sector_neutral,70,0.0014227405247813432,0.014933973589435774,0.23083519121934484,0.6535894357743097
volatility_60d_sector_neutral,amihud_illiquidity_20d_sector_neutral,70,0.21599999999999997,0.23788715486194478,0.22992831418281595,0.5389195678271309
momentum_6_1_sector_neutral,downside_volatility_60d_sector_neutral,66,-0.1498141074611663,-0.0921968787515006,0.228248390265197,0.6038415366146458
momentum_6_1_sector_neutral,distance_sma_50d_sector_neutral,66,0.18662737822401684,0.21387755102040817,0.22764305722288913,0.693061224489796
momentum_6_1_sector_neutral,volatility_20d_sector_neutral,66,0.0006518971224853553,0.027418967587034812,0.22727199970897452,0.6234333733493397
downside_volatility_60d_sector_neutral,amihud_illiquidity_20d_sector_neutral,70,0.20273846681529753,0.2081152460984394,0.22654638998456525,0.6141176470588235
return_1w_sector_neutral,downside_volatility_60d_sector_neutral,70,-0.06341004973417941,-0.039327731092436966,0.2259674155376436,0.7007442977190875
momentum_12_1_sector_neutral,downside_volatility_60d_sector_neutral,60,-0.025813525410164066,0.016566626650660263,0.2249587835134053,0.6112364945978391
volatility_60d_sector_neutral,average_dollar_volume_20d_sector_neutral,70,0.21178116961070143,0.2207923169267707,0.22156336820442463,0.48168067226890754
return_1w_sector_neutral,volatility_60d_sector_neutral,70,0.030920253815812045,0.050660264105642255,0.21588338192419823,0.5802160864345739
