signal_date,execution_date,strategy_name,pre_trade_nav,post_cost_investable_value,cash_before,cash_after,transaction_cost,transaction_cost_fraction,buy_notional,sell_notional,traded_notional,two_way_turnover,one_way_turnover,holdings_before,holdings_after,maximum_target_weight,maximum_sector_target_weight
2023-03-31,2023-04-03,momentum_3m_top20_equal_weight,1597558.4312397598,1596397.2984273694,-1.2190639608888887e-09,-6.867821866762824e-09,1161.1328123969718,0.000726817116476856,579985.8397922905,581146.9726046815,1161132.8123969717,0.726817116476856,0.3637719667966646,20,20,0.05,0.2
2023-03-31,2023-04-03,ridge_top20_equal_weight,2038999.784453402,2037309.3011728972,-6.864979695819784e-09,-9.484665497438982e-09,1690.4832805143055,0.0008290747715637822,844396.3986168971,846086.8818974084,1690483.2805143055,0.8290747715637822,0.41495192316767227,20,20,0.05,0.2
2023-03-31,2023-04-03,universe_equal_weight,1643789.2797263071,1643709.5049043903,3.7580889511446e-09,-2.905721885326784e-09,79.77482191996648,4.8531051336001585e-05,39847.52354902672,39927.29837093978,79774.82191996649,0.048531051336001586,0.0242897911936667,50,50,0.02,0.16
2023-04-28,2023-05-01,elastic_net_score_weighted,1988350.7107034577,1987450.050856951,1.1234533303650096e-09,2.597857928776648e-09,900.6598465041822,0.00045296830265196934,449879.59332883806,450780.25317534397,900659.8465041821,0.4529683026519693,0.22671063547731105,25,25,0.05,0.15
2023-04-28,2023-05-01,elastic_net_top20_equal_weight,2048073.8097377406,2046771.4968009463,-9.444647730560973e-09,5.010406312067062e-09,1302.3129367890024,0.0006358720718936228,650505.311926099,651807.6248629031,1302312.9367890023,0.6358720718936227,0.31825397198276184,20,20,0.05,0.15000000000000002
2023-04-28,2023-05-01,momentum_3m_top20_equal_weight,1625105.863685604,1623948.9698022325,-6.867821866762824e-09,7.226162779261358e-09,1156.8938833642667,0.0007118883201495122,577868.4947404441,579025.3886238225,1156893.8833642667,0.7118883201495122,0.35630010423483516,20,20,0.05,0.2
2023-04-28,2023-05-01,ridge_top20_equal_weight,2071360.0353352951,2070042.915337983,-9.484665497438982e-09,5.5481450544903055e-09,1317.119997306301,0.0006358720718936223,657901.43865449,659218.5586518112,1317119.997306301,0.6358720718936224,0.3182539719827617,20,20,0.05,0.15000000000000002
2023-04-28,2023-05-01,universe_equal_weight,1675761.8262851064,1675689.7563836144,-2.905721885326784e-09,5.7326730029672035e-09,72.0699014860155,4.3007246230082016e-05,35998.91579226051,36070.98569375502,72069.9014860155,0.04300724623008202,0.021525126738158595,50,50,0.02,0.16
2023-05-31,2023-06-01,elastic_net_score_weighted,2025362.5274093894,2024033.9645865234,2.597857928776648e-09,-6.250957085285336e-09,1328.5628228725045,0.0006559629720077072,663617.1300248207,664945.692847684,1328562.8228725046,0.6559629720077073,0.3283094674898553,25,25,0.05,0.17505560053327418
2023-05-31,2023-06-01,elastic_net_top20_equal_weight,2092396.673214642,2091198.5824742927,5.010406312067062e-09,-2.1736923372372985e-09,1198.0907403515503,0.0005725925469528061,598446.3248056031,599644.4155459474,1198090.7403515503,0.5725925469528061,0.2865825697498778,20,20,0.05,0.15000000000000002
2023-05-31,2023-06-01,momentum_3m_top20_equal_weight,1638583.027019059,1637373.1335448637,7.226162779261358e-09,2.6589077606331557e-09,1209.8934741927264,0.0007383778876275726,604341.790359269,605551.6838334574,1209893.4741927264,0.7383778876275725,0.36955813275759875,20,20,0.05,0.2
2023-05-31,2023-06-01,ridge_top20_equal_weight,2116186.8416843456,2114975.1288708393,5.5481450544903055e-09,-1.6855210560606793e-09,1211.712813508054,0.0005725925469528061,605250.5503472765,606462.2631607775,1211712.813508054,0.572592546952806,0.2865825697498778,20,20,0.05,0.15000000000000002
2023-05-31,2023-06-01,universe_equal_weight,1677758.3799105838,1677628.2163705193,5.7326730029672035e-09,2.0065442640770925e-09,130.16354006235068,7.758181489118102e-05,65016.688261145915,65146.85180120479,130163.54006235069,0.07758181489118103,0.038829698353035076,50,50,0.02,0.16
2023-06-30,2023-07-03,elastic_net_score_weighted,2171307.093585935,2170531.441168679,-6.250957085285336e-09,-2.97859514830634e-10,775.652417256329,0.0003572283347425221,387438.38241953345,388214.0348367954,775652.417256329,0.357228334742522,0.17879278153863354,25,25,0.05,0.14735460843813883
2023-06-30,2023-07-03,elastic_net_top20_equal_weight,2240081.7412072173,2239331.2309738686,-2.1736923372372985e-09,-7.452968020515982e-09,750.5102333556885,0.0003350369852803791,374879.8615611691,375630.37179451936,750510.2333556884,0.33503698528037906,0.16768601113282852,20,20,0.05,0.15000000000000002
2023-06-30,2023-07-03,momentum_3m_top20_equal_weight,1742674.4619017092,1741266.728871869,2.6589077606331557e-09,2.044998836936429e-09,1407.7330298382362,0.0008078003440195221,703162.6484041993,704570.3814340369,1407733.0298382363,0.8078003440195222,0.4043040721817706,20,20,0.05,0.15000000000000002
2023-06-30,2023-07-03,ridge_top20_equal_weight,2265551.061958598,2264994.2811777033,-1.6855210560606793e-09,-2.944489096989855e-10,556.7807808949763,0.00024575953737879214,278112.00005704,278668.7808379362,556780.7808949762,0.2457595373787921,0.12300264845808573,20,20,0.05,0.15000000000000002
2023-06-30,2023-07-03,universe_equal_weight,1783920.3536861006,1783856.352269868,2.0065442640770925e-09,-7.436824489559513e-10,64.00141623341341,3.5876835028631066e-05,31968.707408591294,32032.708824822104,64001.4162334134,0.03587683502863106,0.017956355931829114,50,50,0.02,0.16
2023-07-31,2023-08-01,elastic_net_score_weighted,2290837.4939383855,2290116.78591882,-2.97859514830634e-10,1.5536443243036047e-09,720.7080195637716,0.0003146046026707627,359993.6557721031,360714.3637916686,720708.0195637716,0.31460460267076273,0.15745960363671715,25,25,0.05,0.16516940533476615
2023-07-31,2023-08-01,elastic_net_top20_equal_weight,2370697.8168818206,2370126.485079921,-7.452968020515982e-09,-4.0147369873011485e-09,571.3318019037235,0.00024099731219864891,285380.23505090806,285951.5668528154,571331.8019037235,0.2409973121986489,0.12061915475542452,20,20,0.05,0.2
