as_of_date,sector,portfolio_weight,universe_equal_weight,active_weight,positions,component_risk,risk_contribution_share
2020-07-31,Information Technology,0.2,0.16,0.04000000000000001,4,0.08012966009563996,0.23519827022915402
2020-07-31,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.04954878794402938,0.1454366485827759
2020-07-31,Health Care,0.15000000000000002,0.14,0.010000000000000009,3,0.04199303851844275,0.12325885333115727
2020-07-31,Communication Services,0.1,0.08,0.020000000000000004,2,0.029226558822129295,0.08578641256571938
2020-07-31,Consumer Staples,0.1,0.1,0.0,2,0.02038924640214106,0.05984694655307185
2020-07-31,Financials,0.1,0.14,-0.04000000000000001,2,0.04427040169119209,0.12994341780172797
2020-07-31,Energy,0.05,0.06,-0.009999999999999995,1,0.021702697818375742,0.06370221688318073
2020-07-31,Industrials,0.05,0.1,-0.05,1,0.020190450046448642,0.059263435292311366
2020-07-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.017477519546779237,0.05130038440687677
2020-07-31,Utilities,0.05,0.04,0.010000000000000002,1,0.01576147504588331,0.04626341435402446
2020-08-31,Information Technology,0.30000000000000004,0.16,0.14000000000000004,6,0.11018919119311692,0.334047270766157
2020-08-31,Consumer Staples,0.15000000000000002,0.1,0.05000000000000002,3,0.034980675049149,0.10604669027152235
2020-08-31,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.031750793919865974,0.09625504950845351
2020-08-31,Financials,0.1,0.14,-0.04000000000000001,2,0.04302002990144685,0.13041863200239612
2020-08-31,Industrials,0.1,0.1,0.0,2,0.03174993390077968,0.09625244229239657
2020-08-31,Communication Services,0.05,0.08,-0.03,1,0.011815560462645364,0.035819808480141976
2020-08-31,Energy,0.05,0.06,-0.009999999999999995,1,0.020861861883046104,0.06324438857998795
2020-08-31,Health Care,0.05,0.14,-0.09000000000000001,1,0.01177481685979086,0.03569629101724606
2020-08-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.017596945655693762,0.05334653613894638
2020-08-31,Utilities,0.05,0.04,0.010000000000000002,1,0.016121264250714733,0.04887289094275217
2020-09-30,Information Technology,0.25,0.16,0.09,5,0.0963146662936861,0.28378292138004907
2020-09-30,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.05599444144352285,0.16498282956651528
2020-09-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.02862791002991144,0.08434968685372535
2020-09-30,Consumer Staples,0.1,0.1,0.0,2,0.020648456598676614,0.06083891022052715
2020-09-30,Financials,0.1,0.14,-0.04000000000000001,2,0.040543995605719155,0.11945941319390845
2020-09-30,Health Care,0.1,0.14,-0.04000000000000001,2,0.02643178190621711,0.07787898328749475
2020-09-30,Industrials,0.1,0.1,0.0,2,0.031759516073071335,0.09357669604907973
2020-09-30,Energy,0.05,0.06,-0.009999999999999995,1,0.02123046071130184,0.06255373552898401
2020-09-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.017844341111097575,0.05257682391971643
2020-10-30,Information Technology,0.30000000000000004,0.16,0.14000000000000004,6,0.1157845557009855,0.35524064465399463
2020-10-30,Health Care,0.2,0.14,0.06,4,0.05079331242574933,0.1558398608604875
2020-10-30,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.036543391468468564,0.11211942615755588
2020-10-30,Consumer Staples,0.1,0.1,0.0,2,0.02404828651638484,0.07378297349921777
2020-10-30,Industrials,0.1,0.1,0.0,2,0.03172135299411135,0.09732484456758274
2020-10-30,Communication Services,0.05,0.08,-0.03,1,0.013056229203349154,0.04005804790516277
2020-10-30,Financials,0.05,0.14,-0.09000000000000001,1,0.019183547149579056,0.058857380545346435
2020-10-30,Materials,0.05,0.04,0.010000000000000002,1,0.016901898092611237,0.05185701269002868
2020-10-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.017900163716930192,0.054919809120623525
2020-11-30,Information Technology,0.30000000000000004,0.16,0.14000000000000004,6,0.11714651255926345,0.3431836663320246
2020-11-30,Health Care,0.2,0.14,0.06,4,0.058180066704336224,0.17043997437768366
2020-11-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.030910164300112494,0.0905521067566688
2020-11-30,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.03746848332997794,0.10976486794327002
2020-11-30,Consumer Staples,0.05,0.1,-0.05,1,0.009199974883069381,0.026951558706769418
2020-11-30,Energy,0.05,0.06,-0.009999999999999995,1,0.020755960858352313,0.060805111394245076
2020-11-30,Financials,0.05,0.14,-0.09000000000000001,1,0.019333098927096348,0.056636801441307644
2020-11-30,Industrials,0.05,0.1,-0.05,1,0.013729342757021196,0.04022045625387233
2020-11-30,Materials,0.05,0.04,0.010000000000000002,1,0.01688771326069932,0.049472982388944806
2020-11-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.017740920454401614,0.05197247440521361
2020-12-31,Information Technology,0.25,0.16,0.09,5,0.09536463084540414,0.24604024522398185
2020-12-31,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.06911329085208223,0.17831192632674248
2020-12-31,Communication Services,0.1,0.08,0.020000000000000004,2,0.03407930375550171,0.08792442416789675
2020-12-31,Energy,0.1,0.06,0.04000000000000001,2,0.053652159159015764,0.13842228800402798
2020-12-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.02277346623787175,0.05875542292875208
2020-12-31,Industrials,0.1,0.1,0.0,2,0.038561531266574654,0.09948854753520504
2020-12-31,Consumer Discretionary,0.05,0.12,-0.06999999999999999,1,0.022879099656751153,0.05902795659301036
2020-12-31,Materials,0.05,0.04,0.010000000000000002,1,0.017371643799393228,0.04481874949293482
