strategy_name,as_of_date,constraint_set,holdings,weight_sum,minimum_weight,maximum_weight,maximum_sector_weight,top_ten_concentration,weight_sum_ok,long_only_ok,asset_cap_ok,sector_cap_required,sector_cap_ok,constraints_pass
elastic_net_score_weighted,2022-05-31,active_long_only,25,1.0,0.0,0.05,0.14552524398545016,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-05-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-05-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-05-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-05-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-06-30,active_long_only,25,0.9999999999999998,0.0,0.05,0.13667656459784788,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-06-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-06-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-06-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2022-06-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-07-29,active_long_only,25,1.0,0.0,0.05,0.19999999999999998,0.49999999999999994,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-07-29,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-07-29,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-07-29,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-07-29,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-08-31,active_long_only,25,1.0,0.0,0.05,0.18023301409796574,0.49999999999999994,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-08-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-08-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-08-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-08-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-09-30,active_long_only,25,1.0,0.0,0.05,0.14429187198979881,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-09-30,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-09-30,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-09-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2022-09-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-10-31,active_long_only,25,0.9999999999999999,0.0,0.05,0.15289974232063774,0.49945101216657123,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-10-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-10-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-10-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2022-10-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-11-30,active_long_only,25,1.0,0.0,0.05,0.15,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-11-30,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-11-30,active_long_only,20,1.0,0.0,0.05,0.25,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-11-30,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2022-11-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-12-30,active_long_only,25,0.9999999999999999,0.0,0.05,0.14576844233315997,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-12-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-12-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-12-30,active_long_only,20,1.0,0.0,0.05,0.25,0.5,True,True,True,True,True,True
universe_equal_weight,2022-12-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2023-01-31,active_long_only,25,1.0,0.0,0.05,0.13902655065561484,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2023-01-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2023-01-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2023-01-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2023-01-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2023-02-28,active_long_only,25,1.0,0.0,0.05,0.1641515898756989,0.49965006662973166,True,True,True,True,True,True
elastic_net_top20_equal_weight,2023-02-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2023-02-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2023-02-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2023-02-28,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2023-03-31,active_long_only,25,1.0,0.0,0.05,0.1588000331307912,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2023-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2023-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2023-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2023-03-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2023-04-28,active_long_only,25,1.0,0.0,0.05,0.15,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2023-04-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2023-04-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2023-04-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2023-04-28,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2023-05-31,active_long_only,25,1.0,0.0,0.05,0.17505560053327418,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2023-05-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2023-05-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2023-05-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2023-05-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2023-06-30,active_long_only,25,1.0,0.0,0.05,0.14735460843813883,0.5,True,True,True,True,True,True
