feature,mean_gain,mean_gain_share,median_gain_share,mean_split_count,folds_used
fund__interest_coverage_sector_zscore,1.5364540505718876,0.0010023532005993974,0.0,0.5714285714285714,17
fund__debt_to_assets_sector_zscore,1.10579801844312,0.0009769905520410536,0.0,0.4155844155844156,17
fund__net_margin_zscore,1.7495063655562215,0.0008384673439648116,0.0,0.7532467532467533,20
fund__cash_conversion_missing,0.7723991367724035,0.0008126557610279765,0.0,0.12987012987012986,8
fund__gross_margin_zscore,0.8049513544742163,0.0005122708675930489,0.0,0.37662337662337664,17
fund__net_debt_to_assets_sector_zscore,1.2265598499155663,0.00047139824418613815,0.0,0.5194805194805194,14
fund__interest_coverage_missing,0.2836724690028599,0.00028855322688059584,0.0,0.05194805194805195,4
fund__roa_missing,0.32169181959969656,0.0002884943332296282,0.0,0.05194805194805195,4
fund__capex_to_assets_missing,0.535384929025328,0.0002518370566137848,0.0,0.16883116883116883,10
fund__fcf_yield_missing,0.11425662659979485,0.00020360459902929418,0.0,0.025974025974025976,2
fund__revenue_growth_acceleration_missing,0.04003519439077997,0.00019272054267007984,0.0,0.025974025974025976,1
fund__operating_cash_flow_growth_acceleration_missing,0.26757195398405,0.00011931287701665292,0.0,0.07792207792207792,6
fund__gross_profitability_sector_zscore,0.300826480636349,0.00010437894713511858,0.0,0.16883116883116883,8
fund__gross_profitability_missing,0.2237403950133881,8.821454607934566e-05,0.0,0.06493506493506493,5
fund__operating_cash_flow_growth_yoy_missing,0.13617973977869208,3.599819938498499e-05,0.0,0.07792207792207792,5
fund__net_income_growth_yoy_missing,0.08365844132064225,2.0637949683833614e-05,0.0,0.05194805194805195,2
fund__sales_yield_missing,0.04060896031268231,1.839857484298292e-05,0.0,0.012987012987012988,1
fund__asset_growth_yoy_missing,0.03238285671580921,1.5061231033754345e-05,0.0,0.025974025974025976,2
fund__revenue_growth_yoy_missing,0.03615261053110098,8.847061873336358e-06,0.0,0.025974025974025976,2
fund__net_income_growth_acceleration_missing,0.020451531781778706,5.045249196694365e-06,0.0,0.025974025974025976,2
fund__current_ratio_missing,0.014597401990518942,3.5322981608612416e-06,0.0,0.012987012987012988,1
fund__earnings_yield_missing,0.0,0.0,0.0,0.0,0
fund__book_to_market_missing,0.0,0.0,0.0,0.0,0
fund__accruals_missing,0.0,0.0,0.0,0.0,0
fund__net_debt_to_assets_missing,0.0,0.0,0.0,0.0,0
fund__operating_margin_missing,0.0,0.0,0.0,0.0,0
fund__net_margin_missing,0.0,0.0,0.0,0.0,0
fund__gross_margin_missing,0.0,0.0,0.0,0.0,0
tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0.0,0.0,0
