signal,as_of_date,quintile,observations,mean_target_21d_excess,median_target_21d_excess,mean_target_21d
dollar_volume_change_20d_60d_sector_neutral,2017-11-30,3,10,0.011803562228544806,0.012968703059147102,0.032923628132375225
dollar_volume_change_20d_60d_sector_neutral,2017-11-30,4,10,0.012080815625625019,0.007253624168278572,0.03320088152945544
dollar_volume_change_20d_60d_sector_neutral,2017-11-30,5,10,-0.0017092171449799797,-0.002314724182982175,0.019410848758850442
dollar_volume_change_20d_60d_sector_neutral,2017-12-29,1,10,0.09013543412519717,0.06147767270568538,0.15679827539617427
dollar_volume_change_20d_60d_sector_neutral,2017-12-29,2,10,-0.024674664433372996,-0.010630037475018006,0.041988176837604106
dollar_volume_change_20d_60d_sector_neutral,2017-12-29,3,10,-0.025029552563474954,-0.0225838896601972,0.041633288707502145
dollar_volume_change_20d_60d_sector_neutral,2017-12-29,4,10,-0.011837543519900207,-0.00591408947955685,0.0548252977510769
dollar_volume_change_20d_60d_sector_neutral,2017-12-29,5,10,-0.011433897648515146,0.004095226148248754,0.05522894362246196
dollar_volume_change_20d_60d_sector_neutral,2018-01-31,1,10,-0.027246317707735234,-0.021600848664210304,-0.07891945377033356
dollar_volume_change_20d_60d_sector_neutral,2018-01-31,2,10,0.0025003761299916215,0.013772989840159566,-0.049172759932606704
dollar_volume_change_20d_60d_sector_neutral,2018-01-31,3,10,0.0009881863736509455,0.006054924175551868,-0.05068494968894738
dollar_volume_change_20d_60d_sector_neutral,2018-01-31,4,10,0.00576136331664776,-0.0024245538678666634,-0.04591177274595056
dollar_volume_change_20d_60d_sector_neutral,2018-01-31,5,10,0.02566678578706927,0.026775957942007877,-0.026006350275529055
dollar_volume_change_20d_60d_sector_neutral,2018-02-28,1,10,-0.02379615445002554,-0.00606161491393109,-0.04584342767952172
dollar_volume_change_20d_60d_sector_neutral,2018-02-28,2,10,0.007419726328250465,-0.0017240400391590471,-0.014627546901245713
dollar_volume_change_20d_60d_sector_neutral,2018-02-28,3,10,0.02883614932032704,0.02684988356901119,0.006788876090830865
dollar_volume_change_20d_60d_sector_neutral,2018-02-28,4,10,-0.008516044693936043,-0.009912659919692424,-0.03056331792343222
dollar_volume_change_20d_60d_sector_neutral,2018-02-28,5,10,-0.03240058343499101,-0.020580318716332036,-0.05444785666448719
dollar_volume_change_20d_60d_sector_neutral,2018-03-29,1,10,0.0059297222748658784,0.011724993241479853,0.0088977304875838
dollar_volume_change_20d_60d_sector_neutral,2018-03-29,2,10,-0.0032682068425601064,-0.013737789793033528,-0.00030019862984218546
dollar_volume_change_20d_60d_sector_neutral,2018-03-29,3,10,-0.009669026623146249,-0.008403184530454244,-0.006701018410428328
dollar_volume_change_20d_60d_sector_neutral,2018-03-29,4,10,0.032876798650627814,0.01896036007112134,0.035844806863345735
dollar_volume_change_20d_60d_sector_neutral,2018-03-29,5,10,0.03466716179389915,0.03551713242555199,0.03763517000661707
dollar_volume_change_20d_60d_sector_neutral,2018-04-30,1,10,0.007521491561118321,-0.01302967428433388,0.043209374344195875
dollar_volume_change_20d_60d_sector_neutral,2018-04-30,2,10,-0.008645668729920054,-0.011549338848697133,0.027042214053157498
dollar_volume_change_20d_60d_sector_neutral,2018-04-30,3,10,0.008680582758976796,0.0011343851609856292,0.04436846554205435
dollar_volume_change_20d_60d_sector_neutral,2018-04-30,4,10,0.006764345588613485,0.00448163042219063,0.042452228371691034
dollar_volume_change_20d_60d_sector_neutral,2018-04-30,5,10,0.0019112107311289983,-0.006858932429189779,0.03759909351420655
dollar_volume_change_20d_60d_sector_neutral,2018-05-31,1,10,0.005272262680278239,0.003108891997774643,0.018511565670047737
dollar_volume_change_20d_60d_sector_neutral,2018-05-31,2,10,-0.01811898064871541,-0.010496794892437433,-0.004879677658945913
dollar_volume_change_20d_60d_sector_neutral,2018-05-31,3,10,0.019333226846669126,-0.010693326898894684,0.03257252983643862
dollar_volume_change_20d_60d_sector_neutral,2018-05-31,4,10,-0.012566592485557504,-0.0009251577282911594,0.000672710504211993
dollar_volume_change_20d_60d_sector_neutral,2018-05-31,5,10,0.00411000709385122,0.019779387591075115,0.017349310083620718
dollar_volume_change_20d_60d_sector_neutral,2018-06-29,1,10,-0.005273850612156916,-0.007115570298578011,0.040843920698552125
dollar_volume_change_20d_60d_sector_neutral,2018-06-29,2,10,0.013024404600770811,-0.002380687211800403,0.059142175911479855
dollar_volume_change_20d_60d_sector_neutral,2018-06-29,3,10,0.012105952062202463,0.0018867376172204686,0.058223723372911505
dollar_volume_change_20d_60d_sector_neutral,2018-06-29,4,10,0.0038825630777920895,0.0016546828516387224,0.050000334388501134
dollar_volume_change_20d_60d_sector_neutral,2018-06-29,5,10,-0.0421024212047175,0.00995442480372466,0.0040153501059915445
dollar_volume_change_20d_60d_sector_neutral,2018-07-31,1,10,0.04815158534644605,0.039637000197639494,0.0765490783960704
dollar_volume_change_20d_60d_sector_neutral,2018-07-31,2,10,-0.003242671598061131,0.005492459376869596,0.025154821451563225
dollar_volume_change_20d_60d_sector_neutral,2018-07-31,3,10,-0.017882972636614303,-0.006223508467032124,0.010514520413010053
dollar_volume_change_20d_60d_sector_neutral,2018-07-31,4,10,0.00691623281658843,-5.510818436249565e-06,0.035313725866212786
dollar_volume_change_20d_60d_sector_neutral,2018-07-31,5,10,0.004667735787098837,-0.0050917270810207915,0.03306522883672319
dollar_volume_change_20d_60d_sector_neutral,2018-08-31,1,10,0.0032829718992260504,-0.002652628375670929,0.02352669838532101
dollar_volume_change_20d_60d_sector_neutral,2018-08-31,2,10,0.00369125371482546,0.008530845151361932,0.02393498020092042
dollar_volume_change_20d_60d_sector_neutral,2018-08-31,3,10,0.01210098977680959,0.020110123704743632,0.03234471626290455
dollar_volume_change_20d_60d_sector_neutral,2018-08-31,4,10,-0.016043067291483325,-0.007595585166745411,0.004200659194611633
dollar_volume_change_20d_60d_sector_neutral,2018-08-31,5,10,-0.0030384836430912055,-0.0062872935912396954,0.017205242843003753
dollar_volume_change_20d_60d_sector_neutral,2018-09-28,1,10,0.007988770515071653,-0.009607560726854314,-0.0865588834621204
dollar_volume_change_20d_60d_sector_neutral,2018-09-28,2,10,-0.01854561837766905,-0.020559521877029474,-0.11309327235486114
dollar_volume_change_20d_60d_sector_neutral,2018-09-28,3,10,0.07022778741986871,0.09272346102115142,-0.024319866557323357
dollar_volume_change_20d_60d_sector_neutral,2018-09-28,4,10,-0.014140422008336128,-0.012542103060528609,-0.10868807598552817
dollar_volume_change_20d_60d_sector_neutral,2018-09-28,5,10,0.004283977459734589,0.02234187293353579,-0.09026367651745747
dollar_volume_change_20d_60d_sector_neutral,2018-10-31,1,10,-0.004826597181381842,-0.006216561698673018,0.037636125335837434
dollar_volume_change_20d_60d_sector_neutral,2018-10-31,2,10,-0.08128336477375434,-0.04717150179470142,-0.038820642256535066
dollar_volume_change_20d_60d_sector_neutral,2018-10-31,3,10,-0.013574132830156271,-0.0049782054564062594,0.028888589687063003
dollar_volume_change_20d_60d_sector_neutral,2018-10-31,4,10,0.0067634865254344815,0.0032258345243127984,0.049226209042653755
dollar_volume_change_20d_60d_sector_neutral,2018-10-31,5,10,0.011881097810924224,0.024433524447710075,0.0543438203281435
dollar_volume_change_20d_60d_sector_neutral,2018-11-30,1,10,-0.00740875370853874,-0.028218595141637604,-0.11109505699749492
dollar_volume_change_20d_60d_sector_neutral,2018-11-30,2,10,0.009077475274300539,0.01137328734676829,-0.09460882801465563
dollar_volume_change_20d_60d_sector_neutral,2018-11-30,3,10,-0.01262001138167751,-0.013971105321481436,-0.11630631467063368
dollar_volume_change_20d_60d_sector_neutral,2018-11-30,4,10,0.04845678188582003,0.05086281276779886,-0.05522952140313614
dollar_volume_change_20d_60d_sector_neutral,2018-11-30,5,10,-0.019207899594873668,-0.016411871778453047,-0.12289420288382984
dollar_volume_change_20d_60d_sector_neutral,2018-12-31,1,10,-0.019803418001667916,-0.005262932728855807,0.048694509259879545
dollar_volume_change_20d_60d_sector_neutral,2018-12-31,2,10,0.012543660852335891,0.02320998087185655,0.08104158811388336
