factor_1,factor_2,dates_evaluated,mean_spearman,median_spearman,mean_abs_spearman,max_abs_spearman,same_sign_ratio
net_debt_to_assets,asset_growth_yoy,139,-0.26290185088786727,-0.24539150063852666,0.2646901818881375,0.6059859634584311,0.9712230215827338
debt_to_assets,capex_to_assets,151,-0.26084611042571443,-0.3178475935828877,0.27368426181267097,0.45822192513368987,0.9337748344370861
roe,cash_conversion,151,-0.2551146829364038,-0.265922522931754,0.2664751546762242,0.6684904534818488,0.9205298013245033
sales_yield,roa,151,-0.2490106764941649,-0.25895515926286733,0.24912570283519697,0.44975605179208106,0.9933774834437086
roe,net_income_growth_yoy,139,0.24535563343758254,0.26011911645657454,0.2619777115997533,0.5882316659470795,0.9064748201438849
cash_conversion,capex_to_assets,151,0.24416772595510147,0.2594700342457013,0.2488670535286634,0.5206856035718288,0.9536423841059603
net_income_growth_acceleration,operating_cash_flow_growth_acceleration,127,0.23892539151012407,0.2393266570035578,0.24652033997199527,0.6411582553696139,0.9448818897637795
operating_cash_flow_growth_yoy,asset_growth_yoy,139,0.23865718531918043,0.269201020140082,0.2470807448002327,0.5586566335656572,0.9064748201438849
operating_margin,debt_to_assets,151,0.23715927162806053,0.2982608695652174,0.27328208920783176,0.46,0.8344370860927153
operating_cash_flow_growth_yoy,revenue_growth_acceleration,127,0.2308179517477247,0.2328176979657921,0.24785662706530112,0.7468991242604851,0.8503937007874016
net_income_growth_yoy,revenue_growth_acceleration,127,0.23074291403639238,0.24004214128867812,0.2558042782176209,0.5732636356268741,0.8110236220472441
earnings_yield,accruals,151,0.22845362810459421,0.21100109248802132,0.23190294674902395,0.5207638022786247,0.9536423841059603
earnings_yield,net_income_growth_yoy,139,0.2255315201047586,0.18601289435048435,0.24321832875179142,0.6464257077653734,0.8920863309352518
gross_profitability,capex_to_assets,151,0.22290962854364213,0.23506493506493506,0.22297455517654693,0.38646616541353385,0.9933774834437086
book_to_market,gross_margin,151,-0.21825516401487494,-0.2608695652173913,0.22626762376934448,0.4308300395256917,0.9668874172185431
interest_coverage,capex_to_assets,151,0.21612163548664592,0.2888827800603193,0.26623476003685653,0.4759679690600664,0.8410596026490066
fcf_yield,operating_cash_flow_growth_yoy,139,0.21609058389612193,0.26016539107690656,0.2808482700654967,0.5827314545726708,0.8345323741007195
sales_yield,interest_coverage,151,-0.21510771397202819,-0.1720008408167841,0.21510771397202819,0.6996067806130406,1.0
net_margin,debt_to_assets,151,0.2126122562894779,0.2612227753447087,0.2448995245500687,0.4679907272497853,0.8344370860927153
net_debt_to_assets,current_ratio,151,-0.20611713884505642,-0.22368513256058975,0.21727726392184082,0.46415240441138905,0.9006622516556292
roe,net_debt_to_assets,151,0.20426123289856402,0.18964913555857138,0.20963240651343512,0.4776529924552183,0.9271523178807947
book_to_market,debt_to_assets,151,-0.20295607590800935,-0.2042936823137002,0.20295607590800935,0.351502671427398,1.0
accruals,net_income_growth_yoy,139,0.20176569194007188,0.19893572032703694,0.235409562842508,0.6017511015348583,0.8345323741007195
book_to_market,interest_coverage,151,-0.20141148572712742,-0.18894880640215125,0.20141148572712742,0.5944130736327458,1.0
cash_conversion,net_income_growth_yoy,139,-0.2000786257114182,-0.2306921638290909,0.24472658257415825,0.549720398735716,0.8345323741007195
revenue_growth_yoy,net_income_growth_acceleration,127,0.1987835819013349,0.1943510152748672,0.23073157164095165,0.5247943980436457,0.889763779527559
roa,revenue_growth_yoy,139,0.19662051516076556,0.17088094659210634,0.2200446992867289,0.5636465741271743,0.8776978417266187
debt_to_assets,asset_growth_yoy,139,-0.1958838398446157,-0.18442714126807563,0.21192582891361483,0.5310998931773893,0.9280575539568345
debt_to_assets,revenue_growth_yoy,139,-0.19476828921886144,-0.17750032326214796,0.20165856133695034,0.529064039408867,0.8992805755395683
fcf_yield,cash_conversion,151,0.18958801205284548,0.23399014778325122,0.22792565200182266,0.4133443331446828,0.8278145695364238
book_to_market,operating_margin,151,-0.1882152553647896,-0.20551608280622796,0.18943423904988274,0.42269269722023883,0.9735099337748344
debt_to_assets,accruals,151,0.18806203783284256,0.24145658263305322,0.25779232829447185,0.5822765469824294,0.7748344370860927
fcf_yield,accruals,151,-0.18573353974377957,-0.20126477950902957,0.221077469473132,0.5868983957219251,0.7814569536423841
gross_profitability,net_margin,151,0.18334657024225137,0.19861660079051383,0.18796662625879462,0.4675324675324675,0.9403973509933775
sales_yield,debt_to_assets,151,-0.1816543380427386,-0.21260504201680672,0.19040740370663575,0.38752052545155996,0.8874172185430463
revenue_growth_yoy,operating_cash_flow_growth_acceleration,127,0.1746044384621674,0.16930223511302425,0.22315375864897866,0.6303608138462024,0.7874015748031497
sales_yield,roe,151,-0.173595692165626,-0.19020324811848252,0.18627371357068673,0.3500017622076681,0.9337748344370861
gross_margin,debt_to_assets,151,0.1734068941945226,0.2511278195488722,0.2524004172277807,0.6208791208791209,0.8543046357615894
interest_coverage,net_income_growth_yoy,139,0.17068988524743997,0.17982756429521787,0.20484511166894992,0.5192281422648832,0.7985611510791367
net_income_growth_yoy,asset_growth_yoy,139,0.17033328919074356,0.23252372691090928,0.24004080860926336,0.474763482687413,0.8345323741007195
net_debt_to_assets,capex_to_assets,151,-0.16722189488231415,-0.1998777529449623,0.17284923871294045,0.37336007483910494,0.9337748344370861
operating_margin,net_debt_to_assets,151,0.16656064810115245,0.1817391304347826,0.17295072217910443,0.38636363636363635,0.9205298013245033
gross_margin,net_debt_to_assets,151,0.16281183277933525,0.21804511278195488,0.2363617927531363,0.4649122807017544,0.8278145695364238
net_income_growth_yoy,operating_cash_flow_growth_acceleration,127,0.15890376347384236,0.21152393898202687,0.21433057124628233,0.5229234947039455,0.7322834645669292
roa,operating_cash_flow_growth_yoy,139,0.15619556106760335,0.18012548074721565,0.1984803668941117,0.47409417848917434,0.8057553956834532
earnings_yield,interest_coverage,151,0.1551516388288011,0.14637904612019462,0.16960982805790892,0.44780496934477165,0.8344370860927153
interest_coverage,asset_growth_yoy,139,0.15501063229510584,0.1528225256623276,0.21666357515449414,0.5383146168969078,0.7050359712230215
net_debt_to_assets,accruals,151,0.15228522728282412,0.19923076923076924,0.21902719784340932,0.5486631016042781,0.7615894039735099
current_ratio,asset_growth_yoy,139,0.1504124895085225,0.143496493728315,0.17699185252412986,0.43913870876797295,0.8705035971223022
cash_conversion,current_ratio,151,-0.14912968477198488,-0.18520429724370463,0.1788311424531551,0.3684103897023399,0.8278145695364238
capex_to_assets,asset_growth_yoy,139,0.14830591940798207,0.17957283217821782,0.2049249518195415,0.4752123847072437,0.6906474820143885
fcf_yield,net_debt_to_assets,151,0.1431424113357238,0.17193675889328064,0.17310680659180352,0.46224340175953077,0.8278145695364238
net_margin,net_debt_to_assets,151,0.1420476571807611,0.17783251231527095,0.15564983916224082,0.39448214728473624,0.8013245033112583
operating_margin,accruals,151,0.13956007036215734,0.1322418728292815,0.17822054163189333,0.539366417615327,0.8079470198675497
earnings_yield,net_debt_to_assets,151,0.13892324227219838,0.10527670527670528,0.1881437941118008,0.5071848959498306,0.6887417218543046
operating_cash_flow_growth_yoy,net_income_growth_acceleration,127,0.13579821099276115,0.13969667776842945,0.2100251179263035,0.5092331547786862,0.7007874015748031
gross_margin,cash_conversion,151,0.1351612147459786,0.14675324675324675,0.2943480400140017,0.7142857142857143,0.6225165562913907
fcf_yield,asset_growth_yoy,139,-0.13265160486780322,-0.15644325807688136,0.19145739551823573,0.5181293687392383,0.7194244604316546
net_margin,asset_growth_yoy,139,0.13155446982629854,0.14827381736724207,0.16831510730862584,0.5087253801408307,0.8273381294964028
interest_coverage,operating_cash_flow_growth_yoy,139,0.12948700639611885,0.18371540393545532,0.1987806694122301,0.41209893048128343,0.7482014388489209
current_ratio,revenue_growth_yoy,139,0.12873934754489857,0.10064843529743445,0.13681185192462356,0.5479085178015327,0.8705035971223022
sales_yield,accruals,151,-0.12711686429135652,-0.13593083068840978,0.15345700432089432,0.40432190291067793,0.8410596026490066
operating_margin,cash_conversion,151,-0.1262100179829228,-0.10252818849990714,0.15852207134542656,0.5251121566911041,0.7350993377483444
book_to_market,net_debt_to_assets,151,-0.1252789792817875,-0.11963330786860199,0.1279689088104201,0.29165326014444665,0.9536423841059603
operating_margin,capex_to_assets,151,-0.12358754942053164,-0.10528348049344985,0.12738085676097438,0.3228031145717464,0.9271523178807947
net_margin,net_income_growth_acceleration,127,0.12333828274011693,0.09688791636275225,0.13917619209795118,0.3773806629386498,0.8740157480314961
net_margin,capex_to_assets,151,-0.1228444958129136,-0.0832861437389014,0.14627535953002102,0.42538129954871856,0.7947019867549668
operating_margin,net_income_growth_yoy,139,0.12145503572578975,0.11041199338078006,0.1386366165134117,0.4379067015000653,0.8129496402877698
cash_conversion,operating_cash_flow_growth_acceleration,127,0.1214243398083452,0.13395759166874044,0.18530491182433226,0.5798855452858322,0.6850393700787402
earnings_yield,capex_to_assets,151,-0.12008374313210139,-0.14597581681859326,0.1520626561170869,0.3397997066950474,0.8344370860927153
earnings_yield,roa,151,0.1200125604458222,0.09760610179731158,0.169936148355363,0.5540923949916734,0.7284768211920529
accruals,operating_cash_flow_growth_acceleration,127,-0.11841819362529737,-0.09591068895330908,0.17421934067069303,0.49457287848886383,0.7244094488188977
book_to_market,cash_conversion,151,0.11651645947397186,0.10666754513111082,0.1354595010857885,0.4483359470290991,0.847682119205298
sales_yield,net_debt_to_assets,151,-0.11564946869149367,-0.1185761957730812,0.12549789308242518,0.4053221288515406,0.8675496688741722
roe,revenue_growth_yoy,139,0.11426925432854579,0.1160953075613907,0.16767835702938186,0.45297614217483334,0.7266187050359713
net_debt_to_assets,operating_cash_flow_growth_yoy,139,-0.11426302953320315,-0.107146838594602,0.1406349081243471,0.43228207295063564,0.8129496402877698
accruals,net_income_growth_acceleration,127,0.11390925035771027,0.11250135707306481,0.18021171681843678,0.7487404434941712,0.6614173228346457
roe,net_income_growth_acceleration,127,0.11364023803680376,0.14231123995256292,0.19095652239861996,0.5598234286467255,0.6929133858267716
fcf_yield,gross_profitability,151,0.1098336408017281,0.06470588235294118,0.23349495228791414,0.6235294117647059,0.5960264900662252
earnings_yield,gross_profitability,151,0.1096762139012245,0.11578947368421053,0.1683224867447017,0.49943591346906374,0.695364238410596
earnings_yield,operating_margin,151,0.10784730054219632,0.09542047396237881,0.13424705316721053,0.38046501514771514,0.8079470198675497
asset_growth_yoy,revenue_growth_acceleration,127,0.10770437946089782,0.10310976435608676,0.16441055174540212,0.5127975465341917,0.7480314960629921
cash_conversion,net_income_growth_acceleration,127,-0.10713690219244046,-0.12566496580175876,0.17227589706133947,0.408444426770742,0.7874015748031497
fcf_yield,gross_margin,151,0.10648245734274267,0.11168831168831168,0.18338376371661003,0.432967032967033,0.7417218543046358
gross_margin,capex_to_assets,151,-0.10456007283737623,-0.09022556390977443,0.10721791396912252,0.2961816305469556,0.9470198675496688
roa,capex_to_assets,151,0.10371866624039666,0.10979534136520101,0.12822062274280627,0.3255225471044751,0.7947019867549668
roa,asset_growth_yoy,139,0.09970400788690738,0.1213802045814724,0.14445314445244528,0.3903484963630442,0.7769784172661871
net_margin,operating_cash_flow_growth_yoy,139,0.09827077520170492,0.11506786137831071,0.17104494951616364,0.5753407759205575,0.6690647482014388
sales_yield,gross_profitability,151,-0.09803008307112884,-0.1067193675889328,0.11363780314259063,0.24060150375939848,0.8609271523178808
operating_margin,operating_cash_flow_growth_yoy,139,0.09748265155018088,0.09164786786647507,0.20829967608339864,0.6500711237553343,0.7122302158273381
interest_coverage,revenue_growth_yoy,139,0.09646482645185411,0.08939486656942122,0.14961263233514382,0.45790679908326964,0.6690647482014388
gross_profitability,asset_growth_yoy,139,-0.09608941697967195,-0.08701298701298701,0.15553086183179868,0.5377012357879288,0.6834532374100719
roa,net_income_growth_acceleration,127,0.09413590825550512,0.07881880360438606,0.16436050996397358,0.44033982206844935,0.6692913385826772
accruals,revenue_growth_yoy,139,-0.0939993358722915,-0.07841309728041451,0.16836586644348187,0.5124208508101231,0.6834532374100719
sales_yield,cash_conversion,151,0.09180995764908079,0.10478544520130345,0.12840602929888698,0.35441714584422374,0.7152317880794702
interest_coverage,accruals,151,-0.0910370758237681,-0.10576482493325143,0.15460697061439704,0.3828267301880305,0.7350993377483444
fcf_yield,roa,151,0.09078683105157023,0.08933252853541264,0.15770242572258344,0.5756866652855096,0.7152317880794702
roe,accruals,151,0.09012374021370165,0.062160286804672144,0.12965771015946273,0.5061241042227109,0.7350993377483444
earnings_yield,net_income_growth_acceleration,127,0.08793469545821413,0.11581716735592792,0.21039769023776608,0.5494260685697024,0.6220472440944882
fcf_yield,operating_cash_flow_growth_acceleration,127,0.08651701446279723,0.08345681954083226,0.1907715419636505,0.5395335821060687,0.6850393700787402
earnings_yield,roe,151,0.08509415153185773,0.044630720434979614,0.1909137961637533,0.5630517854789827,0.543046357615894
gross_profitability,accruals,151,-0.08367334927196741,-0.08977978543195934,0.12694366701065066,0.3249540770190428,0.7284768211920529
debt_to_assets,current_ratio,151,-0.08354448115520981,-0.11532273657962233,0.17892676014244693,0.4298580419491043,0.7284768211920529
asset_growth_yoy,operating_cash_flow_growth_acceleration,127,0.08321573953675726,0.09979338210561381,0.13793043753272707,0.3891028793070246,0.7637795275590551
gross_profitability,operating_cash_flow_growth_yoy,139,0.08303476227161752,0.08311688311688312,0.17432057317186203,0.5993209499854502,0.6474820143884892
fcf_yield,debt_to_assets,151,0.08261679915730395,0.08752117447769622,0.1515837115452094,0.40217391304347827,0.6688741721854304
earnings_yield,debt_to_assets,151,0.08082882991751729,0.0924126393573313,0.1388375860837754,0.33170189098998887,0.6357615894039735
gross_profitability,debt_to_assets,151,-0.07897041005318126,-0.06015037593984962,0.10857754046198474,0.6538461538461539,0.7086092715231788
gross_margin,accruals,151,-0.07799870707825397,-0.06777746669595741,0.16737997213469014,0.5029411764705882,0.6622516556291391
current_ratio,operating_cash_flow_growth_yoy,139,0.07676801991245676,0.06758782776325373,0.18830869153391439,0.6665586131328081,0.5899280575539568
cash_conversion,interest_coverage,151,-0.07312148955592114,-0.023593777058797557,0.15350706627827043,0.4989973262032086,0.5894039735099338
fcf_yield,roe,151,0.07069060481166112,0.07291538422101448,0.16296173014115464,0.6492610837438424,0.6490066225165563
gross_profitability,net_income_growth_yoy,139,0.07005576062490874,0.07015810276679842,0.20391252604213564,0.5298245614035088,0.5755395683453237
gross_profitability,net_debt_to_assets,151,-0.06853725966349754,-0.061654135338345864,0.09239529632267418,0.3107142857142857,0.7947019867549668
earnings_yield,gross_margin,151,0.06783691527392093,0.07017543859649122,0.13247314948100455,0.5691699604743083,0.6688741721854304
roe,operating_cash_flow_growth_yoy,139,0.06495780878898788,0.07442647218914569,0.14716808235045364,0.33891158255369613,0.6402877697841727
current_ratio,revenue_growth_acceleration,127,-0.06490986157333221,-0.05684788290642969,0.17077465572738273,0.557881383156423,0.6456692913385826
gross_margin,operating_cash_flow_growth_yoy,139,0.0645370049633436,0.08740980551452907,0.18011901967446445,0.5503759398496241,0.6906474820143885
interest_coverage,revenue_growth_acceleration,127,-0.06440505335441098,-0.039963337060128445,0.15526939656792382,0.5378151260504201,0.5905511811023622
current_ratio,net_income_growth_yoy,139,0.061593165989804605,0.05714430335810997,0.16083751079306263,0.4411826895968424,0.5755395683453237
fcf_yield,revenue_growth_yoy,139,-0.060742230778720305,-0.06169976843534438,0.12070260167959566,0.5883901014671374,0.6762589928057554
capex_to_assets,operating_cash_flow_growth_yoy,139,0.05984515527644245,0.07100941793635869,0.15517814262533147,0.4851930136774998,0.6187050359712231
earnings_yield,cash_conversion,151,-0.05928558953376882,-0.07115327605402187,0.14327965263038336,0.4748977543758154,0.6622516556291391
book_to_market,capex_to_assets,151,-0.05928472111306093,-0.04717554160761288,0.07627946597071524,0.21588403645276816,0.7615894039735099
debt_to_assets,operating_cash_flow_growth_yoy,139,-0.05817615458738077,-0.060368373283415266,0.12671393422474178,0.3494537408013705,0.6546762589928058
roa,net_debt_to_assets,151,-0.05750010338595104,-0.055598364154332856,0.078607761774329,0.33278598795840175,0.7682119205298014
sales_yield,capex_to_assets,151,0.0559506781540073,-0.0009382183244361936,0.15005130949930418,0.35144978633068735,0.5033112582781457
asset_growth_yoy,net_income_growth_acceleration,127,0.055837115068939194,0.09393696416455931,0.23187548081430512,0.5190533058299859,0.5905511811023622
net_debt_to_assets,net_income_growth_yoy,139,-0.05488613026498029,-0.06074090592709137,0.1239264591572464,0.38624986333124767,0.6258992805755396
capex_to_assets,revenue_growth_acceleration,127,-0.05396106280720901,-0.035064029967767224,0.1464150844213197,0.3997592494937026,0.5905511811023622
gross_margin,asset_growth_yoy,139,-0.05334165324624557,-0.04694835824076854,0.16284962480467577,0.5348771746755973,0.5827338129496403
book_to_market,net_margin,151,-0.05306927268292637,-0.07191537919353876,0.11319932483868377,0.25649685711605213,0.6357615894039735
book_to_market,accruals,151,0.051150924115524125,0.05694552117837762,0.10087679307619715,0.26540430518719543,0.6622516556291391
roa,operating_cash_flow_growth_acceleration,127,0.04992888335395997,0.11385924875100228,0.1913858856160895,0.5543914884377374,0.6377952755905512
earnings_yield,revenue_growth_yoy,139,-0.0489586126803,-0.030244676030811057,0.14005486763882474,0.4147801198715178,0.5467625899280576
cash_conversion,asset_growth_yoy,139,-0.04885444572226245,-0.047633264574964716,0.11896592554918313,0.4214109165094957,0.6258992805755396
roe,current_ratio,151,0.0471007146095683,0.056688768610348245,0.08174079267138146,0.23700506661662601,0.7218543046357616
cash_conversion,debt_to_assets,151,-0.04704572861527643,-0.13796484381476573,0.2048460613125629,0.6225074508197567,0.6490066225165563
debt_to_assets,operating_cash_flow_growth_acceleration,127,0.04640392928365663,0.05522939900076124,0.13485467223966377,0.3942687747035573,0.6141732283464567
operating_margin,asset_growth_yoy,139,0.04569634717364705,0.04165298564552269,0.12357021151956013,0.4186133802079572,0.6474820143884892
