as_of_date,positions,portfolio_value,predicted_volatility,predicted_variance,portfolio_beta_vs_spy,maximum_weight,minimum_weight,concentration_hhi,effective_positions,maximum_sector_weight,maximum_active_sector_weight,maximum_position_adv_fraction,weighted_position_adv_fraction,maximum_liquidation_days,weighted_liquidation_days,risk_contribution_sum,method
2022-09-30,25,1000000.0,0.23163443509766776,0.053654511523015654,1.0509571940359226,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.16211302211302211,0.035970515970515954,0.00013943174006293617,5.943128950805948e-05,0.0013943174006293617,0.0005943128950805947,0.2316344350976677,score_weighted
2022-10-31,25,1000000.0,0.2427468148095402,0.058926016100177205,1.044832169923987,0.05000000000000001,0.02728501228501229,0.04137524071983533,24.169043674484268,0.16753071253071256,0.04753071253071256,0.00012510896886820514,5.4246979687661096e-05,0.0012510896886820514,0.000542469796876611,0.2427468148095402,score_weighted
2022-11-30,25,1000000.0,0.2504047465533895,0.06270253709646723,1.0263651742402962,0.05000000000000001,0.02728501228501229,0.04137582508798725,24.168702324931584,0.1772727272727273,0.07947174447174446,0.00012652307436388538,5.1511570779941115e-05,0.0012652307436388538,0.000515115707799411,0.2504047465533895,score_weighted
2022-12-30,25,1000000.0,0.2592856415398836,0.067229043908749,1.0618702851004878,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.15886977886977888,0.03886977886977888,0.0001125443457291756,5.2627806058800635e-05,0.001125443457291756,0.0005262780605880064,0.25928564153988354,score_weighted
2023-01-31,25,1000000.0,0.24539200095924124,0.06021723413478026,1.003736398339551,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.1478132678132678,0.036781326781326784,0.00014705171201786146,5.8092771910217256e-05,0.0014705171201786146,0.0005809277191021727,0.2453920009592412,score_weighted
2023-02-28,25,1000000.0,0.25985043838794847,0.067522250330409,1.0878552467110374,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.1750859950859951,0.061904176904176905,0.00016228883651255255,5.4536974405937686e-05,0.0016228883651255254,0.0005453697440593768,0.25985043838794847,score_weighted
2023-03-31,25,1000000.0,0.2603261217751414,0.06776968967848576,1.1096189878213745,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.20130221130221132,0.061904176904176905,0.00013327594143819652,4.556220559103232e-05,0.0013327594143819651,0.00045562205591032307,0.2603261217751413,score_weighted
2023-04-28,25,1000000.0,0.2550268293162741,0.06503868367111199,1.1051929212774227,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.20562653562653566,0.06514742014742014,0.0001263077800380884,4.434840380513089e-05,0.001263077800380884,0.00044348403805130875,0.2550268293162741,score_weighted
2023-05-31,25,1000000.0,0.22538297261454818,0.050797484344570175,1.0663996655248156,0.05000000000000001,0.02728501228501229,0.04137582508798726,24.168702324931576,0.1772604422604423,0.0572604422604423,0.0001192009757864766,4.8218624538301607e-05,0.001192009757864766,0.00048218624538301605,0.22538297261454818,score_weighted
2023-06-30,25,1000000.0,0.22704052373909758,0.051547399419723736,1.158581141998324,0.04998696113978159,0.027287514644797124,0.041374579124645136,24.16943014664628,0.19697817969459874,0.07697817969459875,0.0001390680492075042,4.963554369839e-05,0.0013906804920750418,0.0004963554369839,0.2270405237390976,score_weighted
2023-07-31,25,1000000.0,0.20510571473972408,0.04206835421889307,1.0789420195162711,0.04998824107234189,0.027287038985631572,0.04137481472578427,24.169292518349636,0.22507782296551126,0.06946971777822411,0.00011730492575908412,4.89142058547208e-05,0.0011730492575908412,0.0004891420585472079,0.2051057147397241,score_weighted
2023-08-31,25,1000000.0,0.19850711293345275,0.03940507388517456,1.0837653718917812,0.05000000000000001,0.02728501228501229,0.04137582508798726,24.168702324931576,0.23939803439803442,0.07939803439803442,0.00013579331458558422,4.9231995681970565e-05,0.0013579331458558423,0.0004923199568197056,0.1985071129334527,score_weighted
2023-09-29,25,1000000.0,0.17926316811775542,0.032135283443614646,1.0312712771217265,0.04999221845588253,0.027286675474977568,0.041374997644209405,24.169185666164115,0.22508174822992288,0.06508174822992288,0.00014287289802348486,5.2026507577994595e-05,0.0014287289802348484,0.0005202650757799458,0.17926316811775544,score_weighted
