capital,strategy_name,gross_cagr,gross_sharpe_ratio,gross_sortino_ratio,gross_maximum_drawdown,net_final_portfolio_value,net_total_return,net_cagr,net_annualized_volatility,net_sharpe_ratio,net_sortino_ratio,net_maximum_drawdown,net_beta_vs_spy,net_annualized_alpha_vs_spy,net_excess_cagr,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,maximum_absolute_cash,market_impact_cost,effective_cost_bps,maximum_order_adv_fraction,mean_order_adv_fraction,transaction_cost_fraction_initial_capital,cagr_cost_drag,sharpe_cost_drag
10000000.0,score_weighted,0.24816670241947314,1.1008187233567162,1.575945092922444,-0.34332440690641797,40354863.55014258,3.0354863550142577,0.2440443906845926,0.22443747402354727,1.086071841169001,1.5539782495419006,-0.3435047947210651,1.0622790398738655,0.06704995510282873,0.08750249803542332,444123.6385406454,817177812.8640995,0.504804417609956,0.25902598026100654,1.6279955161735415e-08,35534.73210859567,5.434847000851028,0.004332455169859465,0.0003737592182864324,0.044412363854064545,0.004122311734880535,0.014746882187715249
10000000.0,top_n_equal_weight,0.2360320034639911,1.0802862696846935,1.547534194426066,-0.3369829874761956,37962553.56538032,2.796255356538032,0.23220145578744344,0.21840608394441163,1.066070739284305,1.526357747891851,-0.33714089446336615,1.036546820638678,0.06041150695637992,0.07565956313827416,402839.26043037884,735772187.2838328,0.4703091993984073,0.24176992399134375,1.3557837519329041e-08,34953.166788462484,5.475054200098201,0.004488624060992624,0.00034437917143793174,0.04028392604303789,0.0038305476765476687,0.014215530400388587
10000000.0,median_mad_de,0.22704571417776553,1.0676164401557742,1.5300675916887523,-0.3271562363106809,36058806.16764107,2.6058806167641073,0.2223184981741133,0.21306993221329493,1.049479405537896,1.5029581593275914,-0.32733192165628455,1.0012309876337142,0.05706230486794861,0.06577660552494402,468132.5849827624,850442397.2750125,0.5814336010236092,0.29736349435905635,1.5301338862627745e-08,42911.386345256185,5.5045772233693055,0.005197443926727274,0.00043820824904415817,0.04681325849827624,0.004727216003652224,0.01813703461787819
10000000.0,alpha_risk_turnover,0.21749542234341313,1.0259921313260973,1.4618385566338685,-0.341612245905633,34406540.85143472,2.440654085143472,0.21337763141604915,0.21439460077065725,1.0101911798256478,1.4384391217910966,-0.3418040460699726,1.003284204251876,0.04968779056665449,0.05683573876687986,415887.6846547569,755947233.7206588,0.5105712935385243,0.26191270384629595,0.07831947407248663,37914.067794427465,5.5015438393473595,0.005065694736697136,0.0004027864740206433,0.041588768465475684,0.0041177909273639735,0.015800951500449578
10000000.0,cvar,0.20804625111843378,0.9918943034142693,1.4142039553564536,-0.3261296650529416,32849473.479875155,2.2849473479875155,0.2046140534819656,0.21374041034111813,0.9785799180519955,1.3944827574282137,-0.3262937528219654,1.0042772093710706,0.04210514723661463,0.04807216083279631,333491.40842050064,606473552.8277744,0.42887544376790954,0.22104227736724388,1.2410964700393379e-08,30254.63200661323,5.498861522761214,0.004825227929438641,0.0003232715509999611,0.03334914084085384,0.0034321976364681817,0.013314385362273806
100000000.0,score_weighted,0.24816670241947314,1.1008187233567162,1.575945092922444,-0.34332440690641797,402072004.709305,3.02072004709305,0.24333078587063817,0.22443686543126268,1.0835155871414595,1.5501764553298052,-0.343526395867369,1.0622621730649286,0.06647838220331254,0.08678889322146888,5196619.273132073,8153422195.09013,0.5047906826208061,0.2590418975377281,1.0099029168486595e-07,1119908.1755870085,6.373543708139387,0.04316602218947244,0.0037297578486551793,0.051966192731320734,0.004835916548834973,0.017303136215256698
100000000.0,top_n_equal_weight,0.2360320034639911,1.0802862696846935,1.547534194426066,-0.3369829874761956,378217514.0558621,2.7821751405586213,0.23148499795893973,0.21840533908039453,1.0634085745046042,1.5223995533023948,-0.3371597852907443,1.0365316410895085,0.059831806925907935,0.07494310530977044,4772101.209584381,7341093125.659511,0.4702927106990184,0.24178484467396696,9.775976650416851e-08,1101554.6467546267,6.500532179471112,0.0447385425449309,0.0034364782967270377,0.047721012095843826,0.0045470055050513825,0.016877695180089303
100000000.0,median_mad_de,0.22704571417776553,1.0676164401557742,1.5300675916887523,-0.3271562363106809,358824327.45654285,2.5882432745654285,0.22138076668423534,0.21307036988622327,1.0458731397613314,1.4975775003871579,-0.32735314937548476,1.0012185721688804,0.05629644106961029,0.06483887403506605,5590581.924631539,8479237899.7093115,0.5814092716060072,0.2973822268831826,1.2855161912739277e-07,1350962.9747768838,6.593259902311737,0.05172021815782184,0.004369900724881766,0.055905819246315394,0.0056649474935301924,0.02174330039444272
100000000.0,alpha_risk_turnover,0.21749542234341313,1.0259921313260973,1.4618385566338685,-0.341612245905633,342594157.19669026,2.4259415719669026,0.2125640499251602,0.21439356313417407,1.0070643278183984,1.433814151789836,-0.3418313036234758,1.0032644165654363,0.04901965700344753,0.056022157275990914,4964298.80078884,7539953454.489342,0.5105510750807031,0.2619293526276035,0.7800669439820922,1194322.0735441688,6.583991308106896,0.050464852900031554,0.004018262261050425,0.04964298800788839,0.004931372418252922,0.01892780350769896
100000000.0,cvar,0.20804625111843378,0.9918943034142693,1.4142039553564536,-0.3261296650529416,327316905.72506166,2.2731690572506165,0.20393698262215465,0.21373947522988898,0.9759511406202681,1.3905928119259294,-0.3263135596422617,1.0042630139051756,0.04154471999769372,0.04739508997298536,3979449.127264435,6051568918.8926935,0.4288592321293423,0.2210564514471744,1.32844434119761e-07,953664.6678180881,6.575896565999899,0.0480958682730287,0.0032201480764195386,0.039794491272600485,0.004109268496279128,0.01594316279400121
