regime,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover,window_start,window_end,short_sample_warning
covid_recovery_2020_2021,alpha_risk_turnover,2020-03-24,2021-12-31,449,1000000.0,2522703.4382270724,1.5227034382270723,0.6809170619600431,0.2081047107058238,2.6010394138186173,4.305485490864127,-0.08850582658526518,7.693471585218831,0.6080178173719376,1.0282787370562647,0.07003248210386501,0.9660151671529008,0.054075388088384996,1.5347557961441414,1.1861991345067628,0.3365043037203095,0.551136111250637,0.1297809507094061,7261.657136799602,14032536.830638073,10.885318743338901,0.5183485115875668,2020-03-24,2021-12-31,False
covid_recovery_2020_2021,cvar,2020-03-24,2021-12-31,449,1000000.0,2534771.633736102,1.534771633736102,0.6854254537785047,0.20844318911707815,2.610207337713189,4.267023738592492,-0.09152435542749371,7.488995148635643,0.6035634743875279,1.019537616382529,0.07682989007155727,0.9562480128530677,0.06110107246099633,1.403967210800092,1.1861991345067628,0.3485724992293391,0.551136111250637,0.13428934252786773,6619.117925597053,12779782.03692729,9.987626362863196,0.4756012553744379,2020-03-24,2021-12-31,False
covid_recovery_2020_2021,median_mad_de,2020-03-24,2021-12-31,449,1000000.0,2491488.1068508057,1.491488106850806,0.6692116536922377,0.2061739680872404,2.589498039680914,4.327520794336562,-0.08202121397702355,8.159006935446026,0.5991091314031181,1.0153116386665633,0.06857378338699632,0.962765536843559,0.055816943575037484,1.3542670362046536,1.1861991345067628,0.30528897234404306,0.551136111250637,0.11807554244160068,8933.72377211478,17273843.553262077,13.591410353128357,0.6472100168156362,2020-03-24,2021-12-31,False
covid_recovery_2020_2021,score_weighted,2020-03-24,2021-12-31,449,1000000.0,2670564.479910126,1.670564479910126,0.7355206459435093,0.21720773733258164,2.6484077420467473,4.3573621001269895,-0.09213867945005472,7.982756539746267,0.6057906458797327,1.076170815513009,0.08204983066301792,0.9686366998142875,0.05598879179359355,2.0889647729042866,1.1861991345067628,0.4843653454033632,0.551136111250637,0.1843845346928723,7644.613983553589,14846868.310605064,11.094591254728853,0.5283138692728025,2020-03-24,2021-12-31,False
covid_recovery_2020_2021,top_n_equal_weight,2020-03-24,2021-12-31,449,1000000.0,2611494.133067454,1.6114941330674544,0.7138697805131242,0.21229795832622447,2.6454758095677784,4.371747247611405,-0.0882432665814824,8.089793229197248,0.6102449888641426,1.0567088911784712,0.0773436134941974,0.9731158467213757,0.05013683708973712,2.0610209921684737,1.1861991345067628,0.42529499856069153,0.551136111250637,0.16273366926248722,7094.172927806174,13743528.718108362,10.431568751437624,0.4967413691160773,2020-03-24,2021-12-31,False
expansion_2023_2024,alpha_risk_turnover,2023-01-03,2024-12-31,502,1000000.0,1577043.8674086214,0.5770438674086213,0.2569441992885697,0.1374083788104647,1.7335725393198473,2.6236053414834886,-0.10773997187394124,2.384854894794307,0.545816733067729,0.9663239589965127,0.009600264160915827,0.9009338543731713,0.059785116914060236,0.027320985396868083,0.5757652233478756,0.0012786440607457372,0.25643250988980104,0.0005116893987686666,11674.40432902217,22673684.284883678,11.137254088367051,0.46405225368196046,2023-01-03,2024-12-31,False
expansion_2023_2024,cvar,2023-01-03,2024-12-31,502,1000000.0,1530774.154388692,0.5307741543886919,0.23829440125406331,0.1381116125014537,1.617096061731778,2.447731939076058,-0.10944527001877669,2.1772928260232804,0.5537848605577689,0.9873218716228497,-0.010234943624808281,0.9158238237114358,0.05548667716267137,-0.23851237618350019,0.5757652233478756,-0.0449910689591837,0.25643250988980104,-0.018138108635737726,9604.483546432992,18666388.17104655,9.469297285378545,0.3945540535574394,2023-01-03,2024-12-31,False
expansion_2023_2024,median_mad_de,2023-01-03,2024-12-31,502,1000000.0,1570535.5862681034,0.5705355862681034,0.2543375516346371,0.13678113187765945,1.7256854932668377,2.6220068956556584,-0.10295928236256102,2.470273158460957,0.5517928286852589,0.9570970199469758,0.009616940930963113,0.8964233192452571,0.06086989713665246,-0.008752911755879687,0.5757652233478756,-0.005229637079772198,0.25643250988980104,-0.0020949582551639256,13470.826184412816,26141758.35218741,12.997927156516411,0.5415802981881838,2023-01-03,2024-12-31,False
expansion_2023_2024,score_weighted,2023-01-03,2024-12-31,502,1000000.0,1811916.740435639,0.8119167404356389,0.3476693096810435,0.14584309090091105,2.11978620378919,3.326271027714339,-0.11342946236866536,3.065070594719546,0.5597609561752988,1.0602660426948185,0.05832478911976086,0.9313488172217874,0.05366388571898844,1.352532847093475,0.5757652233478756,0.23615151708776327,0.25643250988980104,0.09123679979124244,13217.503763138087,25778766.19302559,11.483844907836627,0.4784935378265262,2023-01-03,2024-12-31,False
expansion_2023_2024,top_n_equal_weight,2023-01-03,2024-12-31,502,1000000.0,1741087.7931284297,0.7410877931284297,0.3209611888012316,0.14010408131352242,2.0577424934672783,3.222970154167316,-0.11402963802090849,2.8147172469527626,0.5577689243027888,1.0193827728924316,0.04713865756560164,0.9321158180931671,0.05080086329393899,1.018173991564419,0.5757652233478756,0.16532256978055404,0.25643250988980104,0.06452867891143055,11819.890209968013,22995796.767751962,10.573614684832915,0.4405672785347048,2023-01-03,2024-12-31,False
