as_of_date,sector,companies,mean_percentile_score,top_group_companies,top_group_share
2021-05-28,Real Estate,1,0.8571428571428571,1,0.1
2021-05-28,Utilities,2,0.37755102040816324,0,0.0
2021-06-30,Communication Services,4,0.5612244897959183,0,0.0
2021-06-30,Consumer Discretionary,6,0.5918367346938775,2,0.2
2021-06-30,Consumer Staples,5,0.31836734693877555,0,0.0
2021-06-30,Energy,3,0.48979591836734687,1,0.1
2021-06-30,Financials,7,0.4431486880466472,1,0.1
2021-06-30,Health Care,7,0.4810495626822157,1,0.1
2021-06-30,Industrials,5,0.31020408163265306,0,0.0
2021-06-30,Information Technology,8,0.7066326530612246,4,0.4
2021-06-30,Materials,2,0.326530612244898,0,0.0
2021-06-30,Real Estate,1,0.9183673469387755,1,0.1
2021-06-30,Utilities,2,0.4489795918367347,0,0.0
2021-07-30,Communication Services,4,0.576530612244898,0,0.0
2021-07-30,Consumer Discretionary,6,0.6156462585034014,2,0.2
2021-07-30,Consumer Staples,5,0.4040816326530612,1,0.1
2021-07-30,Energy,3,0.4285714285714286,1,0.1
2021-07-30,Financials,7,0.446064139941691,2,0.2
2021-07-30,Health Care,7,0.4781341107871719,1,0.1
2021-07-30,Industrials,5,0.4,0,0.0
2021-07-30,Information Technology,8,0.6403061224489797,2,0.2
2021-07-30,Materials,2,0.3979591836734694,0,0.0
2021-07-30,Real Estate,1,0.8367346938775511,1,0.1
2021-07-30,Utilities,2,0.23469387755102042,0,0.0
2021-08-31,Communication Services,4,0.6122448979591836,0,0.0
2021-08-31,Consumer Discretionary,6,0.5238095238095238,2,0.2
2021-08-31,Consumer Staples,5,0.363265306122449,0,0.0
2021-08-31,Energy,3,0.3877551020408163,1,0.1
2021-08-31,Financials,7,0.5189504373177842,1,0.1
2021-08-31,Health Care,7,0.446064139941691,1,0.1
2021-08-31,Industrials,5,0.4448979591836735,1,0.1
2021-08-31,Information Technology,8,0.6326530612244898,2,0.2
2021-08-31,Materials,2,0.47959183673469385,1,0.1
2021-08-31,Real Estate,1,0.8571428571428571,1,0.1
2021-08-31,Utilities,2,0.2857142857142857,0,0.0
2021-09-30,Communication Services,4,0.6479591836734694,0,0.0
2021-09-30,Consumer Discretionary,6,0.5578231292517006,3,0.3
2021-09-30,Consumer Staples,5,0.3591836734693878,0,0.0
2021-09-30,Energy,3,0.4285714285714286,1,0.1
2021-09-30,Financials,7,0.5160349854227405,2,0.2
2021-09-30,Health Care,7,0.43440233236151604,1,0.1
2021-09-30,Industrials,5,0.3469387755102041,0,0.0
2021-09-30,Information Technology,8,0.6096938775510203,2,0.2
2021-09-30,Materials,2,0.5204081632653061,0,0.0
2021-09-30,Real Estate,1,0.9387755102040817,1,0.1
2021-09-30,Utilities,2,0.36734693877551017,0,0.0
2021-10-29,Communication Services,4,0.48469387755102045,1,0.1
2021-10-29,Consumer Discretionary,6,0.5884353741496599,1,0.1
2021-10-29,Consumer Staples,5,0.30612244897959184,0,0.0
2021-10-29,Energy,3,0.44217687074829937,1,0.1
2021-10-29,Financials,7,0.5189504373177842,2,0.2
2021-10-29,Health Care,7,0.42857142857142855,1,0.1
2021-10-29,Industrials,5,0.3714285714285714,1,0.1
2021-10-29,Information Technology,8,0.6530612244897959,2,0.2
2021-10-29,Materials,2,0.41836734693877553,0,0.0
2021-10-29,Real Estate,1,0.8979591836734694,1,0.1
2021-10-29,Utilities,2,0.6122448979591837,0,0.0
2021-11-30,Communication Services,4,0.5612244897959184,1,0.1
2021-11-30,Consumer Discretionary,6,0.5068027210884354,2,0.2
2021-11-30,Consumer Staples,5,0.3346938775510204,0,0.0
2021-11-30,Energy,3,0.4217687074829932,1,0.1
2021-11-30,Financials,7,0.5830903790087464,3,0.3
2021-11-30,Health Care,7,0.4052478134110787,1,0.1
2021-11-30,Industrials,5,0.4163265306122449,0,0.0
2021-11-30,Information Technology,8,0.6607142857142857,2,0.2
2021-11-30,Materials,2,0.4387755102040817,0,0.0
2021-11-30,Real Estate,1,0.7346938775510204,0,0.0
2021-11-30,Utilities,2,0.4387755102040816,0,0.0
2021-12-31,Communication Services,4,0.5102040816326531,1,0.1
2021-12-31,Consumer Discretionary,6,0.4625850340136055,1,0.1
2021-12-31,Consumer Staples,5,0.35102040816326535,1,0.1
2021-12-31,Energy,3,0.4829931972789116,1,0.1
2021-12-31,Financials,7,0.6239067055393586,2,0.2
2021-12-31,Health Care,7,0.489795918367347,1,0.1
2021-12-31,Industrials,5,0.39183673469387753,0,0.0
2021-12-31,Information Technology,8,0.5816326530612245,3,0.3
2021-12-31,Materials,2,0.42857142857142855,0,0.0
2021-12-31,Real Estate,1,0.7959183673469388,0,0.0
2021-12-31,Utilities,2,0.45918367346938777,0,0.0
2022-01-31,Communication Services,4,0.44897959183673464,1,0.1
2022-01-31,Consumer Discretionary,6,0.5408163265306122,2,0.2
2022-01-31,Consumer Staples,5,0.3551020408163265,1,0.1
2022-01-31,Energy,3,0.46938775510204084,1,0.1
2022-01-31,Financials,7,0.6209912536443148,2,0.2
2022-01-31,Health Care,7,0.4518950437317784,0,0.0
