model_name,from_date,to_date,valid_transition,top_quintile_turnover,top_quintile_overlap_ratio,mean_absolute_percentile_change
elastic_net,2021-09-30,2021-10-29,True,0.39999999999999997,0.6,0.15360000000000001
equal_weight_composite,2021-09-30,2021-10-29,True,0.39999999999999997,0.6,0.16799999999999998
momentum_3m,2021-09-30,2021-10-29,True,0.49999999999999994,0.5,0.17919999999999997
ridge,2021-09-30,2021-10-29,True,0.39999999999999997,0.6,0.1544
constant,2021-10-29,2021-11-30,False,,,
elastic_net,2021-10-29,2021-11-30,True,0.49999999999999994,0.5,0.14159999999999998
equal_weight_composite,2021-10-29,2021-11-30,True,0.49999999999999994,0.5,0.1984
momentum_3m,2021-10-29,2021-11-30,True,0.39999999999999997,0.6,0.1328
ridge,2021-10-29,2021-11-30,True,0.49999999999999994,0.5,0.14159999999999998
constant,2021-11-30,2021-12-31,False,,,
elastic_net,2021-11-30,2021-12-31,True,0.2,0.8,0.1056
equal_weight_composite,2021-11-30,2021-12-31,True,0.39999999999999997,0.6,0.17439999999999997
momentum_3m,2021-11-30,2021-12-31,True,0.39999999999999997,0.6,0.1704
ridge,2021-11-30,2021-12-31,True,0.2,0.8,0.10239999999999999
constant,2021-12-31,2022-01-31,False,,,
elastic_net,2021-12-31,2022-01-31,True,0.39999999999999997,0.6,0.19039999999999999
equal_weight_composite,2021-12-31,2022-01-31,True,0.49999999999999994,0.5,0.18400000000000002
momentum_3m,2021-12-31,2022-01-31,True,0.6,0.4,0.28079999999999994
ridge,2021-12-31,2022-01-31,True,0.39999999999999997,0.6,0.19440000000000002
constant,2022-01-31,2022-02-28,False,,,
elastic_net,2022-01-31,2022-02-28,True,0.39999999999999997,0.6,0.1568
equal_weight_composite,2022-01-31,2022-02-28,True,0.7000000000000001,0.3,0.17999999999999997
momentum_3m,2022-01-31,2022-02-28,True,0.39999999999999997,0.6,0.1656
ridge,2022-01-31,2022-02-28,True,0.39999999999999997,0.6,0.1592
constant,2022-02-28,2022-03-31,False,,,
elastic_net,2022-02-28,2022-03-31,True,0.39999999999999997,0.6,0.16
equal_weight_composite,2022-02-28,2022-03-31,True,0.49999999999999994,0.5,0.2064
momentum_3m,2022-02-28,2022-03-31,True,0.49999999999999994,0.5,0.2016
ridge,2022-02-28,2022-03-31,True,0.39999999999999997,0.6,0.19119999999999998
constant,2022-03-31,2022-04-29,False,,,
elastic_net,2022-03-31,2022-04-29,True,0.39999999999999997,0.6,0.1256
equal_weight_composite,2022-03-31,2022-04-29,True,0.39999999999999997,0.6,0.22319999999999995
momentum_3m,2022-03-31,2022-04-29,True,0.49999999999999994,0.5,0.1704
ridge,2022-03-31,2022-04-29,True,0.6,0.4,0.20079999999999998
constant,2022-04-29,2022-05-31,False,,,
elastic_net,2022-04-29,2022-05-31,True,0.2,0.8,0.10239999999999999
equal_weight_composite,2022-04-29,2022-05-31,True,0.49999999999999994,0.5,0.1504
momentum_3m,2022-04-29,2022-05-31,True,0.7000000000000001,0.3,0.2528
ridge,2022-04-29,2022-05-31,True,0.3,0.7,0.12800000000000003
constant,2022-05-31,2022-06-30,False,,,
elastic_net,2022-05-31,2022-06-30,True,0.49999999999999994,0.5,0.192
equal_weight_composite,2022-05-31,2022-06-30,True,0.49999999999999994,0.5,0.17839999999999998
momentum_3m,2022-05-31,2022-06-30,True,0.7000000000000001,0.3,0.1592
ridge,2022-05-31,2022-06-30,True,0.49999999999999994,0.5,0.20159999999999997
constant,2022-06-30,2022-07-29,False,,,
elastic_net,2022-06-30,2022-07-29,True,0.7000000000000001,0.3,0.23040000000000005
equal_weight_composite,2022-06-30,2022-07-29,True,0.39999999999999997,0.6,0.19119999999999998
momentum_3m,2022-06-30,2022-07-29,True,0.49999999999999994,0.5,0.2568
ridge,2022-06-30,2022-07-29,True,0.7000000000000001,0.3,0.23200000000000004
constant,2022-07-29,2022-08-31,False,,,
elastic_net,2022-07-29,2022-08-31,True,0.39999999999999997,0.6,0.2504
equal_weight_composite,2022-07-29,2022-08-31,True,0.6,0.4,0.24320000000000003
