as_of_date,method,positions,weight_sum,maximum_weight,minimum_positive_weight,maximum_sector_weight,concentration_hhi,effective_positions,one_way_turnover,two_way_turnover
2024-05-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.19373464373464375,0.041375825087987254,24.16870232493158,0.1794226044226044,0.3588452088452088
2024-06-28,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.15130221130221133,0.041375825087987254,24.16870232493158,0.18915233415233418,0.37830466830466836
2024-07-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.18482800982800984,0.04137582508798726,24.168702324931576,0.20212530712530713,0.40425061425061426
2024-08-30,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.1815970515970516,0.041375825087987254,24.16870232493158,0.15996314496314495,0.3199262899262899
2024-09-30,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.17726044226044227,0.04137582508798726,24.168702324931576,0.10864864864864865,0.2172972972972973
2024-10-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.21428746928746933,0.04137582508798726,24.168702324931576,0.20970515970515974,0.4194103194103195
2024-11-29,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.22617936117936122,0.041375825087987254,24.16870232493158,0.18482800982800981,0.36965601965601963
2024-12-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.17726044226044227,0.04137582508798725,24.168702324931584,0.20754299754299757,0.41508599508599514
2025-01-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.1815847665847666,0.04137582508798726,24.168702324931576,0.21643734643734647,0.43287469287469293
2025-02-28,score_weighted,25,1.0000000000000002,0.04998643931413414,0.027287276588736913,0.21534518116475063,0.04137469867540207,24.169360309916076,0.25778927605202756,0.5155785521040551
2025-03-31,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.1948034398034398,0.041375825087987254,24.16870232493158,0.25211493153301756,0.5042298630660351
2025-04-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.1904791154791155,0.04137582508798726,24.168702324931576,0.25320638820638824,0.5064127764127765
2025-05-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.21535626535626537,0.04137582508798726,24.168702324931576,0.17943488943488947,0.35886977886977894
2025-06-30,score_weighted,25,1.0000000000000002,0.04998971773619434,0.027286811199698217,0.23156664003604907,0.04137492162784497,24.169230071169693,0.16213563039854775,0.3242712607970955
2025-07-31,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02782555282555282,0.19859950859950862,0.041375240719835324,24.16904367448427,0.3088637987760825,0.617727597552165
2025-08-29,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.23181818181818184,0.04137582508798726,24.168702324931576,0.19753071253071253,0.39506142506142505
2025-09-30,score_weighted,25,0.9999999999999999,0.05000000000000002,0.028441971383147854,0.25000000000000006,0.04119868445552071,24.272619701719574,0.1335780700486583,0.2671561400973166
