as_of_date,positions,portfolio_value,predicted_volatility,predicted_variance,portfolio_beta_vs_spy,maximum_weight,minimum_weight,concentration_hhi,effective_positions,maximum_sector_weight,maximum_active_sector_weight,maximum_position_adv_fraction,weighted_position_adv_fraction,maximum_liquidation_days,weighted_liquidation_days,risk_contribution_sum
2021-11-30,20,1000000.0,0.1358011565608986,0.018441954123277697,1.0655764765353903,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00016433065929074328,5.294669096446475e-05,0.0016433065929074328,0.0005294669096446476,0.13580115656089864
2021-12-31,20,1000000.0,0.13909994310095317,0.019348794170688407,1.0288320877605368,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.10999999999999999,0.00014441815950049294,4.879979415835976e-05,0.0014441815950049293,0.00048799794158359755,0.1390999431009532
2022-01-31,20,1000000.0,0.15191065596138442,0.023076847394618103,1.1174224365815106,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.10999999999999999,0.00011769689080779072,4.528013654689349e-05,0.0011769689080779072,0.00045280136546893486,0.1519106559613845
2022-02-28,20,1000000.0,0.15347304339863957,0.023553975050040706,1.0803463707767256,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.08000000000000002,0.0001109922717066262,4.5516541633345667e-05,0.001109922717066262,0.00045516541633345664,0.1534730433986396
2022-03-31,20,1000000.0,0.16910013664130358,0.02859485621210754,1.118718698122518,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00010579491341223163,4.4633070662193075e-05,0.0010579491341223162,0.00044633070662193077,0.1691001366413036
2022-04-29,20,1000000.0,0.1823210498396157,0.03324096521461963,1.0981656544452212,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00010590047981553091,4.257888784502501e-05,0.0010590047981553089,0.0004257888784502501,0.18232104983961572
2022-05-31,20,1000000.0,0.2035078959800527,0.041415463726227945,1.109194745595215,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00016044659806002803,5.111761462369477e-05,0.0016044659806002802,0.0005111761462369478,0.2035078959800527
2022-06-30,20,1000000.0,0.21659026649741375,0.046911343541420715,1.0693591528706714,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.000126675461066493,5.337411539901543e-05,0.00126675461066493,0.0005337411539901544,0.21659026649741375
2022-07-29,20,1000000.0,0.21377182664443067,0.04569839386689652,1.0337886469620166,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.06,0.00011017722775846797,5.742820184234517e-05,0.0011017722775846796,0.0005742820184234517,0.2137718266444306
2022-08-31,20,1000000.0,0.2374454047552705,0.05638032023939424,1.116340537367965,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00012489397450815923,6.679451809197205e-05,0.001248939745081592,0.0006679451809197203,0.23744540475527046
2022-09-30,20,1000000.0,0.2364648588750076,0.05591562948277726,1.0673799436278808,0.05,0.05,0.05000000000000002,19.999999999999993,0.15000000000000002,0.05,0.0001686440362722586,7.335134228046227e-05,0.001686440362722586,0.0007335134228046227,0.23646485887500754
2022-10-31,20,1000000.0,0.24950596110191894,0.06225322462539228,1.0682004421801845,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.09000000000000001,0.00017408324898926324,6.63924860174073e-05,0.0017408324898926324,0.0006639248601740731,0.24950596110191894
2022-11-30,20,1000000.0,0.2542375201126366,0.06463671663302331,1.0360432885741022,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.11,0.00016817452110800868,6.69633902223244e-05,0.001681745211080087,0.0006696339022232438,0.2542375201126367
2022-12-30,20,1000000.0,0.26300013293175967,0.06916906992212325,1.0736928318371068,0.05,0.05,0.05000000000000002,19.999999999999993,0.15000000000000002,0.060000000000000005,0.00015886308380338616,6.786227091983398e-05,0.0015886308380338617,0.0006786227091983398,0.26300013293175967
2023-01-31,20,1000000.0,0.24771826409123407,0.06136433836437438,1.0097172659895932,0.05,0.05,0.05000000000000002,19.999999999999993,0.15000000000000002,0.05,0.00016492159490567542,6.918129172406965e-05,0.001649215949056754,0.0006918129172406965,0.24771826409123404
2023-02-28,20,1000000.0,0.26620906376668324,0.07086726563153403,1.1098664975470889,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.0001696674966879242,6.464128146234588e-05,0.0016966749668792418,0.0006464128146234586,0.26620906376668335
2023-03-31,20,1000000.0,0.2668165498605938,0.07119107127951071,1.1321799896184583,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.0001341843893726507,5.528951581716532e-05,0.001341843893726507,0.0005528951581716533,0.2668165498605938
2023-04-28,20,1000000.0,0.26822021653999845,0.07194208456076366,1.1557749128886938,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00013510451110513005,5.326036075636516e-05,0.0013510451110513003,0.0005326036075636515,0.26822021653999845
2023-05-31,20,1000000.0,0.23320292170474996,0.05438360269163174,1.0993958634749577,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.08000000000000002,0.00012932953544728161,5.7523891477556886e-05,0.001293295354472816,0.0005752389147755688,0.2332029217047499
2023-06-30,20,1000000.0,0.2289523406514362,0.05241917428977128,1.1626876120881529,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.08000000000000002,0.00013068305151981474,5.665465954786724e-05,0.0013068305151981473,0.0005665465954786724,0.22895234065143624
2023-07-31,20,1000000.0,0.2107350808140546,0.04440927428570612,1.0982950141865007,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00016619446592124965,6.343679515917267e-05,0.0016619446592124963,0.0006343679515917268,0.21073508081405457
2023-08-31,20,1000000.0,0.20169131125766282,0.04067938503683543,1.0934479661312688,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00013582668723601077,5.210601929380571e-05,0.0013582668723601077,0.0005210601929380572,0.20169131125766285
2023-09-29,20,1000000.0,0.18226613542433395,0.03322094412252164,1.0428246662756526,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00016474705082305662,6.115118736376354e-05,0.0016474705082305662,0.0006115118736376353,0.18226613542433395
2023-10-31,20,1000000.0,0.15959978092023874,0.025472090069788206,1.0130969887035381,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.06,0.0001598399841217836,6.423573563298925e-05,0.001598399841217836,0.0006423573563298924,0.15959978092023877
2023-11-30,20,1000000.0,0.15969661155327283,0.025503007741596917,1.0854454517417582,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.00013833998755933936,5.985266002928486e-05,0.0013833998755933936,0.0005985266002928486,0.1596966115532728
2023-12-29,20,1000000.0,0.15588002368364762,0.02429858178361454,1.1327283550478369,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00012538470749643858,5.450301120971556e-05,0.0012538470749643856,0.0005450301120971554,0.15588002368364762
2024-01-31,20,1000000.0,0.14284260632353513,0.02040401018130044,1.0739724572814477,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00012752426808099431,5.433102871860878e-05,0.001275242680809943,0.0005433102871860879,0.14284260632353515
2024-02-29,20,1000000.0,0.14789325567791403,0.02187241507501285,1.1294721221266444,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.04000000000000001,0.00012719493962691592,5.919795969338856e-05,0.0012719493962691593,0.0005919795969338855,0.14789325567791403
2024-03-28,20,1000000.0,0.13465755660062925,0.018132657549651668,1.1293856091856656,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.0001221140468819525,5.1892113187530655e-05,0.0012211404688195248,0.0005189211318753066,0.1346575566006292
2024-04-30,20,1000000.0,0.13234358778947627,0.017514825228990814,1.104234792796903,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00011587794699060494,4.855491836177375e-05,0.0011587794699060492,0.0004855491836177375,0.1323435877894763
2024-05-31,20,1000000.0,0.125422583668868,0.015730824494174196,1.04563533115646,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00011579336571624469,4.717675943906833e-05,0.0011579336571624467,0.00047176759439068326,0.12542258366886802
2024-06-28,20,1000000.0,0.11720749891394887,0.013737597801663325,0.9833663862813244,0.05,0.05,0.05000000000000002,19.999999999999993,0.15000000000000002,0.05000000000000002,0.00012737351319373739,5.1325733640018006e-05,0.001273735131937374,0.0005132573364001801,0.11720749891394888
2024-07-31,20,1000000.0,0.12736412632632133,0.016221620674867137,1.0369518007913447,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00013879272705677727,4.879802050340343e-05,0.0013879272705677726,0.0004879802050340343,0.12736412632632133
2024-08-30,20,1000000.0,0.13766579570797233,0.01895187130790917,1.0730706173389595,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00014588681596783103,4.941482304719551e-05,0.0014588681596783102,0.0004941482304719551,0.13766579570797233
2024-09-30,20,1000000.0,0.13861772011835882,0.01921487233081166,1.0602486404685842,0.05,0.05,0.05000000000000002,19.999999999999993,0.15000000000000002,0.04000000000000001,0.00014006865449603858,5.145302949379869e-05,0.0014006865449603858,0.000514530294937987,0.13861772011835888
2024-10-31,20,1000000.0,0.14625747211248505,0.021391248148734342,1.1659926744845501,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00013459338286231408,4.449713451163648e-05,0.0013459338286231407,0.0004449713451163647,0.14625747211248508
2024-11-29,20,1000000.0,0.1491240133566797,0.02223797135960319,1.2111938910979623,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00012785106099240688,3.995088490705016e-05,0.0012785106099240688,0.0003995088490705014,0.14912401335667969
2024-12-31,20,1000000.0,0.13784700969106484,0.019001798080768524,1.02641340152177,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.06999999999999999,0.00013679975713444553,4.5952005987030204e-05,0.0013679975713444552,0.000459520059870302,0.13784700969106486
2025-01-31,20,1000000.0,0.13152389320612512,0.017298534484096205,0.9691376876878118,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.04000000000000001,0.00012355683076608825,4.4138851388346335e-05,0.0012355683076608825,0.00044138851388346337,0.13152389320612512
2025-02-28,20,1000000.0,0.1493969148836351,0.022319438176748113,1.1490585792359183,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00012723042433155038,3.632762187466548e-05,0.0012723042433155035,0.0003632762187466547,0.14939691488363518
2025-03-31,20,1000000.0,0.13765062271154846,0.018947693932877062,0.9530028114361053,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.06999999999999999,0.00011640646179917744,3.8837893481327344e-05,0.0011640646179917743,0.0003883789348132734,0.1376506227115485
2025-04-30,20,1000000.0,0.21564516211977003,0.046502835945661895,1.1033104313071938,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.06,0.0001241408880793698,3.223754059414732e-05,0.0012414088807936978,0.00032237540594147316,0.21564516211977003
2025-05-30,20,1000000.0,0.2229869461739812,0.049723178163997996,1.1114666138643903,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.0001069001488399313,3.0070333001803312e-05,0.001069001488399313,0.0003007033300180331,0.2229869461739812
2025-06-30,20,1000000.0,0.22409981720731278,0.050220728072351,1.1148301185916494,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,9.067263643847141e-05,3.2186671332772853e-05,0.0009067263643847141,0.0003218667133277285,0.22409981720731276
2025-07-31,20,1000000.0,0.20393475557789664,0.04158938453261645,1.0049552840058564,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.04000000000000001,0.00011708575214062628,4.2637826709310674e-05,0.0011708575214062628,0.0004263782670931067,0.2039347555778967
2025-08-29,20,1000000.0,0.20480090117923083,0.041943409123825076,1.0447098828325263,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00017293444136799418,4.773120431469409e-05,0.0017293444136799417,0.0004773120431469409,0.20480090117923083
2025-09-30,20,1000000.0,0.20509536848790488,0.04206411017518948,1.0745705301354664,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.00014087292470713766,3.65937844698868e-05,0.0014087292470713764,0.00036593784469886797,0.20509536848790483
2025-10-31,20,1000000.0,0.2144363815816418,0.045982961745827486,1.1015512297658776,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00018075749820533878,4.4509046331251786e-05,0.0018075749820533876,0.00044509046331251773,0.21443638158164186
2025-11-28,20,1000000.0,0.2091081643625087,0.04372622440305795,1.077577738133696,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00015764330084556903,3.783032512743925e-05,0.0015764330084556903,0.0003783032512743925,0.20910816436250868
2025-12-31,20,1000000.0,0.210726002582129,0.04440544816424344,1.106608471791039,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00013240238955572852,3.305298520502564e-05,0.0013240238955572851,0.00033052985205025645,0.21072600258212898
2026-01-30,20,1000000.0,0.20668413428721025,0.04271833136605356,1.087508526083091,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09000000000000001,0.00011970267128228608,3.558262508330017e-05,0.0011970267128228608,0.00035582625083300167,0.20668413428721027
2026-02-27,20,1000000.0,0.19992257614058315,0.039969036450687265,1.0406103034439398,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.08000000000000002,0.0001137054184002183,3.072820988820401e-05,0.0011370541840021828,0.00030728209888204023,0.19992257614058317
2026-03-31,20,1000000.0,0.17653296681706393,0.031163888373234593,0.9427734854009988,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,8.738611575990811e-05,2.9054731435656393e-05,0.000873861157599081,0.00029054731435656394,0.17653296681706396
2026-04-30,20,1000000.0,0.1362885239278552,0.018574561754433564,1.0178045462906882,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.07000000000000002,7.605924593902884e-05,3.2012372230775796e-05,0.0007605924593902883,0.00032012372230775794,0.1362885239278553
2026-05-29,20,1000000.0,0.1296673774614135,0.01681362877772068,0.9969504525408148,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.0001410418554658423,3.732078029812735e-05,0.0014104185546584228,0.00037320780298127345,0.1296673774614135
