signal,sector,months,mean_ic,median_ic,preferred_direction,directional_mean_ic,directional_month_ratio
max_drawdown_126d_sector_neutral,Consumer Staples,66,0.03181818181818182,0.09999999999999999,lower_is_better,-0.03181818181818182,0.45454545454545453
max_drawdown_126d_sector_neutral,Energy,66,0.17424242424242425,0.5,lower_is_better,-0.17424242424242425,0.3787878787878788
max_drawdown_126d_sector_neutral,Financials,66,-0.03300865800865803,-0.03571428571428572,lower_is_better,0.03300865800865803,0.5
max_drawdown_126d_sector_neutral,Health Care,66,0.09307359307359309,0.10714285714285716,lower_is_better,-0.09307359307359309,0.42424242424242425
max_drawdown_126d_sector_neutral,Industrials,66,-0.07727272727272726,-0.19999999999999998,lower_is_better,0.07727272727272726,0.5909090909090909
max_drawdown_126d_sector_neutral,Information Technology,66,-0.0764790764790765,-0.08333333333333334,lower_is_better,0.0764790764790765,0.5757575757575758
momentum_12_1_sector_neutral,Communication Services,60,0.04,0.19999999999999998,lower_is_better,-0.04,0.4
momentum_12_1_sector_neutral,Consumer Discretionary,60,-0.04380952380952382,-0.05714285714285715,lower_is_better,0.04380952380952382,0.5166666666666667
momentum_12_1_sector_neutral,Consumer Staples,60,-0.06666666666666667,-0.09999999999999999,lower_is_better,0.06666666666666667,0.6
momentum_12_1_sector_neutral,Energy,60,0.09166666666666666,0.5,lower_is_better,-0.09166666666666666,0.45
momentum_12_1_sector_neutral,Financials,60,0.06071428571428573,0.07142857142857144,lower_is_better,-0.06071428571428573,0.45
momentum_12_1_sector_neutral,Health Care,60,0.03154761904761904,0.0892857142857143,lower_is_better,-0.03154761904761904,0.48333333333333334
momentum_12_1_sector_neutral,Industrials,60,-0.08666666666666666,-0.09999999999999999,lower_is_better,0.08666666666666666,0.5166666666666667
momentum_12_1_sector_neutral,Information Technology,60,0.07301587301587303,0.07142857142857144,lower_is_better,-0.07301587301587303,0.4
momentum_6_1_sector_neutral,Communication Services,66,0.009090909090909085,0.0,higher_is_better,0.009090909090909085,0.4696969696969697
momentum_6_1_sector_neutral,Consumer Discretionary,66,-0.129004329004329,-0.14285714285714288,higher_is_better,-0.129004329004329,0.3333333333333333
momentum_6_1_sector_neutral,Consumer Staples,66,-0.00909090909090909,-0.09999999999999999,higher_is_better,-0.00909090909090909,0.4393939393939394
momentum_6_1_sector_neutral,Energy,66,0.09848484848484848,0.5,higher_is_better,0.09848484848484848,0.5757575757575758
momentum_6_1_sector_neutral,Financials,66,0.007034632034632044,-0.053571428571428575,higher_is_better,0.007034632034632044,0.45454545454545453
momentum_6_1_sector_neutral,Health Care,66,0.08874458874458875,0.07142857142857144,higher_is_better,0.08874458874458875,0.5303030303030303
momentum_6_1_sector_neutral,Industrials,66,-0.09545454545454543,-0.09999999999999999,higher_is_better,-0.09545454545454543,0.3939393939393939
momentum_6_1_sector_neutral,Information Technology,66,0.1334776334776335,0.16666666666666669,higher_is_better,0.1334776334776335,0.5909090909090909
positive_day_ratio_60d_sector_neutral,Communication Services,70,-0.038203180236195504,0.0,lower_is_better,0.038203180236195504,0.5
positive_day_ratio_60d_sector_neutral,Consumer Discretionary,70,-0.02478721914193972,-0.029424494316824982,lower_is_better,0.02478721914193972,0.5571428571428572
positive_day_ratio_60d_sector_neutral,Consumer Staples,70,-0.0276953644851198,-0.025649458802128853,lower_is_better,0.0276953644851198,0.5
positive_day_ratio_60d_sector_neutral,Energy,70,-0.040430385984602774,0.0,lower_is_better,0.040430385984602774,0.42857142857142855
positive_day_ratio_60d_sector_neutral,Financials,70,0.09174728883013948,0.21821789023599242,lower_is_better,-0.09174728883013948,0.4142857142857143
positive_day_ratio_60d_sector_neutral,Health Care,70,-0.017219374415530092,0.009356014857063997,lower_is_better,0.017219374415530092,0.4857142857142857
positive_day_ratio_60d_sector_neutral,Industrials,70,-0.04159202115854869,-0.049999999999999996,lower_is_better,0.04159202115854869,0.5
positive_day_ratio_60d_sector_neutral,Information Technology,70,0.10056742447446958,0.14415197962157753,lower_is_better,-0.10056742447446958,0.37142857142857144
return_1m_sector_neutral,Communication Services,71,-0.039436619718309855,-0.19999999999999998,lower_is_better,0.039436619718309855,0.5070422535211268
