date,strategy_name,portfolio_value,drawdown
2023-02-24,spy_buy_and_hold,1284636.4338287937,-0.15678855258343638
2023-02-24,universe_equal_weight,1587724.1814491483,-0.08213980447234603
2023-02-27,elastic_net_score_weighted,1878864.8341482112,-0.050936299597921564
2023-02-27,elastic_net_top20_equal_weight,1939204.4376695992,-0.05142714363819667
2023-02-27,momentum_3m_top20_equal_weight,1542593.4697652895,-0.15808669859947966
2023-02-27,ridge_top20_equal_weight,1962613.3318148344,-0.03217319024437526
2023-02-27,spy_buy_and_hold,1289012.0384579627,-0.1539164871371158
2023-02-27,universe_equal_weight,1597000.0574962827,-0.07677743895458833
2023-02-28,elastic_net_score_weighted,1872194.5975807635,-0.05430561030308945
2023-02-28,elastic_net_top20_equal_weight,1931409.409129956,-0.05524012608792572
2023-02-28,momentum_3m_top20_equal_weight,1541702.857005988,-0.15857277528990343
2023-02-28,ridge_top20_equal_weight,1954740.7422548188,-0.03605541356104858
2023-02-28,spy_buy_and_hold,1284247.8198958405,-0.15704363153672052
2023-02-28,universe_equal_weight,1590134.668680201,-0.08074630659213389
2023-03-01,elastic_net_score_weighted,1866846.4054125869,-0.057007121852690856
2023-03-01,elastic_net_top20_equal_weight,1926203.4944010868,-0.05778662882297203
2023-03-01,momentum_3m_top20_equal_weight,1536455.0681019854,-0.16143690207885852
2023-03-01,ridge_top20_equal_weight,1948104.0767454132,-0.039328163574136266
2023-03-01,spy_buy_and_hold,1279321.5150859307,-0.16027716633286415
2023-03-01,universe_equal_weight,1583338.1900939508,-0.0846753373626935
2023-03-02,elastic_net_score_weighted,1884538.8150145866,-0.048070223667827316
2023-03-02,elastic_net_top20_equal_weight,1942691.806693353,-0.04972127728816644
2023-03-02,momentum_3m_top20_equal_weight,1547171.19555228,-0.15558827739793146
2023-03-02,ridge_top20_equal_weight,1964779.858140568,-0.03110480747732891
2023-03-02,spy_buy_and_hold,1289271.0454550653,-0.15374647976447187
2023-03-02,universe_equal_weight,1596144.6882881387,-0.07727192619475798
2023-03-03,elastic_net_score_weighted,1917103.884385043,-0.0316207565859723
2023-03-03,elastic_net_top20_equal_weight,1976105.9519677984,-0.03337655848999854
2023-03-03,momentum_3m_top20_equal_weight,1575681.4512914114,-0.1400280121669646
2023-03-03,ridge_top20_equal_weight,1998573.9161512197,-0.014439886872259167
2023-03-03,spy_buy_and_hold,1309948.1615576346,-0.14017440556657357
2023-03-03,universe_equal_weight,1619804.779770337,-0.06359407430600517
2023-03-06,elastic_net_score_weighted,1913135.3405414578,-0.03362537173281366
2023-03-06,elastic_net_top20_equal_weight,1970448.6339068143,-0.03614386772682343
2023-03-06,momentum_3m_top20_equal_weight,1577740.299176519,-0.1389043386560841
2023-03-06,ridge_top20_equal_weight,1992852.2754159167,-0.017261409181136833
2023-03-06,spy_buy_and_hold,1310855.5135458873,-0.13957883660777448
2023-03-06,universe_equal_weight,1621956.4987559675,-0.062350169834468616
2023-03-07,elastic_net_score_weighted,1880358.3107979894,-0.05018190553511226
2023-03-07,elastic_net_top20_equal_weight,1933543.413704683,-0.05419626563896218
2023-03-07,momentum_3m_top20_equal_weight,1553419.3509205321,-0.1521781727807059
2023-03-07,ridge_top20_equal_weight,1955527.4495925095,-0.0356674632498456
2023-03-07,spy_buy_and_hold,1290761.8872478935,-0.15276791895699648
2023-03-07,universe_equal_weight,1596322.2242761932,-0.07716929299271147
2023-03-08,elastic_net_score_weighted,1884356.831011852,-0.04816214854071332
2023-03-08,elastic_net_top20_equal_weight,1938867.6695720404,-0.05159187566439638
2023-03-08,momentum_3m_top20_equal_weight,1552219.2298817446,-0.15283317222524495
2023-03-08,ridge_top20_equal_weight,1960912.241277803,-0.03301205187894807
2023-03-08,spy_buy_and_hold,1292868.4912826354,-0.15138518327358286
2023-03-08,universe_equal_weight,1597588.6331185705,-0.07643718455645798
2023-03-09,elastic_net_score_weighted,1850020.963191167,-0.06550609216994696
2023-03-09,elastic_net_top20_equal_weight,1902498.0934050684,-0.06938226025676641
2023-03-09,momentum_3m_top20_equal_weight,1523220.4459813081,-0.1686600652912006
2023-03-09,ridge_top20_equal_weight,1924129.1496645196,-0.05115095964643679
2023-03-09,spy_buy_and_hold,1269015.1260346854,-0.16704208829886913
2023-03-09,universe_equal_weight,1568438.2958090708,-0.09328893665245108
2023-03-10,elastic_net_score_weighted,1822124.4612994066,-0.07959734388346928
2023-03-10,elastic_net_top20_equal_weight,1876075.8261309208,-0.08230686224969119
2023-03-10,momentum_3m_top20_equal_weight,1507849.4058675328,-0.17704923805887562
2023-03-10,ridge_top20_equal_weight,1897406.466031538,-0.0643287615238457
2023-03-10,spy_buy_and_hold,1250704.0347131577,-0.17906114786343696
2023-03-10,universe_equal_weight,1551428.3989077613,-0.10312232426357326
2023-03-13,elastic_net_score_weighted,1821638.2217733555,-0.07984295616780634
2023-03-13,elastic_net_top20_equal_weight,1874641.5336318081,-0.0830084545657529
2023-03-13,momentum_3m_top20_equal_weight,1509878.3364631266,-0.17594189274105276
2023-03-13,ridge_top20_equal_weight,1895955.8658883607,-0.06504409840964187
2023-03-13,spy_buy_and_hold,1248921.4997366916,-0.18023117064809124
2023-03-13,universe_equal_weight,1549853.9805815427,-0.10403249237062218
2023-03-14,elastic_net_score_weighted,1858624.9894283295,-0.06115997379539129
2023-03-14,elastic_net_top20_equal_weight,1912295.468987848,-0.06458981838685462
2023-03-14,momentum_3m_top20_equal_weight,1542762.9301451012,-0.15799421088277388
2023-03-14,ridge_top20_equal_weight,1934037.9196203924,-0.04626463127011471
2023-03-14,spy_buy_and_hold,1269566.4468392213,-0.16668021158313717
2023-03-14,universe_equal_weight,1573520.9729681076,-0.09035065108276263
2023-03-15,elastic_net_score_weighted,1842155.8005170159,-0.06947899126099755
2023-03-15,elastic_net_top20_equal_weight,1891664.4104789416,-0.07468161774508975
2023-03-15,momentum_3m_top20_equal_weight,1527212.659141192,-0.16648120389498078
2023-03-15,ridge_top20_equal_weight,1913172.2897398537,-0.056554134389993016
2023-03-15,spy_buy_and_hold,1261625.8756944193,-0.17189225470444813
2023-03-15,universe_equal_weight,1563757.7329370508,-0.09599476075155289
2023-03-16,elastic_net_score_weighted,1876693.6724656934,-0.05203301007071914
2023-03-16,elastic_net_top20_equal_weight,1929086.7168020266,-0.056376284222238504
2023-03-16,momentum_3m_top20_equal_weight,1550430.0783393017,-0.15380965145410685
2023-03-16,ridge_top20_equal_weight,1951020.080859081,-0.03789018956630885
2023-03-16,spy_buy_and_hold,1283761.5611524777,-0.15736280272633707
2023-03-16,universe_equal_weight,1587155.395594131,-0.0824686184453266
2023-03-17,elastic_net_score_weighted,1851888.5142671922,-0.06456274334426848
2023-03-17,elastic_net_top20_equal_weight,1903469.783337556,-0.06890695261160362
2023-03-17,momentum_3m_top20_equal_weight,1527464.2908350697,-0.1663438688976001
2023-03-17,ridge_top20_equal_weight,1925111.8875342796,-0.0506663404695985
2023-03-17,spy_buy_and_hold,1268750.9471726248,-0.16721549038742045
2023-03-17,universe_equal_weight,1568808.5789332925,-0.09307487671384851
2023-03-20,elastic_net_score_weighted,1870356.6548565838,-0.05523400317693228
2023-03-20,elastic_net_top20_equal_weight,1920939.8881117105,-0.060361351712260425
2023-03-20,momentum_3m_top20_equal_weight,1543809.6151004846,-0.15742295344937685
2023-03-20,ridge_top20_equal_weight,1942780.6242127386,-0.04195332666564533
2023-03-20,spy_buy_and_hold,1280950.8594223373,-0.15920769503338794
2023-03-20,universe_equal_weight,1583927.9754478051,-0.08433438362114754
2023-03-21,elastic_net_score_weighted,1896749.288744404,-0.041902394470610616
2023-03-21,elastic_net_top20_equal_weight,1951204.6242160415,-0.0455571842836725
2023-03-21,momentum_3m_top20_equal_weight,1563304.7910972752,-0.1467829187892149
2023-03-21,ridge_top20_equal_weight,1973389.4648455416,-0.026859137657680887
2023-03-21,spy_buy_and_hold,1297770.1780153445,-0.14816780732515866
2023-03-21,universe_equal_weight,1600365.653523941,-0.07483179457623412
2023-03-22,elastic_net_score_weighted,1868099.924972729,-0.056373936383117496
2023-03-22,elastic_net_top20_equal_weight,1923639.27084707,-0.05904093332730109
2023-03-22,momentum_3m_top20_equal_weight,1539753.7523487932,-0.15963655338107074
2023-03-22,ridge_top20_equal_weight,1945510.6984373648,-0.040607040576386644
2023-03-22,spy_buy_and_hold,1275647.939406177,-0.1626884330419105
2023-03-22,universe_equal_weight,1575341.6136236363,-0.08929814233622202
2023-03-23,elastic_net_score_weighted,1875135.7646835756,-0.05281994998130213
2023-03-23,elastic_net_top20_equal_weight,1931012.928795876,-0.055434066693508144
2023-03-23,momentum_3m_top20_equal_weight,1544513.37618836,-0.15703885625688685
2023-03-23,ridge_top20_equal_weight,1952968.1935319116,-0.03692951349088103
2023-03-23,spy_buy_and_hold,1279096.332085654,-0.16042497226347363
2023-03-23,universe_equal_weight,1580917.9132066942,-0.08607449462371142
2023-03-24,elastic_net_score_weighted,1883202.486545999,-0.048745238079880626
2023-03-24,elastic_net_top20_equal_weight,1938228.6680461988,-0.051904446887322986
2023-03-24,momentum_3m_top20_equal_weight,1550183.2466386862,-0.15394436672162792
2023-03-24,ridge_top20_equal_weight,1960265.974421182,-0.03333074653976342
2023-03-24,spy_buy_and_hold,1287489.9586007874,-0.15491555202867202
2023-03-24,universe_equal_weight,1589089.6156811921,-0.08135044965502514
2023-03-27,elastic_net_score_weighted,1889879.7285917306,-0.04537238872466065
2023-03-27,elastic_net_top20_equal_weight,1946700.6472642054,-0.047760330171336185
2023-03-27,momentum_3m_top20_equal_weight,1553172.416546521,-0.15231294408508889
2023-03-27,ridge_top20_equal_weight,1968834.2784973995,-0.029105444354827426
2023-03-27,spy_buy_and_hold,1289897.3583014938,-0.1533353796680823
2023-03-27,universe_equal_weight,1595096.6600198008,-0.07787778925493838
2023-03-28,elastic_net_score_weighted,1885578.8866051014,-0.04754485634260153
2023-03-28,elastic_net_top20_equal_weight,1944111.3796070046,-0.049026885140871945
2023-03-28,momentum_3m_top20_equal_weight,1550048.801453212,-0.15401774392189382
2023-03-28,ridge_top20_equal_weight,1966215.5713392824,-0.030396811815467717
2023-03-28,spy_buy_and_hold,1287001.7345487408,-0.1552360132103332
2023-03-28,universe_equal_weight,1590889.403497477,-0.08030999589343046
2023-03-29,elastic_net_score_weighted,1914086.1857899027,-0.03314507496340391
2023-03-29,elastic_net_top20_equal_weight,1974676.024657433,-0.03407601554921047
2023-03-29,momentum_3m_top20_equal_weight,1568959.2422522057,-0.1436968447633863
2023-03-29,ridge_top20_equal_weight,1997127.7308281895,-0.015153046670378756
2023-03-29,spy_buy_and_hold,1305708.2666649667,-0.14295739366748328
2023-03-29,universe_equal_weight,1610559.2959044448,-0.06893887016415623
2023-03-30,elastic_net_score_weighted,1926208.24698699,-0.0270219052456504
2023-03-30,elastic_net_top20_equal_weight,1985988.6512408953,-0.02854238005272569
2023-03-30,momentum_3m_top20_equal_weight,1576921.8042905193,-0.139351055010819
2023-03-30,ridge_top20_equal_weight,2008568.979912204,-0.009511004286838154
2023-03-30,spy_buy_and_hold,1313353.6277579593,-0.13793912093016836
2023-03-30,universe_equal_weight,1618768.5716912595,-0.06419310413825308
2023-03-31,elastic_net_score_weighted,1959287.009908081,-0.0103129581345901
2023-03-31,elastic_net_top20_equal_weight,2018657.031962333,-0.012562456218140783
2023-03-31,momentum_3m_top20_equal_weight,1603280.9640489079,-0.12496481025528716
2023-03-31,ridge_top20_equal_weight,2041608.794162926,0.0
2023-03-31,spy_buy_and_hold,1331864.6633787681,-0.12578882164861926
2023-03-31,universe_equal_weight,1643457.151979929,-0.04992068491341295
2023-04-03,elastic_net_score_weighted,1964556.55775053,-0.00765117188796649
2023-04-03,elastic_net_top20_equal_weight,2024286.39698739,-0.009808820367483095
2023-04-03,momentum_3m_top20_equal_weight,1605373.8731251562,-0.1238225469017522
2023-04-03,ridge_top20_equal_weight,2047302.1640413832,0.0
2023-04-03,spy_buy_and_hold,1336940.0213367708,-0.1224574511400236
2023-04-03,universe_equal_weight,1654084.8545678665,-0.043776831157610885
2023-04-04,elastic_net_score_weighted,1948542.356510792,-0.01574036319717509
2023-04-04,elastic_net_top20_equal_weight,2008510.1702307626,-0.0175258512211921
2023-04-04,momentum_3m_top20_equal_weight,1598847.7597915048,-0.1273843548114436
2023-04-04,ridge_top20_equal_weight,2031346.5644645055,-0.0077934756564616015
2023-04-04,spy_buy_and_hold,1329522.5326138332,-0.12732615269445724
2023-04-04,universe_equal_weight,1644717.189644279,-0.04919225964252183
2023-04-05,elastic_net_score_weighted,1944250.9647242364,-0.0179080572722361
2023-04-05,elastic_net_top20_equal_weight,2006157.1051557697,-0.01867686635710697
2023-04-05,momentum_3m_top20_equal_weight,1596550.8097959338,-0.12863797917316044
2023-04-05,ridge_top20_equal_weight,2028966.7454688672,-0.008955892732669057
2023-04-05,spy_buy_and_hold,1326041.2468732225,-0.1296112038660654
2023-04-05,universe_equal_weight,1644315.6309105677,-0.049424399948846176
2023-04-06,elastic_net_score_weighted,1948742.8233937037,-0.015639102138770955
2023-04-06,elastic_net_top20_equal_weight,2010584.5099562958,-0.016511176171830844
2023-04-06,momentum_3m_top20_equal_weight,1597428.398961212,-0.12815901047149392
2023-04-06,ridge_top20_equal_weight,2033444.4890543076,-0.006768749249852046
2023-04-06,spy_buy_and_hold,1331214.0427670365,-0.12621587690977376
2023-04-06,universe_equal_weight,1648333.3474898485,-0.04710176597493543
2023-04-10,elastic_net_score_weighted,1957247.9389104124,-0.011342946152492095
2023-04-10,elastic_net_top20_equal_weight,2019119.3308950614,-0.012336320071485662
2023-04-10,momentum_3m_top20_equal_weight,1600390.0484484793,-0.12654260787010363
2023-04-10,ridge_top20_equal_weight,2042076.3493501854,-0.00255253708171832
2023-04-10,spy_buy_and_hold,1332580.2426143738,-0.12531912875566742
2023-04-10,universe_equal_weight,1651453.8047227655,-0.045297835846890955
2023-04-11,elastic_net_score_weighted,1962865.25638945,-0.00850549237929088
2023-04-11,elastic_net_top20_equal_weight,2025992.0090604795,-0.008974510541975511
2023-04-11,momentum_3m_top20_equal_weight,1602405.2382501932,-0.12544276197281234
2023-04-11,ridge_top20_equal_weight,2049027.168612598,0.0
2023-04-11,spy_buy_and_hold,1332938.2391067748,-0.12508414652055544
2023-04-11,universe_equal_weight,1654122.3601768026,-0.04375514923958401
2023-04-12,elastic_net_score_weighted,1953741.951379361,-0.013113912024707908
2023-04-12,elastic_net_top20_equal_weight,2015634.0758135847,-0.014041152374653643
2023-04-12,momentum_3m_top20_equal_weight,1595344.5121434114,-0.12929634967647996
2023-04-12,ridge_top20_equal_weight,2038551.4675542281,-0.005112524235324267
2023-04-12,spy_buy_and_hold,1327505.2984055676,-0.12865022768699053
