as_of_date,optimizer_success,optimizer_message,objective_value,function_evaluations,iterations,seed,observation_count,median_daily_return,mad_daily,mad_limit,mad_violation,mad_penalty_value,turnover_l1,one_way_turnover,turnover_penalty,turnover_penalty_value,portfolio_beta_vs_spy,maximum_position_adv_fraction,positions,weight_sum,maximum_weight,maximum_sector_weight
2021-02-26,False,Maximum number of iterations has been exceeded.,0.04930186952718783,16200,80,786064305,252,0.0023828431651517004,0.01309750743940949,0.008,0.005097507439409489,0.05097507439409489,0.7096382982446438,0.3548191491223218,0.001,0.0007096382982446438,1.0070650789752587,0.00014203364296551274,21,1.0,0.049999,0.22308822522985838
2021-03-31,False,Maximum number of iterations has been exceeded.,0.017307641400427416,16183,80,513226573,252,0.002099262372432409,0.009879548897500616,0.008,0.0018795488975006155,0.018795488975006155,0.6114147978536688,0.30570739892683435,0.001,0.0006114147978536688,1.0098150675795863,0.00016979407533258833,21,1.0,0.049999,0.17589927957572524
2021-04-30,False,Maximum number of iterations has been exceeded.,0.002001002443076928,16144,80,128113632,252,0.0028369130250229355,0.008423792746809987,0.008,0.00042379274680998634,0.004237927468099863,0.5999880000000002,0.2999940000000001,0.001,0.0005999880000000002,1.0025642646975232,0.00016729831615661719,21,1.0,0.049999,0.199996
2021-05-28,False,Maximum number of iterations has been exceeded.,-0.001878464067332187,16197,80,839748229,252,0.0026053099001314213,0.007990566019887605,0.008,0.0,0.0,0.7268458327992342,0.3634229163996171,0.001,0.0007268458327992342,0.9631016270765373,0.00019472268164650653,22,1.0,0.049999,0.17700150439156642
2021-06-30,False,Maximum number of iterations has been exceeded.,-0.0024422168363646955,15576,80,450385937,252,0.003268784780955601,0.007590860544050709,0.008,0.0,0.0,0.8265679445909053,0.4132839722954527,0.001,0.0008265679445909053,1.0005893927325982,0.00017250132134292027,21,1.0,0.049999,0.15001700000000015
2021-07-30,False,Maximum number of iterations has been exceeded.,-0.002925716662454929,15008,80,500351915,252,0.003106267615828967,0.007741033579963569,0.008,0.0,0.0,0.18055095337403798,0.09027547668701899,0.001,0.000180550953374038,1.0468755508650431,0.0001429296689212856,21,1.0,0.049999,0.1674073455959758
2021-08-31,False,Maximum number of iterations has been exceeded.,-0.0017538826344629364,12874,80,370798024,252,0.0023940430792377355,0.00795137285693928,0.008,0.0,0.0,0.640160444774799,0.3200802223873995,0.001,0.0006401604447747991,1.0739405410752254,0.00017264574863033884,21,1.0,0.049999,0.2326757131619767
2021-09-30,False,Maximum number of iterations has been exceeded.,-0.002017149933395404,16200,80,182549636,252,0.0025473482516501812,0.0074577824751717765,0.008,0.0,0.0,0.5301983182547771,0.2650991591273886,0.001,0.0005301983182547772,1.0748268924947144,0.00016906593677848755,21,1.0,0.049999,0.199996
2021-10-29,False,Maximum number of iterations has been exceeded.,-0.0014748936464240394,16200,80,926764988,252,0.002143100704962782,0.006767541930527515,0.008,0.0,0.0,0.6682070585387425,0.33410352926937126,0.001,0.0006682070585387425,1.0121447923960518,0.00015838634199052037,21,1.0,0.049999,0.24999500000000002
2021-11-30,False,Maximum number of iterations has been exceeded.,-0.0019859257084241513,11620,80,781567455,252,0.0025825415418162323,0.006488768522370648,0.008,0.0,0.0,0.5966158333920812,0.2983079166960407,0.001,0.0005966158333920812,1.0488404783984007,0.00016432737267755746,21,1.0,0.049999,0.24418820162494664
2021-12-31,False,Maximum number of iterations has been exceeded.,-0.001955013850608381,16199,80,643865119,252,0.0022966789656669265,0.006774021115518303,0.008,0.0,0.0,0.3416651150585457,0.17083255752927287,0.001,0.0003416651150585457,1.0158843111785383,0.00016553578095441696,21,1.0,0.049999,0.199996
2022-01-31,False,Maximum number of iterations has been exceeded.,-0.0018508888787207149,15495,80,402414364,252,0.0023050828715982267,0.007547342734685717,0.008,0.0,0.0,0.4541939928775118,0.22709699643875592,0.001,0.0004541939928775118,1.082301471116485,0.00011769453686997457,21,1.0,0.049999,0.24999500000000002
2022-02-28,False,Maximum number of iterations has been exceeded.,-0.0020072644951534967,16077,80,822761613,252,0.0024335744954583965,0.00791615772707558,0.008,0.0,0.0,0.42631000030489996,0.21315500015245,0.001,0.0004263100003049,1.0965369235589704,0.00011099005186119206,21,1.0,0.049999,0.23685599984755018
2022-03-31,False,Maximum number of iterations has been exceeded.,-0.0014302595029073509,13581,80,545429118,252,0.0021454917684168035,0.007891126063489858,0.008,0.0,0.0,0.7152322655094525,0.35761613275472626,0.001,0.0007152322655094525,1.0439731381840258,0.00010579279751396339,21,1.0,0.049999,0.24999500000000002
2022-04-29,False,Maximum number of iterations has been exceeded.,-0.001140973127507818,16195,80,443414198,252,0.0016409631275078182,0.007942133761415783,0.008,0.0,0.0,0.4999900000000002,0.24999500000000013,0.001,0.0004999900000000002,0.9780514915645171,0.0001058983618059346,21,1.0,0.049999,0.24252316558396797
2022-05-31,False,Maximum number of iterations has been exceeded.,-0.000585264540455084,16199,80,450459553,252,0.0011764961940011697,0.00798908408614776,0.008,0.0,0.0,0.5912316535460858,0.2956158267730429,0.001,0.0005912316535460857,0.922801997667367,0.00016044338912806681,22,1.0,0.049999,0.199996
2022-06-30,False,Maximum number of iterations has been exceeded.,0.004056940308100456,16198,80,227238721,252,0.0005106681826693992,0.008387470465785132,0.008,0.0003874704657851318,0.003874704657851318,0.6929038329185366,0.3464519164592683,0.001,0.0006929038329185367,0.8626209685199622,0.00012667292755727167,21,1.0,0.049999,0.149997
2022-07-29,False,Maximum number of iterations has been exceeded.,0.005793236007827058,14329,80,92135914,252,0.00041835034797186465,0.008546490279750818,0.008,0.0005464902797508182,0.005464902797508182,0.7466835582907403,0.37334177914537015,0.001,0.0007466835582907403,0.850368110312134,0.00018726162836800846,22,1.0,0.049999,0.199996
2022-08-31,False,Maximum number of iterations has been exceeded.,0.009440410182135414,15312,80,554584786,252,0.0005943772225948103,0.00892579945372195,0.008,0.0009257994537219504,0.009257994537219504,0.7767928675107214,0.3883964337553607,0.001,0.0007767928675107215,0.8501236115058479,0.00012489147662866906,21,1.0,0.049999,0.24999500000000002
2022-09-30,False,Maximum number of iterations has been exceeded.,0.015557322474486135,15178,80,887889843,252,0.0006675291419038401,0.00955894428597694,0.008,0.0015589442859769397,0.015589442859769397,0.6354087566205773,0.31770437831028864,0.001,0.0006354087566205772,0.8500245638244517,0.00016864066339153315,21,1.0,0.049999,0.199996
2022-10-31,False,Maximum number of iterations has been exceeded.,0.020858151757812544,14269,80,63817255,252,-2.1532559029296768e-05,0.010033662919878325,0.008,0.002033662919878325,0.02033662919878325,0.4999900000000001,0.24999500000000008,0.001,0.0004999900000000001,0.8502589217772409,0.00017407976732428346,21,1.0,0.049999,0.199996
2022-11-30,False,Maximum number of iterations has been exceeded.,0.026909686533377865,15935,80,858291293,252,0.00017543932561914056,0.010651268398643495,0.008,0.002651268398643495,0.02651268398643495,0.5724418725620581,0.2862209362810291,0.001,0.0005724418725620581,0.8524412604882766,0.00016817115761758652,22,1.0,0.049999,0.199996
2022-12-30,False,Maximum number of iterations has been exceeded.,0.029372796773294706,16200,80,827631171,252,-0.0010307133699778673,0.010783110563377506,0.008,0.002783110563377506,0.027831105633775062,0.5109777695417771,0.25548888477088855,0.001,0.0005109777695417771,0.8629225125332173,0.0001588599065417101,21,1.0,0.049999,0.149997
2023-01-31,False,Maximum number of iterations has been exceeded.,0.026890640193879215,14585,80,276759694,252,0.000304909609974783,0.010667833665307203,0.008,0.002667833665307203,0.02667833665307203,0.517213150781967,0.25860657539098353,0.001,0.000517213150781967,0.8501415688169229,0.00016491829647377729,21,1.0,0.049999,0.199996
2023-02-28,False,Maximum number of iterations has been exceeded.,0.02994342731620637,16198,80,165229079,252,-0.000827662424143012,0.01083605994983208,0.008,0.0028360599498320795,0.028360599498320795,0.755165393742562,0.3775826968712809,0.001,0.000755165393742562,0.9106796059711827,0.00016966410333799043,21,1.0,0.049999,0.199996
2023-03-31,False,Maximum number of iterations has been exceeded.,0.02990864295082599,16193,80,700522966,252,-0.0007457706274151732,0.010856284432341082,0.008,0.002856284432341082,0.02856284432341082,0.6000280000000004,0.30001400000000017,0.001,0.0006000280000000005,0.9131998157947748,0.00016806920501701378,21,1.0,0.049999,0.199996
2023-04-28,False,Maximum number of iterations has been exceeded.,0.027552615972636887,16183,80,354525967,252,-0.0004258458965777371,0.010674041225523297,0.008,0.0026740412255232965,0.026740412255232965,0.3863578208261838,0.19317891041309193,0.001,0.0003863578208261838,0.920616245090581,0.00013510180901490793,21,1.0,0.049999,0.199996
2023-05-31,False,Maximum number of iterations has been exceeded.,0.016618885037153225,16200,80,67920001,252,-0.0005138347918181537,0.009559134631242715,0.008,0.0015591346312427146,0.015591346312427146,0.5137039329079238,0.25685196645396186,0.001,0.0005137039329079239,0.9041369934014346,0.000156035853243627,21,1.0,0.049999,0.199996
2023-06-30,False,Maximum number of iterations has been exceeded.,0.020460356743793463,15862,80,970698024,252,0.00014991029390164147,0.01001102370376951,0.008,0.0020110237037695104,0.020110237037695104,0.5000300000000004,0.2500150000000002,0.001,0.0005000300000000005,1.0041669522559884,0.00021995766472594503,21,1.0,0.049999,0.15001700000000018
2023-07-31,False,Maximum number of iterations has been exceeded.,0.004014941125890093,16200,80,445687486,252,0.0008044673538206424,0.008431941847971074,0.008,0.0004319418479710735,0.004319418479710735,0.4999900000000001,0.24999500000000005,0.001,0.0004999900000000001,0.9012334901082008,0.00020854130572354115,22,1.0,0.049999,0.199996
2023-08-31,False,Maximum number of iterations has been exceeded.,0.004112889466671669,15755,80,893121121,252,0.00013464899046003288,0.008354643274806622,0.008,0.0003546432748066219,0.0035464327480662187,0.7011057090654829,0.3505528545327414,0.001,0.0007011057090654829,0.9165630817110684,0.00022245632003939456,22,1.0,0.049999,0.199996
2023-09-29,False,Maximum number of iterations has been exceeded.,-0.0003015435283160975,16192,80,677919011,252,0.0009094200509576816,0.007793213750404489,0.008,0.0,0.0,0.6078765226415841,0.30393826132079205,0.001,0.0006078765226415841,0.9016788515006849,0.00016474375588204017,21,1.0,0.049999,0.199996
2023-10-31,False,Maximum number of iterations has been exceeded.,-0.0005234905844649186,16193,80,778383496,252,0.001231975200297485,0.0072772719788353505,0.008,0.0,0.0,0.7084846158325664,0.3542423079162832,0.001,0.0007084846158325664,0.9305613434017922,0.00015983678732210116,21,1.0,0.049999,0.18182908618907107
2023-11-30,False,Maximum number of iterations has been exceeded.,-0.0008547523512296461,14831,80,759899441,252,0.0016184025236077883,0.0075924357040303946,0.008,0.0,0.0,0.7636501723781421,0.381825086189071,0.001,0.0007636501723781422,1.034335459122918,0.00013833722075958817,22,1.0,0.049999,0.199996
2023-12-29,False,Maximum number of iterations has been exceeded.,-0.001543669415185688,16199,80,194638707,252,0.0020010785068558896,0.007279100961321539,0.008,0.0,0.0,0.4574090916702016,0.22870454583510086,0.001,0.00045740909167020163,1.0237664173964134,0.0001558282050936934,22,1.0,0.049999,0.16335920756328887
2024-01-31,False,Maximum number of iterations has been exceeded.,-0.0011905473727980473,14379,80,363906031,252,0.001642719749559536,0.006984114836892483,0.008,0.0,0.0,0.45217237676148864,0.22608618838074435,0.001,0.00045217237676148863,1.030959074637409,0.00011490966295519476,21,1.0,0.049999,0.21029472445831937
2024-02-29,False,Maximum number of iterations has been exceeded.,-0.0013576337408673354,13889,80,466721003,252,0.0016576277408673354,0.006961866617594455,0.008,0.0,0.0,0.299994,0.149997,0.001,0.000299994,1.0613328282600063,0.00011013199180648346,22,1.0,0.049999,0.21739739915971307
2024-03-28,False,Maximum number of iterations has been exceeded.,-0.001768942732229156,15971,80,497791541,252,0.0021368195330773135,0.006559357737042136,0.008,0.0,0.0,0.36787680084815766,0.18393840042407883,0.001,0.00036787680084815765,1.063343711130162,0.00012211160460101484,21,1.0,0.049999,0.199996
2024-04-30,False,Maximum number of iterations has been exceeded.,-0.001125981107348944,15717,80,43803765,252,0.001793891908197102,0.006858868467860893,0.008,0.0,0.0,0.667910800848158,0.333955400424079,0.001,0.000667910800848158,1.0936403122948402,0.00011289616861200843,21,1.0,0.049999,0.24999500000000002
2024-05-31,False,Maximum number of iterations has been exceeded.,-0.0017860226627124224,16178,80,546569503,252,0.0023348158306087476,0.006795117092725374,0.008,0.0,0.0,0.5487931678963252,0.2743965839481626,0.001,0.0005487931678963252,1.0609761994727724,0.0001334447935768923,21,1.0,0.049999,0.199996
2024-06-28,False,Maximum number of iterations has been exceeded.,-0.0017895517133020055,15701,80,154289491,252,0.0021223471422266525,0.006032595788627243,0.008,0.0,0.0,0.33279542892464686,0.16639771446232346,0.001,0.00033279542892464687,0.9373072507955612,0.00012737096572347352,22,1.0,0.049999,0.149997
2024-07-31,False,Maximum number of iterations has been exceeded.,-0.0016098773598571502,15043,80,743375907,252,0.0018995046105323857,0.006079970672794987,0.008,0.0,0.0,0.28962725067523565,0.14481362533761782,0.001,0.00028962725067523565,0.9238493392184126,0.00013878995120223612,21,1.0,0.049999,0.18378858647471796
2024-08-30,False,Maximum number of iterations has been exceeded.,-0.0017021333732868862,16079,80,683048953,252,0.0021414228550151013,0.006502085090872537,0.008,0.0,0.0,0.439289481728215,0.2196447408641075,0.001,0.00043928948172821503,0.9809772659043622,0.00014588389823151168,22,1.0,0.049999,0.1638181067477034
2024-09-30,False,Maximum number of iterations has been exceeded.,-0.0022088760973830546,15923,80,922527839,252,0.002502261663227627,0.006565248715697634,0.008,0.0,0.0,0.29338556584457215,0.14669278292228607,0.001,0.00029338556584457216,1.0075901003663243,0.00014006585312294868,21,1.0,0.049999,0.149997
