as_of_date,solver_status,objective_value,scenario_count,confidence_level,horizon_days,predicted_alpha_proxy,var_loss,cvar_loss,mean_scenario_return,worst_scenario_return,one_way_turnover,portfolio_beta_vs_spy,maximum_position_adv_fraction,positions,maximum_weight,maximum_sector_weight,solver
2021-11-30,optimal,0.00045301203053184965,252,0.95,21,0.002406035019675495,0.009907812541058155,0.01879548282622829,0.035811827642128743,-0.02743174023344997,0.099998028930361,1.0546636540789984,0.00020077041645519644,23,0.04999900022798369,0.2499949932440394,CLARABEL
2021-12-31,optimal,0.0003043378100482802,252,0.95,21,0.0022301153277836804,0.011701145685287434,0.01783443780722569,0.03057178434934554,-0.026535796243574255,0.09999799960165316,1.0258645727069786,0.0001906487934459734,25,0.04999899967964031,0.19999599473302196,CLARABEL
2022-01-31,optimal,-0.0018582837277469056,252,0.95,21,0.002194404295904478,0.016966659645265596,0.042687282821582836,0.028341429331486902,-0.08877905984095097,0.17754302081726714,1.0781525323663994,0.00011769453784945694,23,0.04999900041610376,0.24999898549409866,CLARABEL
2022-02-28,optimal,-0.0019163556195874907,252,0.95,21,0.002143422400146461,0.03627566006704361,0.05583316119323854,0.0228802098977985,-0.08741365266152792,0.12390720106893201,1.0311163428889207,0.00011099005285910089,22,0.04999900044953978,0.21385004377054587,CLARABEL
2022-03-31,optimal,-0.003838108646874092,252,0.95,21,0.002349410963487995,0.0527325151977888,0.0704191598242351,0.024439965138021005,-0.09935727301860739,0.2638490479560864,1.0076771906784652,0.00010579279680251236,23,0.04999900010027736,0.22061971992298618,CLARABEL
2022-04-29,optimal,-0.0028496782658113543,252,0.95,21,0.0022028965331447204,0.05053650350398203,0.07447610854501759,0.02323120469114703,-0.1028174441785122,0.1293933082565163,0.989638956985824,0.00010589836208532966,22,0.04999900055518824,0.24999499863716645,CLARABEL
2022-05-31,optimal,-0.005043583552939757,252,0.95,21,0.0021428534512800256,0.08477245794092192,0.10715823799841143,0.010332114425797597,-0.13400681218492266,0.17939230095527015,1.0232498864022521,0.00016044335110235858,23,0.04999899960786008,0.19999599567048407,CLARABEL
2022-06-30,optimal,-0.004524155511579408,252,0.95,21,0.0022364127850632823,0.07305944211896694,0.09453951875392426,0.009263050673166785,-0.11224341038127408,0.19999600963809455,1.0032629177928556,0.0001266729185572504,22,0.04999899963313466,0.1999959637410067,CLARABEL
2022-07-29,optimal,-0.00488779741975052,252,0.95,21,0.002298921779848392,0.08207110745947833,0.09338904714870956,0.005133944046701785,-0.11103299161356385,0.2499950031079872,0.9767184016444831,0.00012028427303973583,23,0.04999899981905586,0.19999599732507944,CLARABEL
2022-08-31,optimal,-0.005093308168385794,252,0.95,21,0.0021003065899334776,0.07553598453388062,0.09332353394473117,0.009355349180684687,-0.1143254548647297,0.25001501092969347,0.9311402218816308,0.00012489147427194506,22,0.04999899991333889,0.24999494985290843,CLARABEL
2022-09-30,optimal,-0.00541369154633705,252,0.95,21,0.0022910448110387686,0.08842061292021379,0.10363880942814789,0.0029818248799258367,-0.13343936741660503,0.2500150544647543,0.9112169879179183,0.0001686406626141095,21,0.049999000472425094,0.19999599971339005,CLARABEL
2022-10-31,optimal,-0.004568278782427743,252,0.95,21,0.0021246987272420903,0.09252386773097336,0.10272645686389151,-0.0023428834663964163,-0.1319596567282798,0.1499970140714339,0.9379823435584255,0.00017407976394411703,23,0.04999899959943958,0.19999599586985084,CLARABEL
2022-11-30,optimal,-0.005399959390282486,252,0.95,21,0.0020126746372935945,0.08969700926541321,0.09831487519370236,0.0006663437523444271,-0.1273137268805084,0.2414814061692996,0.8874568842893901,0.00016817115543796523,25,0.04999899960590916,0.1773055582534873,CLARABEL
2022-12-30,optimal,-0.005262971899640984,252,0.95,21,0.00215471029851744,0.09118721721475517,0.10256972305372251,-0.0012476898014748272,-0.12070133054560556,0.22730457014752692,0.8891843157571976,0.00015885990573915408,24,0.04999899990670934,0.1499969990341159,CLARABEL
2023-01-31,optimal,-0.00443189415843595,252,0.95,21,0.0022278687045462716,0.08636903324357466,0.09751923111003886,-0.0005336789300534685,-0.12116005277193578,0.17665639596335497,0.8679142964593215,0.00016491829330931727,25,0.04999899942937991,0.15001678631714063,CLARABEL
2023-02-28,optimal,-0.006074189815010067,252,0.95,21,0.002159092320844815,0.09171966476034049,0.1033720468131611,0.0030945083641105713,-0.132418193891318,0.29999408654952586,0.9636621630568687,0.00016966409962421665,25,0.049998999034531526,0.1999959645758495,CLARABEL
2023-03-31,optimal,-0.006225020503663422,252,0.95,21,0.0022238115755748647,0.08992059905378819,0.1018567194897442,-0.0020432236456134193,-0.12218173868455512,0.3339231384100919,0.9696062370551364,0.0001680692043933051,23,0.04999900004735921,0.1999959992847679,CLARABEL
2023-04-28,optimal,-0.004006202343173345,252,0.95,21,0.002213898679448398,0.09482877240878126,0.1041350706930769,-0.0006965169568072928,-0.12197561985356585,0.09999801132781884,0.9955742238730261,0.00013510180099190696,25,0.04999899914597403,0.1999959949655099,CLARABEL
2023-05-31,optimal,-0.0044889842909756495,252,0.95,21,0.0021846232252344514,0.0749017285657486,0.09122312917368453,0.005974513233838131,-0.11797832590348774,0.20868624383296797,0.9705277450992397,0.00012932693883797852,23,0.04999899973861377,0.19999599521630218,CLARABEL
2023-06-30,optimal,-0.004136607317569808,252,0.95,21,0.002210794126989823,0.08126726369976277,0.09538046184455952,0.016207152085479064,-0.12613387377772745,0.14999697373552032,1.102871513502608,0.00021995746983463258,24,0.049998999644515464,0.20001571985487054,CLARABEL
2023-07-31,optimal,-0.0036646865992114937,252,0.95,21,0.0021150353690904166,0.06769152969967158,0.08245609286384137,0.021495726431842613,-0.11506417421202605,0.15748907898547349,0.9974689605798583,0.00020854113115223476,23,0.049999000123918586,0.19999599669860904,CLARABEL
2023-08-31,optimal,-0.004410096588202926,252,0.95,21,0.002324607355611089,0.0714739281417344,0.0863035236214106,0.011071511779977805,-0.1187578729251194,0.23993135755438413,0.9882511214223245,0.00022245614382997232,23,0.04999900019932618,0.19862298844093293,CLARABEL
2023-09-29,optimal,-0.003988484055410264,252,0.95,21,0.002497531748808015,0.06650309483045207,0.07932015876357798,0.020403897718523883,-0.11687740747360774,0.24999454375250643,1.0326399242845807,0.00016474374356188808,25,0.04999899888528734,0.2099253379419389,CLARABEL
2023-10-31,optimal,-0.0036711397912195967,252,0.95,21,0.002341711723393124,0.052121661984920686,0.060007844447228634,0.019578021303511686,-0.07130252563920088,0.2999939267099671,0.9772267181016506,0.00015983678082704945,25,0.049998998991529695,0.2099253591560935,CLARABEL
2023-11-30,optimal,-0.0030185868698926637,252,0.95,21,0.0021980294040628524,0.05383981944753858,0.06149648548994546,0.017361226249354884,-0.0737972755508917,0.20992531290994065,1.0512135568240641,0.0001383372166971076,25,0.049998999402138644,0.24999899049439905,CLARABEL
2023-12-29,optimal,-0.0026774589273271957,252,0.95,21,0.002139825279298192,0.057208357852285584,0.06521722768586392,0.018869413818223303,-0.0771321192955253,0.1544171012779637,1.0479063818513088,0.00013272215374392316,25,0.04999899925304005,0.21183423456641118,CLARABEL
2024-01-31,optimal,-0.002192710163694925,252,0.95,21,0.0022191939368289824,0.050507962498761425,0.059531709836298845,0.021998827156653546,-0.07140290780011246,0.1425828483920177,1.0334119825019719,0.00012752171327965492,25,0.049998998938266925,0.24999898993676345,CLARABEL
2024-02-29,optimal,-0.0015393852402648652,252,0.95,21,0.0022734377876117116,0.05382461690975642,0.058490119750180966,0.016504981718105848,-0.06563998376565601,0.08816379440648003,1.0395306282528303,0.0001271923934933851,24,0.04999899965464182,0.21183424577143511,CLARABEL
2024-03-28,optimal,-0.0012452205077654657,252,0.95,21,0.0023300029758803074,0.03882755583744509,0.04883900328554502,0.029755962169254187,-0.0638942685016197,0.11183624745776438,1.1240584109093954,0.00012211160236580486,23,0.049998999911400756,0.19999599772938004,CLARABEL
2024-04-30,optimal,-0.0017515963606569874,252,0.95,21,0.002263737991382426,0.04060539314020655,0.049110059412393846,0.025485914057382136,-0.05900969373560054,0.15469581083361747,1.0806633203786569,0.000115875629068617,23,0.0499989998723184,0.19999599193906895,CLARABEL
2024-05-31,optimal,-0.0007852590931353731,252,0.95,21,0.002412827573688972,0.03989488424435176,0.04519393457855062,0.02622689971413233,-0.05734272507766023,0.09089486502030733,1.0253952594447098,0.00011579104987146947,23,0.049999000266305035,0.15469986102122177,CLARABEL
2024-06-28,optimal,-0.0011759648793527719,252,0.95,21,0.002342838481091663,0.03432657490531183,0.03940859612264601,0.021936951714054947,-0.04958666365076749,0.1499970059007268,0.9362135421963657,0.00012737096429983816,24,0.04999899970457529,0.14999699727417382,CLARABEL
2024-07-31,optimal,-0.00028732958346815087,252,0.95,21,0.0021744329205559774,0.027777162053857614,0.03453030178774557,0.022011175358580475,-0.04391430293833414,0.07246347008073872,0.9333715411895275,0.00013878995017081207,23,0.04999899976594899,0.1724613499630348,CLARABEL
2024-08-30,optimal,-0.0017540309527825115,252,0.95,21,0.0021995103338042403,0.038203306412205776,0.048749365118993734,0.02098134198515852,-0.064619464522023,0.14999699681640788,0.9984812848519279,0.00014588389600199216,23,0.04999899953019866,0.12524626903455072,CLARABEL
2024-09-30,optimal,-0.000671215327131425,252,0.95,21,0.0023258527192883058,0.03657889243872817,0.04953039264509165,0.024751200795884738,-0.06456267132505757,0.04999890520124007,1.0148236155602588,0.00014006585206229817,23,0.04999899979288938,0.1499969957833652,CLARABEL
2024-10-31,optimal,-0.0014139324712405489,252,0.95,21,0.002085188354847872,0.020095701671581694,0.039386677455702804,0.030910005009184095,-0.06459929467499359,0.1499970065703158,1.0100917249588057,0.00013459068949226553,24,0.049998999441877724,0.17246137831759617,CLARABEL
2024-11-29,optimal,-0.0015943824371571842,252,0.95,21,0.0021518600924649747,0.022863973098463736,0.0345730400429256,0.03117956200474175,-0.0525952984898228,0.19999599448089783,1.0316541573845275,0.00012784850246385575,25,0.0499989994105128,0.22246075090671136,CLARABEL
2024-12-31,optimal,-0.0009598042911079688,252,0.95,21,0.0022783630558818545,0.021208384004334068,0.029364679133550897,0.02919191102095695,-0.04665736456071527,0.17246174075042964,0.9373693266342994,0.00013679701777442394,25,0.04999899936298046,0.17284874206836526,CLARABEL
2025-01-31,optimal,-0.0005051797325532218,252,0.95,21,0.00231289764490407,0.019203048798860856,0.025754083984579644,0.025860806852357154,-0.03518830087747444,0.15216408946342672,0.8777025723437554,0.00012355435755089273,25,0.049998999517524206,0.14999699761921212,CLARABEL
2025-02-28,optimal,-0.0022491878863706437,252,0.95,21,0.0021643930655021702,0.02562673207274345,0.03788349722364208,0.023501777566712106,-0.05243494914689969,0.24999494299722508,1.0283828019770016,0.00012722787943352483,23,0.049999000025258526,0.17633912712642355,CLARABEL
2025-03-31,optimal,-0.002791410901436301,252,0.95,21,0.0023035116955478076,0.056955063691538604,0.06686249738394022,0.01222494336862829,-0.08116443571032933,0.17367365760718365,0.8752986347582953,0.00011640413321385438,22,0.04999900000813897,0.2499949983585404,CLARABEL
