period,period_start,period_end,signal,months,mean_ic,median_ic,std_ic,preferred_direction,directional_mean_ic,directional_month_ratio
2015,2015-01-01,2015-12-31,distance_sma_50d_sector_neutral,12,-0.00969187675070028,0.0383673469387755,0.18671897137214316,lower_is_better,0.00969187675070028,0.3333333333333333
2015,2015-01-01,2015-12-31,dollar_volume_change_20d_60d_sector_neutral,12,-0.018983593437374945,-0.07193277310924365,0.16988701799665762,lower_is_better,0.018983593437374945,0.5833333333333334
2015,2015-01-01,2015-12-31,downside_volatility_60d_sector_neutral,12,-0.04476990796318527,-0.0010084033613445,0.20188555132361657,higher_is_better,-0.04476990796318527,0.4166666666666667
2015,2015-01-01,2015-12-31,max_drawdown_126d_sector_neutral,12,0.09439775910364145,0.097719087635054,0.23270956226566897,lower_is_better,-0.09439775910364145,0.25
2015,2015-01-01,2015-12-31,momentum_12_1_sector_neutral,12,0.07198879551820726,0.06890756302521005,0.19136991143069412,lower_is_better,-0.07198879551820726,0.4166666666666667
2015,2015-01-01,2015-12-31,momentum_6_1_sector_neutral,12,0.056254501800720245,0.08129651860744291,0.22503077553790254,higher_is_better,0.056254501800720245,0.6666666666666666
2015,2015-01-01,2015-12-31,positive_day_ratio_60d_sector_neutral,12,0.03806580825789292,0.0998175828676019,0.18197145378975316,lower_is_better,-0.03806580825789292,0.25
2015,2015-01-01,2015-12-31,return_1m_sector_neutral,12,-0.00489795918367348,0.0095078031212485,0.19020766614990817,lower_is_better,0.00489795918367348,0.5
2015,2015-01-01,2015-12-31,return_1w_sector_neutral,12,-0.01024409763905561,-0.0303001200480192,0.14673510386448033,lower_is_better,0.01024409763905561,0.5833333333333334
2015,2015-01-01,2015-12-31,return_3m_sector_neutral,12,0.09508603441376547,0.1275870348139255,0.1884163813373709,higher_is_better,0.09508603441376547,0.8333333333333334
2015,2015-01-01,2015-12-31,reversal_1m_sector_neutral,12,0.00489795918367348,-0.0095078031212485,0.19020766614990817,higher_is_better,0.00489795918367348,0.5
2015,2015-01-01,2015-12-31,sma_50_200_spread_sector_neutral,12,0.08684273709483792,0.1109723889555822,0.2244737933030391,higher_is_better,0.08684273709483792,0.6666666666666666
2015,2015-01-01,2015-12-31,volatility_20d_sector_neutral,12,-0.046618647458983586,-0.02261704681872745,0.16205483029739376,higher_is_better,-0.046618647458983586,0.4166666666666667
2015,2015-01-01,2015-12-31,volatility_60d_sector_neutral,12,-0.0049939975990396,-0.014645858343337299,0.23200256173189696,higher_is_better,-0.0049939975990396,0.5
2016,2016-01-01,2016-12-31,amihud_illiquidity_20d_sector_neutral,12,0.03907963185274109,0.034717887154861904,0.08831712214303794,higher_is_better,0.03907963185274109,0.6666666666666666
