strategy_name,year,trading_days,total_return,annualized_volatility,sharpe_ratio,maximum_drawdown,transaction_cost,two_way_turnover
momentum_3m_top20_equal_weight,2025,250,0.10159805367410768,0.16121169279724737,0.685249175634535,-0.18928364861483593,17318.444835272396,7.643242837835475
ridge_top20_equal_weight,2025,250,0.22299106226274934,0.20381222111395803,1.09672391632256,-0.20664778350526247,22302.11851598988,6.358815989151822
spy_buy_and_hold,2025,250,0.17719055511914816,0.1948673337548344,0.9400735619082807,-0.18755229425221798,0.0,0.0
universe_equal_weight,2025,250,0.1599750430264124,0.16561892043621107,0.9854873748668439,-0.1705238518537756,1663.7980959038396,0.6594306878887541
elastic_net_score_weighted,2026,123,0.09487714255816848,0.1327082686232489,1.4656733037912772,-0.05930589008752418,8958.220340706695,2.1704238132269023
elastic_net_top20_equal_weight,2026,123,0.12000385849285178,0.13137679349072345,1.8333429967954789,-0.05507209385056344,10813.733857322437,2.372263594978707
momentum_3m_top20_equal_weight,2026,123,0.060370834038218524,0.1300113622374544,0.9884449666824369,-0.07086386133999312,10977.103152660804,4.272230528615789
ridge_top20_equal_weight,2026,123,0.08109669656196461,0.134667052792637,1.2534494930589157,-0.0670022881504676,10586.702086452793,2.4974305035165627
spy_buy_and_hold,2026,123,0.10091881804832736,0.14209371585398894,1.4572632766175508,-0.08884968175523711,0.0,0.0
universe_equal_weight,2026,123,0.07795508018106423,0.10594836025068263,1.5045333055868007,-0.06894653539865636,1112.7337394292917,0.38592958119614695
