feature,mean_gain,mean_gain_share,median_gain_share,mean_split_count,folds_used
tech__volatility_20d_sector_neutral,0.22443704536886183,0.008066803394063517,0.0037922537189045828,4.116883116883117,43
fund__accruals_zscore,0.1753917717096674,0.007314935630647174,0.005321649086011715,3.987012987012987,49
fund__gross_margin_sector_zscore,0.20145480206550717,0.007195013983396216,0.0,3.4935064935064934,34
tech__dollar_volume_change_20d_60d_sector_neutral,0.13982458913384319,0.006998909887933979,0.005505534870481289,3.116883116883117,53
fund__net_margin_sector_zscore,0.1648473748574396,0.006783951051853881,0.003052893671305586,3.6233766233766236,43
fund__net_margin_zscore,0.10071816638886154,0.005772971786829747,0.002485052357250686,2.4155844155844157,42
tech__return_1m_sector_neutral,0.13377258470644812,0.005710721685971439,0.002501483863778135,3.4675324675324677,46
fund__operating_cash_flow_growth_yoy_sector_zscore,0.08980440920484918,0.005463977278580183,0.001969895599768398,1.7792207792207793,46
tech__distance_sma_50d_sector_neutral,0.13692419244242565,0.005408034652197715,0.0024230625072818976,3.4675324675324677,43
fund__gross_profitability_zscore,0.14736895047902288,0.005319174742309357,0.0,2.8701298701298703,28
fund__operating_margin_zscore,0.1126827604996113,0.005316580417882544,0.003939622268347091,2.6363636363636362,48
fund__operating_cash_flow_growth_yoy_zscore,0.10588879463589423,0.0053095216279693035,0.003340721364961313,2.2857142857142856,46
tech__downside_volatility_60d_sector_neutral,0.1359512120146643,0.00503788146423593,0.003091339699046601,3.038961038961039,46
fund__revenue_growth_yoy_zscore,0.11568767548381508,0.004991399466833192,0.003065904477865408,2.7662337662337664,48
fund__operating_cash_flow_growth_acceleration_zscore,0.1191034232109011,0.004811709347901119,0.0025762964030193883,2.5714285714285716,42
fund__roa_zscore,0.1217974332439435,0.00481068486415037,0.0,2.909090909090909,38
fund__current_ratio_zscore,0.1194615847152936,0.004768554438906746,0.002498131239008948,1.9350649350649352,42
fund__fcf_yield_zscore,0.11616578173230994,0.004659238807157395,0.0,2.909090909090909,36
fund__operating_margin_sector_zscore,0.06275265996477433,0.004573706979297879,0.0,1.6753246753246753,33
fund__net_income_growth_yoy_sector_zscore,0.12903598547223713,0.004448487435603886,0.0035064029267862376,3.311688311688312,45
fund__net_income_growth_acceleration_zscore,0.09722943219368334,0.004269859694686406,0.0016513486565239099,1.9870129870129871,46
fund__accruals_sector_zscore,0.10995326760866038,0.003877069901634797,0.0,2.2987012987012987,35
fund__fcf_yield_sector_zscore,0.07692942107942971,0.0036809383235389013,0.0,1.4805194805194806,36
fund__debt_to_assets_zscore,0.0854830053671227,0.003656212133087277,0.0011734281570345904,2.116883116883117,39
fund__gross_profitability_sector_zscore,0.10004257626057446,0.0035285929361518163,0.0,1.3636363636363635,34
fund__net_income_growth_yoy_zscore,0.07085391398906321,0.0029448864624834706,0.0,1.3896103896103895,38
tech__reversal_1m_sector_neutral,0.06428488310087811,0.002861817027501422,0.0,1.7792207792207793,38
fund__current_ratio_sector_zscore,0.07286331274050784,0.002754905995102956,0.0,1.5584415584415585,36
fund__interest_coverage_sector_zscore,0.07043235196260275,0.0027173477282602925,0.0,1.5324675324675325,37
fund__operating_cash_flow_growth_acceleration_sector_zscore,0.0729855349069679,0.002234136656676065,0.0,1.3246753246753247,29
fund__net_debt_to_assets_zscore,0.05849183000043615,0.0021410266460487005,0.0,1.3116883116883118,30
fund__roa_sector_zscore,0.03686085357270264,0.0019246523555129518,0.0,0.974025974025974,33
fund__interest_coverage_zscore,0.05308309202263882,0.0018381037501297838,0.0,1.2337662337662338,34
fund__net_income_growth_acceleration_sector_zscore,0.039353129804714934,0.0017686230437000657,0.0,0.7662337662337663,32
fund__asset_growth_yoy_sector_zscore,0.04720590439588799,0.001717944912296514,0.0,1.2337662337662338,33
fund__roe_sector_zscore,0.04369565409112286,0.0014394138481728927,0.0,1.0389610389610389,37
fund__capex_to_assets_sector_zscore,0.033935930120287006,0.0013653484936030492,0.0,0.7922077922077922,30
fund__debt_to_assets_sector_zscore,0.01962929739096722,0.0010874278170599672,0.0,0.4935064935064935,24
fund__net_debt_to_assets_sector_zscore,0.014594583155272843,0.0004678449642837206,0.0,0.2987012987012987,17
fund__gross_profitability_missing,0.002143405184343264,8.414892085332348e-05,0.0,0.05194805194805195,4
fund__capex_to_assets_missing,0.002782842797505391,7.828290598535567e-05,0.0,0.03896103896103896,3
fund__net_debt_to_assets_missing,0.002886180560310166,7.776332115732633e-05,0.0,0.03896103896103896,3
fund__interest_coverage_missing,0.002080329826899937,7.436705284865998e-05,0.0,0.03896103896103896,3
fund__debt_to_assets_missing,0.0020404908467422833,5.2972268026919276e-05,0.0,0.05194805194805195,3
fund__accruals_missing,0.0006562779089073082,3.8180980762691015e-05,0.0,0.025974025974025976,2
fund__operating_margin_missing,0.001074022093376556,3.0324960204239406e-05,0.0,0.025974025974025976,2
fund__operating_cash_flow_growth_acceleration_missing,0.0009673064598789463,2.7190053885808964e-05,0.0,0.025974025974025976,2
fund__roe_missing,0.0004824143048230704,1.7878300118077e-05,0.0,0.012987012987012988,1
fund__net_income_growth_acceleration_missing,0.0006260792059557778,1.772788359849131e-05,0.0,0.012987012987012988,1
