cost_bps,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover
5.0,spy_buy_and_hold,2020-02-03,2026-06-30,1610,1000000.0,2532392.1916371207,1.5323921916371206,0.1565418926491693,0.2040683477266558,0.8151456784599188,1.1540216545979236,-0.33717269301235475,0.4642780862548476,0.5509316770186335,1.0000000000000002,-2.7321894746634712e-17,1.0,0.0,,1.5323921916371206,0.0,0.1565418926491693,0.0,499.75012493750546,999500.2498750625,0.9995002498750625,0.9995002498750625
5.0,universe_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2992438.0338059464,1.9924380338059464,0.18715735318368476,0.19480894970563048,0.9786738007486457,1.3988522417623732,-0.32904257478239685,0.5687937292232048,0.5472049689440994,0.9276212824062862,0.0363488524967715,0.9717117345110413,0.048320793949216706,0.5030750010848224,1.5323921916371206,0.4600458421688258,0.1565418926491693,0.03061546053451547,4273.181676304157,8546363.352608314,5.05976517482225,0.06571123603665259
10.0,elastic_net_score_weighted,2020-02-03,2026-06-30,1610,1000000.0,4353621.353673719,3.353621353673719,0.2589080641422039,0.22093296086706915,1.1532782578459124,1.6726985490608497,-0.3353694926147369,0.772008396242619,0.5565217391304348,1.041392128209191,0.08164792894154323,0.9618971386379611,0.060993350563944,1.4514709772218393,1.5311272604724673,1.8224940932012519,0.1564514520425606,0.1024566120996433,81174.57939947254,81174579.39947252,39.198924007911785,0.5090769351676855
10.0,elastic_net_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4868540.214600343,3.868540214600343,0.2811289632350005,0.2225255874543821,1.2253043174315137,1.782977299443758,-0.3389967870080304,0.8292968370474287,0.5645962732919255,1.0439796013931122,0.09908210011091408,0.9573856460250401,0.06489182209145923,1.6395665517675575,1.5311272604724673,2.337412954127876,0.1564514520425606,0.12467751119243986,93482.4260634339,93482426.06343392,43.00917318390477,0.5585606907000621
10.0,momentum_3m_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2615746.9037766596,1.6157469037766594,0.1624192899978465,0.1990700299816015,0.8562470527806932,1.204646804965589,-0.3450209416144786,0.4707519759172516,0.5447204968944099,0.9197355911586976,0.017531355063077396,0.942826902334857,0.06833855774390732,0.06125421057270006,1.5311272604724673,0.08461964330419214,0.1564514520425606,0.005967837955285882,91593.73236879185,91593732.36879185,51.29025982650691,0.6661072704741158
10.0,ridge_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4377238.06752234,3.377238067522341,0.2599745278848491,0.22021125099912722,1.160157376971008,1.6869348093483063,-0.3397678029620601,0.7651535125412661,0.5583850931677019,1.0330499201268712,0.08371749083333142,0.9573189581419674,0.06400478220624818,1.3938428067569006,1.5311272604724673,1.8461108070498735,0.1564514520425606,0.10352307584228848,103356.08584899294,103356085.84899293,47.36282252473109,0.6151015912302739
10.0,spy_buy_and_hold,2020-02-03,2026-06-30,1610,1000000.0,2531127.260472467,1.5311272604724673,0.1564514520425606,0.2040679751001126,0.8147633257048909,1.1534782422177239,-0.33717269301235475,0.4640098539558418,0.5509316770186335,0.9999999999999999,2.7321894746634712e-17,0.9999999999999999,0.0,,1.5311272604724673,0.0,0.1564514520425606,0.0,999.0009990008548,999000.9990009991,0.9990009990009991,0.9990009990009991
10.0,universe_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2984877.5916885203,1.9848775916885204,0.1866873852733606,0.19480719325659573,0.9766470049066284,1.3958622294455574,-0.32905664896984765,0.5673411731925443,0.5472049689440994,0.9276110391832253,0.0360266625022063,0.9717079912819027,0.048323886293982356,0.4964575824870656,1.5311272604724673,0.4537503312160531,0.1564514520425606,0.030235933230799983,8532.951189012492,8532951.189012494,5.059134793928108,0.06570304927179361
20.0,elastic_net_score_weighted,2020-02-03,2026-06-30,1610,1000000.0,4186230.0536183775,3.1862300536183774,0.25120603845561296,0.2209351213476959,1.1254701184310665,1.6305767579034496,-0.3358146741181013,0.748049617293577,0.55527950310559,1.0411897423901981,0.0757031439994871,0.9616999997457871,0.06113979438419743,1.3501059470759944,1.5286011853622146,1.6576288682561628,0.15627072746592496,0.094935310989688,158456.51821911774,79228259.10955888,39.18600880778518,0.5089092052959115
20.0,elastic_net_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4663545.224508457,3.663545224508457,0.272531734049664,0.22253383604576196,1.194983500383246,1.7366827275570977,-0.33954955478495497,0.8026272754863868,0.5633540372670808,1.043760603464502,0.09254448168838168,0.9571485393284005,0.06506100691319625,1.5341537104887006,1.5286011853622146,2.1349440391462426,0.15627072746592496,0.11626100658373906,181977.0070345709,90988503.51728544,42.99293857000174,0.5583498515584643
20.0,momentum_3m_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2484892.537161302,1.484892537161302,0.15311928356053217,0.1990805190473823,0.815841387408972,1.1462034789985924,-0.34517477405068675,0.44359928671394616,0.5440993788819876,0.919594520143408,0.009663658386627328,0.942631839835701,0.0684554025544993,-0.05394096278976022,1.5286011853622146,-0.04370864820091258,0.15627072746592496,-0.0031514439053927923,177953.32971921045,88976664.85960522,51.277548278880204,0.6659421854400026
20.0,ridge_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4174717.2244296046,3.174717224429605,0.25066681752184117,0.2202234610681281,1.1264089070661691,1.635760577998409,-0.34032241096131277,0.7365568926647517,0.5571428571428572,1.0328136806057273,0.07650028819797708,0.9570461774241571,0.06420077345522963,1.276479806922617,1.5286011853622146,1.6461160390673903,0.15627072746592496,0.0943960900559162,200716.59165734152,100358295.82867076,47.343061687791746,0.6148449569843085
20.0,spy_buy_and_hold,2020-02-03,2026-06-30,1610,1000000.0,2528601.1853622147,1.5286011853622146,0.15627072746592496,0.20406780579316128,0.8139974678613989,1.152393044440499,-0.33717269301235486,0.46347385391674883,0.5509316770186335,0.9999999999999999,2.7321894746634712e-17,1.0,0.0,,1.5286011853622146,0.0,0.15627072746592496,0.0,1996.0079840319231,998003.9920159681,0.9980039920159681,0.9980039920159681
20.0,universe_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2969816.8226309223,1.9698168226309223,0.18574818617883593,0.19480442119176877,0.9725911242360583,1.3898844437888394,-0.3290847889036145,0.5644386870559357,0.5472049689440994,0.9275909879516513,0.03538228385123301,0.971700007765545,0.048330601772116774,0.48322125049280457,1.5286011853622146,0.4412156372687077,0.15627072746592496,0.029477458712910964,17012.42924736807,8506214.623684034,5.057878824498008,0.0656867379804936
50.0,elastic_net_score_weighted,2020-02-03,2026-06-30,1610,1000000.0,3721740.5237425626,2.7217405237425627,0.22838405596681866,0.22103501573850787,1.041715274427091,1.5044050168482144,-0.33714762219196626,0.6774007613696904,0.5515527950310559,1.0405816388692595,0.057890206377594365,0.960723052132962,0.06189572894234139,1.0438891803852484,1.521053122122328,1.2006874016202347,0.15572980279210924,0.07265425317470942,368601.32140911627,73720264.28182328,39.148230085457925,0.5084185725384144
50.0,elastic_net_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4099001.68083586,3.09900168083586,0.24708897888218595,0.22267051710232524,1.1036118472919783,1.5980850275206584,-0.34120386787785184,0.7241681649712182,0.5602484472049689,1.0431021990664062,0.07295896118221389,0.9559766292235384,0.06593044186329333,1.2148947910856338,1.521053122122328,1.577948558713532,0.15572980279210924,0.09135917609007671,419873.62260605884,83974724.52121177,42.94563762611732,0.5577355535859392
50.0,momentum_3m_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2130145.5677840193,1.130145567784019,0.12564952415339947,0.19927854239884765,0.6941822717224084,0.9712296059857193,-0.3456355537882969,0.3635318264461887,0.5372670807453416,0.9191750716355527,-0.013919533597190822,0.941284335899699,0.06927173036380324,-0.3942104363741241,1.521053122122328,-0.3909075543383089,0.15572980279210924,-0.030080278638709768,408341.8261220333,81668365.22440666,51.24123903153095,0.6654706367731292
50.0,ridge_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,3621793.021105271,2.6217930211052707,0.22316120533401684,0.22039060536500188,1.0247412426754863,1.482527946721676,-0.34198179883278645,0.6525528729765309,0.5527950310559007,1.0321042283643644,0.0548822231151949,0.9556824513185703,0.06521281359060489,0.9231325743832006,1.521053122122328,1.1007398989829427,0.15572980279210924,0.0674314025419076,459881.00766933087,91976201.53386617,47.285563798862725,0.6140982311540614
50.0,spy_buy_and_hold,2020-02-03,2026-06-30,1610,1000000.0,2521053.122122328,1.521053122122328,0.15572980279210924,0.20407186425017923,0.8116908763081603,1.1491210217190795,-0.33717269301235486,0.46186955829902543,0.5503105590062112,0.9999999999999996,8.196568423990414e-17,1.0,0.0,,1.521053122122328,0.0,0.15572980279210924,0.0,4975.124378109351,995024.8756218906,0.9950248756218907,0.9950248756218907
50.0,universe_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2925111.1497959886,1.9251111497959887,0.18293645262865632,0.19480198757639736,0.9604058271185885,1.3719689472674084,-0.3291691412365435,0.5557521338162035,0.546583850931677,0.9275342877124881,0.03344915124918097,0.9716720738037463,0.048354989164992555,0.44350529386764886,1.521053122122328,0.4040580276736607,0.15572980279210924,0.02720664983654708,42133.40841806338,8426681.683612674,5.054143276244678,0.065638224366814
