as_of_date,solver_status,objective_value,predicted_alpha_proxy,predicted_variance,predicted_volatility,one_way_turnover,positions,maximum_weight,maximum_sector_weight
2021-01-29,optimal,-0.0325352877179409,0.026843364190519026,0.11475738401431676,0.3387585925320814,0.19999599686074998,21,0.049998999921707254,0.14999699942014771
2021-02-26,optimal,-0.030962913279156134,0.027503381593027548,0.11093270978235947,0.33306562383764476,0.29999399808099586,21,0.049999000001805925,0.1576343425019028
2021-03-31,optimal,0.001135391139235123,0.029646912220176926,0.05231237845396824,0.22871899451940636,0.23553318336181506,21,0.04999900025689899,0.2076333395214822
2021-04-30,optimal,0.010031257476735335,0.029795424261668577,0.03637604690068951,0.19072505577581964,0.15761433731384286,21,0.049999000137607975,0.19999599736567142
2021-05-28,optimal,0.010457702077454879,0.028974180720052017,0.032206897530162176,0.1794628026365413,0.241302986600354,21,0.04999900011713562,0.19999599954388586
2021-06-30,optimal,0.013239972177523944,0.028569160092148715,0.02443437729834462,0.15631499383726635,0.3111999245551908,22,0.049999001199132954,0.24999900070811173
2021-07-30,optimal,0.016837102779259386,0.029442587566949712,0.022630003823622163,0.15043272191787982,0.12904828766795115,22,0.04999900060118759,0.1999960000483697
2021-08-31,optimal,0.014500768628362897,0.03002731931901954,0.023840860824235956,0.1544048601056196,0.3606120257916921,21,0.04999900048861029,0.19999600087343594
2021-09-30,optimal,0.017363382802474556,0.029962893244736978,0.022199080803044603,0.14899355960257007,0.14999700416985703,21,0.049999000252689635,0.2499950003484698
2021-10-29,optimal,0.01794155331923013,0.030364072736568243,0.018325335433135314,0.13537110265169341,0.32598517041452507,21,0.049998999986413474,0.24999499923848156
2021-11-30,optimal,0.019498234275384208,0.03028122556089722,0.01656648246006513,0.12871084826099596,0.24997500427422573,21,0.04999900067145684,0.1999960013210697
2021-12-31,optimal,0.019190952978018688,0.02984738586531874,0.018489277507831733,0.13597528270914436,0.14117941289750008,21,0.04999900050162599,0.24119740573569
2022-01-31,optimal,0.016391081434666915,0.029762630859028943,0.021026522503747206,0.14500524991788127,0.28582881712020547,22,0.049999000337034596,0.24999900024436453
2022-02-28,optimal,0.015530909153611432,0.030068809613568784,0.02310314786453501,0.15199719689696586,0.29863265313657517,21,0.04999900109414686,0.2216214310510122
2022-03-31,optimal,0.01309987055576984,0.028580063030052606,0.022174280566496576,0.14891031047747022,0.4393052191427838,23,0.04999900078133844,0.21271400413026054
2022-04-29,optimal,0.013229251434288242,0.028009940964135234,0.02647815745073672,0.16272110327408895,0.15416108040604154,23,0.049999000131605735,0.2195845492568934
2022-05-31,optimal,0.009906945317048237,0.02756039209695391,0.030129553810417008,0.17357866749810302,0.25886698825716725,22,0.049999000056852316,0.199995997362459
2022-06-30,optimal,0.006953791735678553,0.026910130243388748,0.034096173010481935,0.18465149068036774,0.29082520025867253,22,0.049999000122636125,0.16958766472679285
2022-07-29,optimal,0.007069552333098196,0.02751870834531597,0.035506598732097924,0.18843194721728565,0.26958566458625216,21,0.04999900005205982,0.19999599948649951
2022-08-31,optimal,0.00448823764777672,0.02594014258923485,0.03790350986554811,0.1946882376147776,0.2500150009340183,22,0.04999899999739305,0.19999599969447934
2022-09-30,optimal,0.0045636083914374365,0.027580881424668146,0.040757689233957825,0.20188533684732485,0.2638428416865089,22,0.049999001010486585,0.1999960004656598
2022-10-31,optimal,0.0019044660727631849,0.02705999223645394,0.04518609450894166,0.2125702107750323,0.25624788955852784,22,0.04999900039214307,0.18177400088063975
2022-11-30,optimal,-0.00110993936263674,0.02642851223195052,0.05031052861453428,0.22430008607785748,0.23831872718963648,21,0.0499990004313369,0.14999700059908197
2022-12-30,optimal,0.0006689782430189199,0.026632671481648936,0.047927066455931464,0.21892251244659938,0.20001600372374728,21,0.049998999869593067,0.14999699902502384
2023-01-31,optimal,0.0012104492746430472,0.02657927860566114,0.046638643595532756,0.21595981940058376,0.20495074950403153,21,0.04999900082211734,0.14999700098027463
