as_of_date,assets,observations,window_start_date,window_end_date,shrinkage,minimum_eigenvalue,maximum_eigenvalue,sample_condition_number,shrinkage_condition_number,mean_pairwise_correlation,median_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation
2021-01-29,50,252,2020-01-31,2021-01-29,0.06093842814078448,0.019134230002050782,6.201682346833378,1204.8005047477043,324.1145500063858,0.5306169988230042,0.5462552780209841,0.9119327489453531,0.08024801562159044
2021-02-26,50,252,2020-02-28,2021-02-26,0.06493171544118535,0.019837634052915377,5.966831129104255,1144.3620409864607,300.78340558093873,0.51663693117211,0.5307462581989866,0.9099842856125265,0.06681480487387934
2021-03-31,50,252,2020-04-01,2021-03-31,0.050513914460330905,0.011206749839362899,2.343661935199611,490.7042100064083,209.12949506266918,0.3554549147258713,0.3629860235675379,0.907636653818539,-0.13154034855000285
2021-04-30,50,252,2020-05-01,2021-04-30,0.05747519304786744,0.010709035778250078,1.6888102279993236,364.5174161626408,157.69955978943287,0.2957512562718911,0.2921387486791233,0.8864306617863493,-0.11502572898036584
2021-05-28,50,252,2020-06-01,2021-05-28,0.06370188432143428,0.010359929783172794,1.4961326337547742,369.02952068371536,144.41532568926144,0.28629599344860107,0.28195743596866385,0.8687687082804924,-0.12506892570147313
2021-06-30,50,252,2020-07-01,2021-06-30,0.06912236952384336,0.010059736474442365,1.1651303729299374,302.43544173781316,115.82116250162726,0.23713947367542126,0.2251575812633348,0.8519724936270101,-0.21040569218785685
2021-07-30,50,252,2020-07-31,2021-07-30,0.07144137834983068,0.009941379205035298,1.1221180833772149,292.4656059680365,112.87348166025738,0.24171529581297513,0.23310318853381312,0.8532241270181821,-0.23612662608359816
2021-08-31,50,252,2020-09-01,2021-08-31,0.07247756326727466,0.009582557368924906,1.111634676499604,304.6384474984416,116.00605492897974,0.24905523863615872,0.24050259336508267,0.8663978118775428,-0.23696193345886757
2021-09-30,50,252,2020-10-01,2021-09-30,0.08009487681973143,0.009255642815455862,0.9638574209847737,297.60800541124416,104.13727497945824,0.22515890881684203,0.21448193161173548,0.8628209024114615,-0.2642452808438503
2021-10-29,50,252,2020-10-30,2021-10-29,0.08982329762775558,0.009588711940628299,0.8387801254871229,269.462183985365,87.47578722572027,0.1949605416814183,0.18409478422007203,0.8609031504682645,-0.30839416921801
2021-11-30,50,252,2020-12-01,2021-11-30,0.06541688737709885,0.007427570280986969,0.7362339634534862,230.2627477501693,99.12177678588804,0.21080082216745105,0.20266322011637317,0.8460192325370514,-0.2229023428302266
2021-12-31,50,252,2021-01-04,2021-12-31,0.05966928190343363,0.007296274258838364,0.8262382753669879,246.8578100978421,113.24112088661175,0.22845815542001255,0.22082510057088986,0.8413377598240988,-0.21825500337656736
2022-01-31,50,252,2021-02-02,2022-01-31,0.060640676490246945,0.007218209047969639,0.8548151036757146,271.2669628120655,118.42481950784699,0.21986097025651838,0.21090587015006187,0.8471550271463284,-0.25624309114890903
2022-02-28,50,252,2021-03-02,2022-02-28,0.06296609528107214,0.007590359854883034,0.9594165267219474,303.81529862800477,126.39934667981993,0.23062266208126792,0.22224650356345474,0.8294844830790881,-0.23588795696403062
2022-03-31,50,252,2021-04-05,2022-03-31,0.05596490196267679,0.007052863933215201,1.0803620749827765,355.3773736246301,153.18062069719647,0.24893637221231196,0.2555452199279026,0.8398311821257392,-0.24380630465364306
2022-04-29,50,252,2021-05-03,2022-04-29,0.05921597950314029,0.007597849276014819,1.2932435644286362,459.0089580659623,170.21179513407736,0.26882932995220954,0.2762149169607703,0.8472800556655556,-0.12855051053451327
2022-05-31,50,252,2021-06-02,2022-05-31,0.049755574652080664,0.007821831628224753,1.6317531132639962,493.8865985236871,208.61521838131642,0.30179580426335384,0.30720912476921736,0.8611751057611639,-0.10462649847103726
2022-06-30,50,252,2021-07-01,2022-06-30,0.04060582257979789,0.007586941581606842,1.9470339309065205,546.2832556270272,256.62961945387104,0.33612030387571856,0.34390343925902817,0.8777889443994034,-0.022076523408449275
2022-07-29,50,252,2021-07-30,2022-07-29,0.037806018877602175,0.007549337443633388,2.090364990117852,579.2865984274925,276.893834157689,0.3384488174895254,0.34684861244069864,0.8785648972021205,-0.058054045637811136
2022-08-31,50,252,2021-09-01,2022-08-31,0.033956623715736774,0.0072558457329441285,2.2439978908161864,622.1657115680171,309.2675855314344,0.3544180773598811,0.3649493929741004,0.8801321361233196,-0.06883530587118636
2022-09-30,50,252,2021-10-01,2022-09-30,0.031161951684195853,0.007255635243950125,2.429889049725112,647.4997361148763,334.8968033848176,0.3739260124659241,0.38575849185731625,0.8901444328893582,-0.06957009095488303
2022-10-31,50,252,2021-11-01,2022-10-31,0.02857024863000596,0.007805437108474535,2.6658117418925684,611.4972839258417,341.532665607958,0.3949659716549837,0.4098673192712357,0.8895680681067747,-0.03920373162014317
2022-11-30,50,252,2021-12-01,2022-11-30,0.02753975438585959,0.007854664973292505,2.953535913891757,674.0894352294899,376.0231561669922,0.4112649620480122,0.42080430415505754,0.8935678409137667,-0.018484081116129057
2022-12-30,50,252,2021-12-31,2022-12-30,0.026983097243727848,0.007648737373801189,2.979116222734789,701.373290585725,389.4912424289793,0.4191166215566226,0.4280977634043652,0.8939738015242831,-0.017998907071814858
2023-01-31,50,252,2022-01-31,2023-01-31,0.026057410405122446,0.007502231721799541,3.005493291595238,709.5366205832804,400.6132312418496,0.42847127693296433,0.4381424426775075,0.8876462082278371,-0.019617946708137917
2023-02-28,50,252,2022-02-28,2023-02-28,0.027503980471214155,0.007072416305411582,2.8729896182080674,772.7815692044472,406.22461887738973,0.42415015914190646,0.43244923911326405,0.888640488665262,-0.038849437052482005
2023-03-31,50,252,2022-03-31,2023-03-31,0.028228657609861787,0.006910657360321811,2.787212082365544,781.657200619889,403.3208328875591,0.43130849063171,0.4378864278900721,0.8899114950094075,-0.025485409318906607
2023-04-28,50,252,2022-04-28,2023-04-28,0.02745932887313791,0.006329889915747806,2.6799256589134197,831.288857898779,423.3763453367807,0.432283892822025,0.44045175444640483,0.8872005470787402,-0.03002056913870335
