model_name,feature,mean_coefficient,mean_absolute_coefficient,nonzero_ratio
elastic_net,fund__asset_growth_yoy_missing,0.000745671465092508,0.000745671465092508,0.3246753246753247
elastic_net,fund__interest_coverage_zscore,-0.0007399786345971839,0.0007399786345971839,0.5844155844155844
elastic_net,fund__roe_sector_zscore,0.0007330501414178954,0.0007330501414178954,0.38961038961038963
elastic_net,fund__net_margin_zscore,-0.000680118608422432,0.0006938682253045889,0.36363636363636365
elastic_net,fund__operating_cash_flow_growth_yoy_sector_zscore,0.0006884898222780306,0.0006884898222780306,0.5844155844155844
elastic_net,tech__return_3m_sector_neutral,0.0006869636355610033,0.0006869636355610033,0.6363636363636364
elastic_net,fund__asset_growth_yoy_sector_zscore,-0.0006497426806681822,0.0006497426806681822,0.5064935064935064
elastic_net,fund__accruals_zscore,-0.0005992185239775276,0.0005992185239775276,0.42857142857142855
elastic_net,fund__net_income_growth_yoy_sector_zscore,-0.0005806269581274923,0.0005806269581274923,0.6233766233766234
elastic_net,tech__downside_volatility_60d_sector_neutral,-0.0005476577676647973,0.0005476577676647973,0.3246753246753247
elastic_net,tech__beta_60d_market_sector_neutral,-0.0005155378869866219,0.0005155378869866219,0.42857142857142855
elastic_net,fund__roa_zscore,9.48217478137815e-05,0.0005058653469758175,0.35064935064935066
elastic_net,fund__net_debt_to_assets_zscore,-0.0005036925609517916,0.0005036925609517916,0.5454545454545454
elastic_net,tech__dollar_volume_change_20d_60d_sector_neutral,-0.000489120486649683,0.000489120486649683,0.5974025974025974
elastic_net,fund__revenue_growth_acceleration_zscore,-0.0004887314009196449,0.0004887314009196449,0.5844155844155844
elastic_net,fund__fcf_yield_missing,-0.00048245730792527745,0.00048245730792527745,0.2857142857142857
elastic_net,fund__gross_margin_zscore,-0.0004642528367260897,0.0004642528367260897,0.4155844155844156
elastic_net,fund__revenue_growth_acceleration_sector_zscore,-0.00046135866790268827,0.00046135866790268827,0.7922077922077922
elastic_net,fund__revenue_growth_yoy_sector_zscore,-0.00046037594258301344,0.00046037594258301344,0.4935064935064935
elastic_net,fund__asset_growth_yoy_zscore,0.0004535313786813334,0.0004535313786813334,0.5454545454545454
elastic_net,fund__operating_cash_flow_growth_acceleration_sector_zscore,-0.0004366318531410372,0.0004366318531410372,0.4025974025974026
elastic_net,fund__gross_profitability_missing,-0.0004076985748015524,0.0004076985748015524,0.5584415584415584
elastic_net,fund__gross_margin_missing,-0.0003946114347451158,0.0003946114347451158,0.5584415584415584
elastic_net,fund__roa_sector_zscore,-0.0003751107902966684,0.0003751107902966684,0.2987012987012987
elastic_net,fund__gross_margin_sector_zscore,-0.0003597175728946792,0.00036991594810282434,0.6753246753246753
elastic_net,fund__accruals_sector_zscore,-0.00019130763552687742,0.0003660342332766294,0.5714285714285714
elastic_net,fund__revenue_growth_yoy_missing,0.0003215802422948641,0.0003215802422948641,0.12987012987012986
elastic_net,fund__debt_to_assets_sector_zscore,0.0003148486573062559,0.0003148486573062559,0.5714285714285714
