model_name,as_of_date,observations,valid_ranking,unique_predictions,prediction_mean,prediction_std,target_mean,rmse,mae,information_coefficient,top_mean_target,bottom_mean_target,top_bottom_spread,top_quintile_precision,quintile_monotonicity,predicted_top_count,actual_top_count
ridge,2023-08-31,50,True,50,0.002641387958475246,0.007980190189791216,-0.0026622988573314532,0.05131504863998823,0.03644350509001961,0.05891956782713085,0.009057175316245747,0.0074466694926689225,0.0016105058235768247,0.1,0.3,10,10
constant,2023-09-29,50,False,1,0.0026373896743165214,4.336808689942018e-19,0.0008273358655897956,0.06063599891959835,0.04684618970581247,,,,,,,0,10
elastic_net,2023-09-29,50,True,50,0.002627090555166246,0.006318372768367645,0.0008273358655897956,0.06066544161521304,0.04725416986557379,0.09454981992797118,0.004872080902551368,-0.01474031157796023,0.0196123924805116,0.3,0.7999999999999999,10,10
equal_weight_composite,2023-09-29,50,True,50,0.010458275282040037,0.2908153754614205,0.0008273358655897956,0.2959207979145978,0.24415643972178175,-0.03692677070828331,0.0029221977307479774,0.014115149043908749,-0.011192951313160771,0.2,-0.49999999999999994,10,10
momentum_3m,2023-09-29,50,True,50,-0.011199708968915766,0.8121082536151907,0.0008273358655897956,0.8212756018448727,0.6523939553568848,-0.05114045618247299,0.008321971307991439,0.03236906050016941,-0.024047089192177972,0.2,-0.3,10,10
ridge,2023-09-29,50,True,50,0.002625913782931844,0.0063482690634203065,0.0008273358655897956,0.060652037906440914,0.0472519497764669,0.09454981992797118,0.004872080902551368,-0.01474031157796023,0.0196123924805116,0.3,0.7999999999999999,10,10
constant,2023-10-31,50,False,1,0.0025766226457663104,4.336808689942018e-19,-0.00694241711841809,0.06256204717781008,0.04906868032018194,,,,,,,0,10
elastic_net,2023-10-31,50,True,50,0.002654314853404346,0.005592887861078311,-0.00694241711841809,0.06149379557722617,0.04844153405245919,0.2063385354141657,0.02234563788349373,-0.0008980246856602258,0.02324366256915396,0.4,0.6,10,10
equal_weight_composite,2023-10-31,50,True,50,0.015516041937146794,0.29427542261027867,-0.00694241711841809,0.2831754203834067,0.22130995293739214,0.3014165666266506,0.025406546899197212,-0.01653824481598929,0.0419447917151865,0.3,0.7999999999999999,10,10
momentum_3m,2023-10-31,50,True,50,-0.02723845384907564,0.9239487238855548,-0.00694241711841809,0.947723820056778,0.783414993196902,-0.3883313325330132,-0.03864788575699267,0.02725976048220711,-0.06590764623919979,0.0,-0.9999999999999999,10,10
ridge,2023-10-31,50,True,50,0.002652023156444851,0.005802226493095032,-0.00694241711841809,0.0615232533441332,0.04845288936893362,0.19942376950780313,0.02234563788349373,-0.0008980246856602258,0.02324366256915396,0.4,0.6,10,10
constant,2023-11-30,50,False,1,0.0024959528172562727,4.336808689942018e-19,0.0072926885801469065,0.058944630261605485,0.04686323882075006,,,,,,,0,10
elastic_net,2023-11-30,50,True,50,0.0024844621257835973,0.005229544344081702,0.0072926885801469065,0.05995489424260915,0.048042871579808265,-0.1352701080432173,-0.007462842600931552,0.0126370348398682,-0.020099877440799753,0.2,-0.7,10,10
equal_weight_composite,2023-11-30,50,True,50,0.010605250774793715,0.2442367248820124,0.0072926885801469065,0.2363637001661907,0.19447093267404825,0.23342136854741896,0.007801132666535471,-0.015809998745316932,0.023611131411852403,0.4,0.7,10,10
momentum_3m,2023-11-30,50,True,50,-0.01813798901064192,0.9006155767473397,0.0072926885801469065,0.9163854474001819,0.7408328150095999,-0.24312124849939976,-0.011678611288349882,0.05160407886224083,-0.06328269015059071,0.1,-0.3,10,10
ridge,2023-11-30,50,True,50,0.0024702712610612364,0.005362692835521721,0.0072926885801469065,0.060032365629784264,0.04813681011449292,-0.14525810324129654,-0.009791247921527635,0.0183393761938452,-0.028130624115372836,0.2,-0.8999999999999998,10,10
constant,2023-12-29,50,False,1,0.0024959528172562727,4.336808689942018e-19,0.000947819937179537,0.07147327898235717,0.050965106039495056,,,,,,,0,10
elastic_net,2023-12-29,50,True,50,0.0025825243083177256,0.006573445816040767,0.000947819937179537,0.07145507349051489,0.05060800779210218,0.03529411764705882,0.01914251585171569,0.005877673643058312,0.013264842208657378,0.4,0.3,10,10
equal_weight_composite,2023-12-29,50,True,50,0.011781782167382843,0.2905816923800442,0.000947819937179537,0.3066591045607665,0.26349111020239335,-0.13968787515006,0.0028483234839638883,0.018878701894365413,-0.016030378410401523,0.3,-0.6,10,10
