model_name,as_of_date,quintile,observations,mean_target,median_target,positive_target_ratio
elastic_net,2021-01-29,3,10,-0.0024625961806442275,-0.03993484906984551,0.4
elastic_net,2021-01-29,4,10,0.035644439963879546,0.0021515971691056235,0.5
elastic_net,2021-01-29,5,10,0.043195912383947224,0.022026012714571053,0.6
elastic_net,2021-02-26,1,10,0.03226710202286244,0.018814899161787024,0.9
elastic_net,2021-02-26,2,10,-0.011918295844570326,-0.02323696530938224,0.4
elastic_net,2021-02-26,3,10,-0.005542011651373668,-0.015620211575583687,0.4
elastic_net,2021-02-26,4,10,-0.00330300882533584,0.011635489852435232,0.6
elastic_net,2021-02-26,5,10,-0.05987908564280958,-0.05561281771255322,0.2
elastic_net,2021-03-31,1,10,-0.014323565991251497,-0.02616311832990509,0.4
elastic_net,2021-03-31,2,10,0.041481644566268995,0.0406464006199333,0.8
elastic_net,2021-03-31,3,10,-0.010358704943059382,-0.02115391046566606,0.3
elastic_net,2021-03-31,4,10,-0.009279089035716993,-0.011190520696880646,0.3
elastic_net,2021-03-31,5,10,0.022621063558098554,0.024973356634238053,0.7
elastic_net,2021-04-30,1,10,-0.0065307695598762925,-0.0013251199016982573,0.5
elastic_net,2021-04-30,2,10,-0.03369102763402767,-0.027008377831327535,0.3
elastic_net,2021-04-30,3,10,0.000537469356395126,-0.0008014320318101564,0.5
